# 2014/04/16 
# DAL , ANA 
# 3 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,16,20,21,6,33,32,7,11,33,19,55,31
2,1,0,20:00,4,0,20,11,1,0,0,0,0,16,20,21,6,33,32,7,11,33,19,55,31
3,1, ,19:39,3,6,0,0,0,0,0,0,0,16,20,21,6,33,32,7,11,33,19,55,31
4,1,0,19:39,4,1,14,11,2,0,0,0,0,91,43,14,24,37,32,7,11,33,19,55,31
5,1,0,19:33,1,0,43,0,3,27,6,0,0,91,43,14,24,37,32,7,11,33,19,55,31
6,1, ,19:24,3,6,0,0,0,0,0,0,0,91,43,14,24,37,32,7,11,33,19,55,31
7,1,0,19:24,4,1,14,11,2,0,0,0,0,91,43,14,6,33,32,7,11,33,19,55,31
8,1,0,19:05,5,0,14,15,3,0,0,0,0,91,43,14,6,33,32,15,10,39,19,55,31
9,1,0,19:03,1,0,14,0,3,53,1,0,0,91,43,14,6,33,32,15,10,39,19,55,31
10,1,0,18:52,9,1,10,0,3,0,0,0,0,91,43,14,6,33,32,15,10,39,4,6,31
11,1,0,18:46,5,1,39,14,2,0,0,0,0,91,43,14,6,33,32,15,10,39,4,6,31
12,1,0,18:28,5,1,6,38,2,0,0,0,0,12,38,72,27,55,32,15,10,39,4,6,31
13,1,0,18:28,9,1,10,0,3,0,0,0,0,12,38,72,27,55,32,15,10,39,4,6,31
14,1,0,18:09,9,0,72,0,3,0,0,0,0,12,38,72,27,55,32,13,21,34,4,23,31
15,1,0,18:07,2,1,21,0,3,11,6,13,23,12,38,72,27,55,32,13,21,34,4,23,31
16,1,0,18:07,4,1,10,22,1,0,0,0,0,10,22,13,24,37,32,22,8,62,23,47,31
17,1,0,17:42,8,1,8,0,2,0,0,0,0,10,22,13,24,37,32,22,8,62,23,47,31
18,1,0,17:37,5,0,22,19,3,0,0,0,0,10,22,13,24,37,32,22,8,62,19,55,31
19,1,0,17:20,6,0,21,62,3,0,0,0,0,16,20,21,24,37,32,15,22,8,62,19,55
20,1,1,17:20,4,1,20,22,3,0,0,0,0,16,20,6,33,32,0,15,22,10,62,4,31
21,1,1,17:14,9,1,15,0,3,0,0,0,0,16,20,6,33,32,0,15,22,10,62,4,31
22,1, ,16:51,3,3,0,0,0,0,0,0,0,16,20,6,33,32,0,15,22,10,62,4,31
23,1,-1,16:51,4,0,14,13,1,0,0,0,0,10,14,6,33,32,0,13,15,10,39,4,31
24,1,1,16:20,5,1,10,33,2,0,0,0,0,10,14,6,33,32,0,13,15,10,39,4,31
25,1,-1,16:05,5,0,16,23,3,0,0,0,0,16,20,24,37,32,0,13,8,10,62,23,47
26,1,1,15:54,6,1,21,0,1,0,0,0,0,16,20,24,37,32,0,13,8,10,62,23,47
27,1,0,15:54,4,0,38,11,3,0,0,0,0,43,38,24,37,32,0,11,33,4,6,31,0
28,1,0,15:46,1,0,38,0,3,10,1,0,0,43,38,24,37,32,0,11,33,4,6,31,0
29,1,0,15:41,13,0,43,6,2,0,0,0,0,43,38,24,37,32,0,11,33,4,6,31,0
30,1,0,15:35,7,0,43,0,3,28,1,0,0,43,38,24,37,32,0,11,33,4,6,31,0
31,1,1,14:52,8,0,14,0,2,0,0,0,0,91,12,13,14,33,32,13,34,19,23,31,0
32,1,1,14:28,9,0,13,0,1,0,0,0,0,91,12,13,14,33,32,7,33,6,55,31,0
33,1,-1,14:18,8,1,7,0,3,0,0,0,0,91,12,13,14,55,32,7,33,6,55,31,0
34,1,0,13:25,1,1,8,0,3,17,1,0,0,10,16,21,24,27,32,22,8,62,23,47,31
35,1,0,13:04,7,1,55,0,3,55,1,0,0,10,16,21,24,27,32,22,8,62,19,55,31
36,1,0,12:56,5,1,62,24,3,0,0,0,0,10,16,21,24,27,32,22,8,62,19,55,31
37,1,0,12:56,5,1,19,16,2,0,0,0,0,10,16,21,24,27,32,22,8,62,19,55,31
38,1,0,12:54,5,1,22,27,1,0,0,0,0,10,16,21,24,27,32,22,8,62,19,55,31
39,1, ,12:32,3,6,0,0,0,0,0,0,0,91,43,14,6,33,32,15,10,39,19,55,31
40,1,0,12:32,4,0,14,15,3,0,0,0,0,91,43,14,6,33,32,15,10,39,19,55,31
41,1,0,12:26,13,0,43,55,2,0,0,0,0,91,43,14,6,33,32,15,10,39,19,55,31
42,1,0,12:20,13,0,91,19,2,0,0,0,0,91,43,14,6,33,32,15,10,39,19,55,31
43,1,0,12:09,5,1,15,6,3,0,0,0,0,91,43,14,6,33,32,15,10,39,4,6,31
44,1,0,12:04,1,0,91,0,3,18,1,0,0,91,43,14,6,33,32,15,10,39,4,6,31
45,1,0,12:02,1,0,6,0,3,7,5,0,0,91,43,14,6,37,32,15,10,39,4,6,31
46,1, ,12:00,3,0,0,0,0,0,0,0,0,91,43,14,6,37,32,15,10,39,4,6,31
47,1,0,12:00,4,1,38,13,2,0,0,0,0,12,38,72,6,33,32,13,21,34,4,6,31
48,1, ,11:54,3,2,0,0,0,0,0,0,0,12,38,72,6,33,32,13,21,34,4,6,31
