# 2014/05/11 
# MIN , CHI 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,3,9,22,20,25,30,26,10,88,2,7,50
2,1,0,20:00,4,1,9,26,1,0,0,0,0,3,9,22,20,25,30,26,10,88,2,7,50
3,1,0,19:49,1,0,3,0,3,41,1,0,0,3,9,22,20,25,30,26,10,88,2,7,50
4,1,0,19:39,5,0,20,88,2,0,0,0,0,3,9,22,20,25,30,26,10,88,2,7,50
5,1,0,19:31,6,1,7,22,1,0,0,0,0,3,9,22,20,25,30,26,10,88,2,7,50
6,1,1,19:31,4,0,9,26,3,0,0,0,0,9,29,11,20,46,30,16,26,2,4,50,0
7,1,1,19:22,1,0,29,0,3,11,5,0,0,9,29,11,20,46,30,16,26,2,4,50,0
8,1,-1,18:55,13,0,9,4,2,0,0,0,0,9,29,11,20,46,30,16,26,2,4,50,0
9,1,-1,18:30,9,1,27,0,2,0,0,0,0,9,29,11,6,25,30,19,81,17,27,50,0
10,1, ,18:18,3,1,0,0,0,0,0,0,0,9,29,11,6,25,30,19,81,17,27,50,0
11,1,-1,18:18,4,1,64,26,2,0,0,0,0,3,64,15,6,25,30,16,26,2,4,50,0
12,1,-1,17:55,9,1,2,0,2,0,0,0,0,3,64,15,6,25,30,16,26,2,4,50,0
13,1,1,17:36,7,0,64,0,3,12,1,0,0,3,64,15,6,25,30,16,26,2,4,50,0
14,1,0,17:29,1,1,26,0,3,13,6,0,0,3,64,15,6,25,30,16,26,2,4,7,50
15,1,0,17:09,8,1,10,0,1,0,0,0,0,14,24,56,20,46,30,19,10,88,17,27,50
16,1,0,17:04,5,0,24,88,2,0,0,0,0,14,24,56,20,46,30,19,10,88,7,8,50
17,1,0,16:47,8,1,19,0,2,0,0,0,0,14,24,56,20,46,30,19,10,88,7,8,50
18,1,0,16:22,5,1,23,22,3,0,0,0,0,8,21,22,4,39,30,12,23,20,4,27,50
19,1,0,16:08,7,1,27,0,3,61,2,0,0,8,21,22,4,39,30,12,23,20,4,27,50
20,1,0,15:59,5,0,8,27,1,0,0,0,0,8,64,11,25,39,30,19,81,29,4,27,50
21,1, ,15:55,3,3,0,0,0,0,0,0,0,8,64,11,25,39,30,19,81,29,4,27,50
22,1,0,15:55,4,0,64,19,1,0,0,0,0,64,29,11,20,25,30,19,81,29,4,27,50
23,1, ,15:50,3,6,0,0,0,0,0,0,0,64,29,11,20,25,30,19,81,29,4,27,50
24,1,0,15:50,4,0,64,19,2,0,0,0,0,64,29,11,20,25,30,19,81,29,4,27,50
25,1,0,15:43,1,1,4,0,3,25,1,0,0,64,29,11,20,25,30,19,81,29,4,27,50
26,1, ,15:43,3,1,0,0,0,0,0,0,0,64,29,11,20,25,30,19,81,29,4,27,50
27,1,0,15:43,4,1,9,26,3,0,0,0,0,3,9,22,20,25,30,26,10,88,2,7,50
28,1,0,15:33,9,0,9,0,2,0,0,0,0,3,9,22,20,25,30,26,10,88,2,7,50
29,1,0,15:29,13,1,26,20,2,0,0,0,0,3,9,22,20,25,30,26,10,88,2,7,50
30,1,0,14:45,7,0,24,0,3,19,3,0,0,14,24,56,6,46,30,16,42,28,8,17,50
31,1,0,14:39,1,0,14,0,3,37,1,0,0,14,24,56,6,46,30,16,42,28,8,17,50
32,1,0,14:18,13,0,6,28,2,0,0,0,0,14,24,56,6,46,30,16,42,28,8,17,50
33,1,0,14:16,1,0,46,0,3,58,1,0,0,14,24,56,6,46,30,16,42,28,8,17,50
34,1, ,14:15,3,3,0,0,0,0,0,0,0,14,24,56,6,46,30,16,42,28,8,17,50
35,1,0,14:15,4,1,21,12,1,0,0,0,0,8,21,15,4,20,30,12,23,20,8,17,50
36,1,0,14:01,5,1,23,4,1,0,0,0,0,8,21,15,4,20,30,12,23,20,8,17,50
37,1,0,13:45,5,0,8,17,3,0,0,0,0,8,21,15,4,39,30,12,23,20,8,17,50
38,1,0,13:31,5,1,12,8,2,0,0,0,0,8,21,15,4,39,30,12,23,20,8,17,50
39,1,0,13:10,5,0,29,4,3,0,0,0,0,21,29,15,4,39,30,19,81,29,4,27,50
40,1,0,13:05,13,0,11,27,2,0,0,0,0,64,29,11,20,25,30,19,81,29,4,27,50
41,1,0,12:53,5,0,29,81,3,0,0,0,0,64,29,11,20,25,30,19,81,29,4,27,50
42,1,0,12:10,1,1,7,0,3,55,1,0,0,3,9,22,6,46,30,26,10,88,2,7,50
43,1, ,11:41,3,0,0,0,0,0,0,0,0,14,24,56,20,25,30,16,10,88,2,17,50
44,1,0,11:41,4,1,56,16,1,0,0,0,0,14,24,56,4,20,30,16,42,28,8,17,50
45,1, ,11:32,3,10,0,0,0,0,0,0,0,14,24,56,4,20,30,16,42,28,8,17,50
46,1,0,11:32,4,0,21,12,1,0,0,0,0,8,21,15,4,20,30,12,23,20,8,17,50
47,1,0,11:12,9,0,39,0,2,0,0,0,0,8,21,15,4,39,30,12,23,20,8,17,50
48,1,0,10:58,5,1,12,8,3,0,0,0,0,8,21,15,4,39,30,12,23,20,4,8,50
49,1,0,10:34,5,1,29,25,3,0,0,0,0,64,29,11,20,25,30,19,81,29,4,27,50
50,1, ,10:02,3,6,0,0,0,0,0,0,0,64,29,11,20,25,30,19,81,29,4,27,50
51,1,0,10:02,4,1,64,26,3,0,0,0,0,64,29,11,20,25,30,26,10,88,2,7,50
52,1,0,9:50,5,0,64,88,2,0,0,0,0,64,29,11,20,25,30,26,10,88,2,7,50
53,1,0,9:21,5,1,26,14,1,0,0,0,0,14,24,56,6,46,30,26,10,88,2,7,50
54,1, ,9:03,3,0,0,0,0,0,0,0,0,14,24,56,6,46,30,16,10,28,4,27,50
55,1,0,9:03,4,1,9,16,2,0,0,0,0,3,9,22,6,46,30,16,42,28,2,7,50
56,1,0,8:56,8,0,3,0,3,0,0,0,0,3,9,22,6,46,30,16,42,28,2,7,50
57,1, ,8:49,3,1,0,0,0,0,0,0,0,3,9,22,6,46,30,16,42,28,2,7,50
58,1,0,8:49,4,1,21,23,3,0,0,0,0,8,21,15,20,25,30,12,23,20,2,7,50
59,1,0,8:37,13,1,2,20,2,0,0,0,0,8,21,15,20,25,30,12,23,20,2,7,50
