# 2014/05/24 
# CHI , L.A 
# 3 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,81,29,4,27,50,11,12,23,6,8,32
2,1,0,20:00,4,0,19,11,1,0,0,0,0,19,81,29,4,27,50,11,12,23,6,8,32
3,1, ,19:51,3,6,0,0,0,0,0,0,0,19,81,29,4,27,50,11,12,23,6,8,32
4,1,0,19:51,4,1,19,11,3,0,0,0,0,19,81,29,4,27,50,11,12,23,6,8,32
5,1,0,19:16,1,1,23,0,1,69,1,0,0,19,28,29,4,27,50,11,12,23,6,8,32
6,1, ,19:15,3,1,0,0,0,0,0,0,0,19,28,29,4,27,50,11,12,23,26,33,32
7,1,0,19:15,4,0,16,10,2,0,0,0,0,16,28,52,2,7,50,10,14,74,2,27,32
8,1,0,19:07,9,1,27,0,1,0,0,0,0,16,28,52,2,7,50,10,14,74,2,27,32
9,1,0,18:59,13,1,74,7,2,0,0,0,0,16,28,52,2,7,50,10,14,74,2,27,32
10,1, ,18:52,3,2,0,0,0,0,0,0,0,16,28,52,2,7,50,10,14,74,2,27,32
11,1,0,18:52,4,1,26,28,1,0,0,0,0,26,10,88,4,27,50,22,28,13,26,33,32
12,1, ,18:42,3,8,0,0,0,0,0,0,0,26,10,88,4,27,50,22,28,13,26,33,32
13,1,0,18:42,4,0,26,28,2,0,0,0,0,26,10,88,8,32,50,22,28,13,26,33,32
14,1,0,18:39,1,1,22,0,3,35,6,0,0,26,10,88,8,32,50,22,28,13,26,33,32
15,1, ,18:38,3,1,0,0,0,0,0,0,0,26,10,88,8,32,50,22,28,13,26,33,32
16,1,0,18:38,4,0,26,28,2,0,0,0,0,26,10,88,8,32,50,22,28,13,26,33,32
17,1,0,18:28,5,1,33,10,2,0,0,0,0,26,10,88,8,32,50,22,28,13,26,33,32
18,1,0,18:23,5,0,26,28,3,0,0,0,0,26,10,88,8,32,50,22,28,13,26,33,32
19,1,0,18:15,5,0,32,13,2,0,0,0,0,26,10,88,8,32,50,22,28,13,26,33,32
20,1,0,18:07,9,0,8,0,3,0,0,0,0,65,10,88,8,32,50,73,77,13,26,33,32
21,1,0,17:53,5,0,7,77,2,0,0,0,0,65,23,20,7,8,50,73,77,70,6,8,32
22,1,0,17:35,5,0,65,73,2,0,0,0,0,65,23,20,2,7,50,73,77,70,6,8,32
23,1,0,17:30,8,1,73,0,3,0,0,0,0,65,23,20,2,7,50,73,77,70,6,8,32
24,1,0,17:26,1,1,8,0,3,31,3,0,0,65,23,20,2,7,50,73,77,70,6,8,32
25,1, ,17:25,3,1,0,0,0,0,0,0,0,65,23,20,2,7,50,73,77,70,6,8,32
26,1,0,17:25,4,1,19,11,3,0,0,0,0,16,19,81,4,27,50,11,12,23,6,8,32
27,1,0,17:20,7,1,6,0,3,59,1,0,0,16,19,81,4,27,50,11,12,23,6,8,32
28,1,0,17:10,1,0,4,0,3,46,2,0,0,16,19,81,4,27,50,11,12,23,6,8,32
29,1,0,16:51,7,0,27,0,3,55,1,0,0,19,81,29,4,27,50,11,12,23,6,8,32
30,1,0,16:35,5,0,29,8,3,0,0,0,0,65,23,29,2,7,50,11,12,23,6,8,32
31,1,0,16:11,9,1,14,0,2,0,0,0,0,65,23,20,2,7,50,11,12,14,6,8,32
32,1,0,16:03,9,0,65,0,3,0,0,0,0,65,23,20,2,7,50,11,12,14,6,8,32
33,1,0,15:47,5,1,2,20,2,0,0,0,0,65,88,20,8,32,50,10,14,74,2,27,32
34,1,0,15:45,5,0,65,10,3,0,0,0,0,65,88,20,8,32,50,10,14,74,2,27,32
35,1,0,15:39,5,0,8,27,2,0,0,0,0,65,88,20,8,32,50,10,14,74,2,27,32
36,1,0,15:25,5,1,2,26,2,0,0,0,0,26,10,88,8,32,50,10,14,74,2,27,32
37,1,0,15:20,6,0,26,0,3,0,0,0,0,26,10,88,8,32,50,10,22,74,2,27,32
38,1,-1,15:20,4,0,16,11,2,0,0,0,0,16,28,2,4,50,0,11,77,12,8,26,32
39,1, ,14:44,3,2,0,0,0,0,0,0,0,19,81,7,27,50,0,10,77,12,8,26,32
40,1,1,14:44,4,1,19,10,1,0,0,0,0,19,81,7,27,50,0,10,14,23,6,27,32
41,1,-1,14:39,8,0,19,0,1,0,0,0,0,19,81,7,27,50,0,10,14,23,6,27,32
42,1,-1,14:34,2,0,19,0,3,29,1,0,0,19,81,7,27,50,0,10,14,23,6,27,32
43,1,-1,14:34,4,0,16,10,1,0,0,0,0,16,28,2,4,50,0,10,14,23,6,27,32
44,1,1,13:51,7,1,26,0,3,58,2,0,0,19,81,7,27,50,0,11,77,12,8,26,32
45,1,1,13:44,2,1,26,0,3,35,2,77,8,19,81,7,27,50,0,11,77,12,8,26,32
46,1,0,13:44,4,0,26,28,1,0,0,0,0,26,10,88,8,32,50,22,28,13,26,33,32
47,1,0,13:38,5,1,26,8,1,0,0,0,0,26,10,88,8,32,50,22,28,13,26,33,32
48,1,0,13:16,9,0,8,0,2,0,0,0,0,26,10,88,8,32,50,22,28,13,8,33,32
49,1,0,13:15,1,1,22,0,3,35,1,0,0,26,10,88,8,32,50,22,28,13,8,33,32
50,1,0,13:08,9,0,10,0,2,0,0,0,0,26,10,88,8,32,50,22,28,13,8,33,32
51,1,0,12:44,5,0,2,77,2,0,0,0,0,65,23,20,2,7,50,73,77,70,6,8,32
52,1,0,12:41,9,0,2,0,2,0,0,0,0,65,23,20,2,7,50,73,77,70,6,8,32
53,1,0,12:37,7,1,6,0,3,31,1,0,0,65,23,20,2,7,50,73,77,70,6,8,32
54,1,0,12:35,5,0,65,73,2,0,0,0,0,65,23,20,2,7,50,73,77,70,6,8,32
55,1,0,12:19,1,0,81,0,3,50,2,0,0,19,81,29,4,27,50,73,77,74,6,8,32
56,1,0,11:32,5,1,10,32,3,0,0,0,0,16,28,52,8,32,50,10,12,23,26,33,32
57,1,0,11:22,5,0,32,23,1,0,0,0,0,16,10,28,27,32,50,11,12,23,26,33,32
58,1,0,11:03,5,1,11,26,2,0,0,0,0,26,10,88,2,4,50,11,12,23,26,33,32
59,1,0,10:52,1,1,11,0,3,49,3,0,0,26,10,88,2,4,50,11,12,23,6,8,32
60,1, ,10:51,3,0,0,0,0,0,0,0,0,26,10,88,2,4,50,11,12,23,6,8,32
61,1,0,10:51,4,0,19,28,2,0,0,0,0,16,19,81,4,27,50,22,28,13,6,8,32
62,1,0,10:18,1,0,29,0,3,58,1,0,0,19,81,29,2,7,50,28,73,13,2,27,32
63,1,0,10:17,5,1,2,29,2,0,0,0,0,26,81,29,2,7,50,28,73,13,2,27,32
64,1,0,10:11,5,0,29,27,3,0,0,0,0,26,88,29,2,7,50,73,77,13,2,27,32
65,1,0,10:09,6,1,27,0,2,0,0,0,0,26,88,29,2,7,50,73,77,13,2,27,32
66,1,1,10:09,4,0,19,28,3,0,0,0,0,19,10,88,29,2,50,22,28,6,8,32,0
67,1, ,9:41,3,2,0,0,0,0,0,0,0,19,10,88,29,2,50,11,23,26,33,32,0
68,1,-1,9:41,4,1,20,11,1,0,0,0,0,23,81,20,7,8,50,11,23,26,33,32,0
69,1,-1,8:59,7,1,77,0,3,12,6,0,0,23,81,20,7,8,50,10,77,6,8,32,0
70,1,-1,8:21,1,1,8,0,3,25,6,0,0,19,10,88,29,2,50,28,74,8,33,32,0
71,1,1,8:20,5,0,10,8,2,0,0,0,0,19,10,88,29,2,50,28,74,8,33,32,0
72,1,1,8:10,1,0,29,0,3,13,1,0,0,19,88,29,2,32,50,28,74,8,33,32,0
