# 2014/05/29 
# MTL , NYR 
# 0 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,81,17,8,26,76,35,22,28,15,6,18,30
2,1,0,20:00,4,1,81,28,1,0,0,0,0,81,17,8,26,76,35,22,28,15,6,18,30
3,1,0,19:54,5,0,17,6,1,0,0,0,0,81,17,8,26,76,35,22,28,15,6,18,30
4,1,0,19:47,1,1,6,0,3,63,1,0,0,81,17,8,26,76,35,22,28,15,6,18,30
5,1,0,19:39,1,1,22,0,3,12,1,0,0,81,17,8,26,76,35,22,28,15,6,18,30
6,1,0,19:36,5,1,15,8,3,0,0,0,0,81,17,8,26,76,35,22,28,15,6,18,30
7,1,0,19:29,5,1,6,17,3,0,0,0,0,81,17,8,26,76,35,22,28,15,6,18,30
8,1,0,18:58,5,1,20,43,3,0,0,0,0,14,27,21,43,79,35,20,21,61,5,27,30
9,1, ,18:56,3,2,0,0,0,0,0,0,0,14,27,21,40,55,35,20,21,61,5,27,30
10,1,0,18:56,4,1,51,16,1,0,0,0,0,51,11,67,40,55,35,16,36,67,6,18,30
11,1, ,18:50,3,6,0,0,0,0,0,0,0,51,11,67,40,55,35,16,36,67,6,18,30
12,1,0,18:50,4,1,51,16,2,0,0,0,0,51,11,67,40,55,35,16,36,67,6,18,30
13,1,0,18:43,9,1,36,0,2,0,0,0,0,51,11,67,40,55,35,16,36,67,6,18,30
14,1,0,18:35,8,1,36,0,2,0,0,0,0,51,11,67,40,55,35,16,36,67,6,18,30
15,1,0,18:29,1,1,36,0,3,11,3,0,0,51,11,67,40,55,35,16,36,67,6,18,30
16,1,0,18:14,9,1,67,0,2,0,0,0,0,51,11,67,26,76,35,16,36,67,6,18,30
17,1,0,18:10,13,0,11,36,2,0,0,0,0,51,11,67,26,76,35,16,36,67,6,18,30
18,1, ,17:27,3,2,0,0,0,0,0,0,0,81,17,8,43,79,35,19,26,62,4,8,30
19,1,0,17:27,4,1,81,28,1,0,0,0,0,81,17,8,43,79,35,22,28,15,4,8,30
20,1,0,17:10,5,1,15,43,1,0,0,0,0,81,17,8,43,79,35,22,28,15,4,8,30
21,1,0,16:28,13,0,20,18,2,0,0,0,0,48,20,49,40,55,35,20,21,61,6,18,30
22,1,0,16:16,13,1,61,55,2,0,0,0,0,48,20,49,40,55,35,20,21,61,5,27,30
23,1,0,16:11,5,1,61,55,3,0,0,0,0,48,20,49,40,55,35,20,21,61,5,27,30
24,1,0,16:03,1,1,21,0,3,39,1,0,0,48,21,49,40,55,35,20,21,61,5,27,30
25,1,0,15:57,13,1,5,21,2,0,0,0,0,48,21,49,40,55,35,20,21,61,5,27,30
26,1,0,15:22,5,1,16,43,3,0,0,0,0,14,27,21,43,79,35,16,36,67,6,8,30
27,1,0,15:10,6,0,21,30,3,0,0,0,0,14,27,21,43,79,35,16,36,67,6,8,30
