# 2014/10/12 
# WPG , L.A 
# 1 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,18,67,16,39,44,34,11,12,14,3,8,31
2,1,0,20:00,4,1,18,11,1,0,0,0,0,18,67,16,39,44,34,11,12,14,3,8,31
3,1,0,19:51,5,1,14,39,3,0,0,0,0,18,67,16,39,44,34,11,12,14,3,8,31
4,1,0,19:45,1,1,11,0,3,33,1,0,0,18,67,16,39,44,34,11,12,14,3,8,31
5,1,0,19:18,5,0,16,14,3,0,0,0,0,18,67,16,5,8,34,11,12,14,3,8,31
6,1,0,19:13,5,0,8,11,2,0,0,0,0,18,67,16,5,8,34,11,28,12,26,44,31
7,1, ,19:01,3,2,0,0,0,0,0,0,0,55,26,5,8,33,34,28,23,74,26,44,31
8,1,0,19:01,4,0,55,28,1,0,0,0,0,55,26,2,4,33,34,28,23,74,26,44,31
9,1,0,18:49,8,0,55,0,3,0,0,0,0,55,26,2,4,33,34,28,23,74,26,44,31
10,1,0,18:38,5,1,74,2,3,0,0,0,0,55,26,2,4,33,34,28,23,74,26,44,31
11,1, ,18:29,3,6,0,0,0,0,0,0,0,55,26,2,4,33,34,28,23,74,26,44,31
12,1,0,18:29,4,0,55,77,2,0,0,0,0,55,26,2,4,33,34,73,77,70,2,27,31
13,1,0,18:14,5,1,77,17,1,0,0,0,0,85,26,17,5,8,34,73,77,70,2,27,31
14,1, ,17:48,3,4,0,0,0,0,0,0,0,85,22,17,5,8,34,73,77,70,2,27,31
15,1,0,17:48,4,0,17,10,1,0,0,0,0,85,22,17,2,4,34,10,71,13,3,8,31
16,1,0,17:46,6,1,13,22,2,0,0,0,0,85,22,17,2,4,34,10,71,13,3,8,31
17,1,0,17:46,6,0,22,13,3,0,0,0,0,85,22,17,2,4,34,10,71,3,8,31,0
18,1,0,17:46,4,1,19,10,1,0,0,0,0,19,14,21,2,4,34,10,71,23,2,27,31
19,1,0,17:37,5,1,71,4,3,0,0,0,0,19,14,21,2,4,34,10,71,23,2,27,31
20,1,0,17:27,5,1,23,19,3,0,0,0,0,19,14,21,2,4,34,10,71,23,2,27,31
