# 2014/10/17 
# DET , TOR 
# 4 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,14,93,40,2,55,35,25,47,71,3,4,34
2,1,0,20:00,4,0,40,25,1,0,0,0,0,14,93,40,2,55,35,25,47,71,3,4,34
3,1,0,19:46,5,1,3,40,2,0,0,0,0,14,93,40,2,55,35,25,47,71,3,4,34
4,1,0,19:45,13,0,40,4,2,0,0,0,0,14,93,40,2,55,35,25,47,71,3,4,34
5,1, ,19:28,3,1,0,0,0,0,0,0,0,14,93,40,2,65,35,25,47,71,3,50,34
6,1,0,19:28,4,1,15,42,2,0,0,0,0,15,21,26,27,65,35,42,81,21,46,50,34
7,1,0,19:06,9,0,27,0,2,0,0,0,0,15,21,26,27,65,35,42,81,21,46,50,34
8,1, ,19:02,3,0,0,0,0,0,0,0,0,15,21,26,27,65,35,42,81,21,46,50,34
9,1,0,19:02,4,0,41,24,1,0,0,0,0,18,41,20,4,52,35,24,18,67,44,51,34
10,1,0,18:53,13,1,44,52,2,0,0,0,0,18,41,20,4,52,35,24,18,67,44,51,34
11,1, ,18:53,3,4,0,0,0,0,0,0,0,18,41,20,4,52,35,24,18,67,44,51,34
12,1,0,18:53,4,1,41,24,3,0,0,0,0,18,41,20,4,52,35,24,18,67,44,51,34
13,1,0,18:48,7,1,44,0,3,43,1,0,0,18,41,20,4,52,35,24,18,67,44,51,34
14,1,0,18:46,7,1,18,0,3,13,5,0,0,18,41,20,4,52,35,24,18,67,44,51,34
15,1,0,18:25,5,1,51,18,2,0,0,0,0,18,41,20,4,52,35,24,18,67,44,51,34
16,1,0,18:15,5,0,41,67,2,0,0,0,0,18,41,20,4,52,35,24,18,67,3,4,34
17,1,0,18:14,5,1,4,20,2,0,0,0,0,18,41,20,4,52,35,24,18,67,3,4,34
