# 2014/10/19 
# CGY , WPG 
# 4 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,8,23,24,5,7,1,18,16,33,39,44,31
2,1,0,20:00,4,1,23,18,1,0,0,0,0,8,23,24,5,7,1,18,16,33,39,44,31
3,1, ,19:53,3,3,0,0,0,0,0,0,0,8,23,24,5,7,1,18,16,33,39,44,31
4,1,0,19:53,4,1,23,18,1,0,0,0,0,8,23,24,5,7,1,18,16,33,39,44,31
5,1,0,19:12,13,0,20,5,2,0,0,0,0,23,22,20,4,6,1,55,85,5,8,33,31
6,1,0,18:49,5,0,18,8,2,0,0,0,0,18,22,20,4,6,1,55,85,26,2,8,31
7,1, ,18:46,3,10,0,0,0,0,0,0,0,18,22,20,4,6,1,55,85,26,2,8,31
8,1,0,18:46,4,0,11,17,1,0,0,0,0,11,13,21,15,33,1,67,17,21,2,4,31
9,1,0,18:23,5,0,11,21,2,0,0,0,0,11,13,21,15,33,1,67,17,21,2,4,31
10,1, ,18:15,3,6,0,0,0,0,0,0,0,11,13,21,15,33,1,67,17,21,2,4,31
11,1,0,18:15,4,1,11,18,3,0,0,0,0,11,13,21,15,33,1,18,16,5,8,33,31
12,1,0,18:09,1,1,18,0,3,15,1,0,0,11,13,21,15,33,1,18,16,5,8,33,31
13,1,0,18:08,7,1,33,0,3,12,6,0,0,11,13,21,15,33,1,18,16,5,8,33,31
14,1, ,18:04,3,6,0,0,0,0,0,0,0,11,13,21,15,33,1,18,16,5,8,33,31
15,1,0,18:04,4,0,11,18,2,0,0,0,0,11,13,21,15,33,1,18,16,5,8,33,31
16,1, ,17:52,3,2,0,0,0,0,0,0,0,11,13,21,15,33,1,18,16,5,8,33,31
17,1,0,17:52,4,1,32,19,1,0,0,0,0,17,25,32,4,6,1,19,14,22,2,4,31
18,1, ,17:38,3,2,0,0,0,0,0,0,0,17,25,32,4,6,1,19,14,22,2,4,31
19,1,0,17:38,4,1,23,55,1,0,0,0,0,8,23,24,5,7,1,55,85,26,39,44,31
20,1,0,17:25,1,1,39,0,3,58,1,0,0,8,23,24,5,7,1,55,85,26,39,44,31
21,1,0,17:10,1,1,39,0,3,42,1,0,0,8,23,24,5,7,1,55,85,26,39,44,31
22,1,0,16:44,5,0,20,44,3,0,0,0,0,18,22,20,4,6,1,67,17,21,5,44,31
23,1, ,16:35,3,6,0,0,0,0,0,0,0,18,22,20,4,6,1,67,17,21,5,44,31
24,1,0,16:35,4,0,11,17,3,0,0,0,0,11,13,21,15,33,1,67,17,21,5,44,31
25,1,0,16:31,13,0,33,21,2,0,0,0,0,11,13,21,15,33,1,67,17,21,5,44,31
26,1,0,16:03,1,1,5,0,3,48,1,0,0,11,13,21,15,33,1,67,16,17,5,8,31
27,1,0,15:28,5,0,25,4,3,0,0,0,0,17,25,32,5,7,1,18,16,2,4,33,31
28,1,0,15:22,1,1,33,0,3,56,2,0,0,17,25,32,5,7,1,18,16,2,4,33,31
29,1,0,15:13,13,1,4,25,2,0,0,0,0,17,25,32,5,7,1,18,16,2,4,33,31
30,1,0,15:07,13,1,2,17,2,0,0,0,0,17,25,32,5,7,1,18,16,2,4,33,31
31,1, ,14:49,3,5,0,0,0,0,0,0,0,8,23,24,5,7,1,55,26,16,39,44,31
32,1,0,14:49,4,0,23,55,1,0,0,0,0,8,23,24,4,6,1,55,85,26,39,44,31
33,1,0,14:32,6,0,8,39,3,0,0,0,0,8,23,24,4,6,1,55,85,26,39,44,31
34,1,1,14:32,4,1,18,55,3,0,0,0,0,18,17,5,7,1,0,55,85,26,33,39,31
