# 2014/10/23 
# CAR , CGY 
# 0 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,18,22,25,4,27,30,11,13,21,4,6,1
2,1,0,19:55,4,1,18,11,1,0,0,0,0,18,22,25,4,27,30,11,13,21,4,6,1
3,1,0,19:02,13,0,6,20,2,0,0,0,0,19,49,28,6,7,30,18,20,32,5,7,1
4,1,0,18:54,5,1,32,20,1,0,0,0,0,19,20,28,6,7,30,18,20,32,5,7,1
5,1,0,18:24,8,1,7,0,2,0,0,0,0,16,20,53,26,65,30,8,18,24,5,7,1
6,1,0,18:15,1,0,53,0,3,37,1,0,0,16,20,53,26,65,30,8,18,24,5,7,1
7,1,0,18:10,5,0,16,5,3,0,0,0,0,16,20,53,26,65,30,8,18,24,5,7,1
8,1,0,17:58,1,0,53,0,3,46,1,0,0,36,48,53,4,27,30,8,23,24,15,29,1
9,1,0,17:43,8,0,36,0,1,0,0,0,0,24,36,48,4,27,30,23,86,25,15,29,1
10,1, ,17:37,3,2,0,0,0,0,0,0,0,24,36,48,4,27,30,23,86,25,15,29,1
11,1,0,17:37,4,0,18,17,1,0,0,0,0,18,22,25,4,27,30,86,17,25,15,29,1
12,1, ,17:13,3,6,0,0,0,0,0,0,0,18,22,25,4,27,30,86,17,25,15,29,1
13,1,0,17:13,4,0,49,17,3,0,0,0,0,19,49,28,6,7,30,86,17,25,15,29,1
14,1,0,17:08,13,0,28,15,2,0,0,0,0,19,49,28,6,7,30,86,17,25,15,29,1
15,1,0,16:53,13,0,28,5,2,0,0,0,0,19,49,28,6,7,30,11,13,21,5,7,1
16,1,0,16:44,9,0,30,0,2,0,0,0,0,19,49,28,6,7,30,11,13,21,5,7,1
17,1,0,16:32,8,0,49,0,3,0,0,0,0,19,49,28,26,65,30,11,13,21,5,7,1
18,1,0,16:31,7,0,19,0,3,18,3,0,0,19,49,28,26,65,30,11,13,21,5,7,1
19,1,0,16:21,7,1,21,0,3,42,1,0,0,16,20,53,26,65,30,11,13,21,4,6,1
20,1,0,15:49,13,1,32,65,2,0,0,0,0,16,20,53,26,65,30,18,20,32,4,6,1
21,1,0,15:37,13,1,20,65,2,0,0,0,0,16,20,53,26,65,30,18,20,32,4,6,1
22,1,0,15:08,8,1,8,0,1,0,0,0,0,18,22,25,4,27,30,8,23,24,15,29,1
23,1, ,14:26,3,0,0,0,0,0,0,0,0,24,36,48,6,7,30,86,17,25,15,29,1
24,1,0,14:26,4,1,48,17,1,0,0,0,0,24,36,48,6,7,30,86,17,25,4,6,1
25,1,0,13:38,9,0,24,0,3,0,0,0,0,24,36,48,6,7,30,86,17,25,4,6,1
26,1,0,13:36,1,1,25,0,3,57,3,0,0,24,36,48,6,7,30,86,17,25,4,6,1
27,1,0,13:01,8,1,13,0,3,0,0,0,0,19,49,28,7,26,30,11,13,21,5,7,1
28,1,0,12:36,1,0,20,0,3,19,1,0,0,16,20,53,26,65,30,18,20,32,15,29,1
29,1, ,12:34,3,9,0,0,0,0,0,0,0,16,20,53,26,65,30,18,20,32,15,29,1
30,1,0,12:34,4,1,20,18,2,0,0,0,0,16,20,53,4,27,30,18,20,32,4,6,1
31,1,0,12:23,8,1,32,0,3,0,0,0,0,16,20,53,4,27,30,18,20,32,4,6,1
32,1,0,12:22,1,1,18,0,3,36,1,0,0,16,20,53,4,27,30,18,20,32,4,6,1
33,1,0,12:16,5,1,20,27,3,0,0,0,0,16,20,53,4,27,30,18,20,32,4,6,1
34,1,0,12:01,8,0,20,0,3,0,0,0,0,16,20,53,6,7,30,18,20,32,4,6,1
35,1,0,11:56,8,1,4,0,2,0,0,0,0,16,20,53,6,7,30,18,20,32,4,6,1
36,1,0,11:23,8,1,24,0,3,0,0,0,0,18,22,25,6,7,30,8,23,24,5,29,1
37,1,0,11:21,1,1,23,0,3,17,3,0,0,18,22,25,6,7,30,8,23,24,5,29,1
38,1,0,10:37,5,0,36,86,2,0,0,0,0,24,36,48,26,65,30,86,17,25,15,29,1
39,1,0,10:26,9,1,86,0,3,0,0,0,0,24,36,48,26,65,30,86,17,25,15,29,1
40,1,0,10:19,5,0,65,25,1,0,0,0,0,24,36,48,26,65,30,86,17,25,15,29,1
41,1, ,9:56,3,0,0,0,0,0,0,0,0,19,49,28,4,27,30,11,13,21,5,7,1
42,1,0,9:56,4,0,49,18,1,0,0,0,0,19,49,28,4,27,30,18,20,32,5,7,1
43,1,0,9:37,9,0,28,0,2,0,0,0,0,19,49,28,4,27,30,18,20,32,5,7,1
44,1,0,9:36,1,1,20,0,3,14,5,0,0,19,49,28,4,27,30,18,20,32,5,7,1
45,1, ,9:35,3,1,0,0,0,0,0,0,0,19,49,28,4,27,30,18,20,32,5,7,1
46,1,0,9:35,4,1,20,11,3,0,0,0,0,16,20,53,4,27,30,11,13,21,4,6,1
