# 2014/10/30 
# WPG , N.J 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,18,67,16,39,44,31,12,26,29,2,24,35
2,1,0,20:00,4,1,16,26,1,0,0,0,0,18,67,16,39,44,31,12,26,29,2,24,35
3,1, ,19:52,3,1,0,0,0,0,0,0,0,18,67,16,39,44,31,12,26,29,2,24,35
4,1,0,19:52,4,1,18,26,3,0,0,0,0,18,67,16,39,44,31,12,26,29,2,24,35
5,1, ,19:31,3,6,0,0,0,0,0,0,0,18,67,16,39,44,31,12,26,29,2,24,35
6,1,0,19:31,4,0,55,26,3,0,0,0,0,55,26,9,5,8,31,12,26,29,2,24,35
7,1,0,19:24,5,1,2,26,2,0,0,0,0,55,26,9,5,8,31,12,26,29,2,24,35
8,1,0,18:40,5,0,8,8,2,0,0,0,0,55,85,5,8,33,31,8,19,68,6,28,35
9,1,0,18:29,7,1,6,0,3,55,1,0,0,55,85,5,8,33,31,8,19,68,6,28,35
10,1,0,18:22,13,1,19,8,2,0,0,0,0,85,17,8,24,33,31,8,19,68,6,28,35
11,1,0,18:01,8,1,14,0,3,0,0,0,0,85,17,4,24,33,31,14,18,17,5,7,35
12,1,0,17:59,7,1,18,0,3,40,3,0,0,85,17,4,24,33,31,14,18,17,5,7,35
13,1,0,17:52,5,0,4,18,2,0,0,0,0,85,17,4,24,33,31,14,18,17,5,7,35
14,1,0,17:36,8,1,5,0,2,0,0,0,0,22,17,21,5,44,31,14,18,17,5,7,35
15,1,0,17:24,5,1,15,44,3,0,0,0,0,19,22,21,5,44,31,14,11,15,5,7,35
16,1,0,16:58,13,1,11,5,2,0,0,0,0,19,22,21,5,8,31,16,11,15,6,28,35
17,1,0,16:35,9,1,6,0,3,0,0,0,0,19,22,21,5,8,31,12,16,15,6,28,35
18,1,0,16:00,1,0,44,0,1,79,3,0,0,18,67,16,39,44,31,12,26,29,2,24,35
19,1,0,15:48,1,0,67,0,3,60,3,0,0,18,67,9,5,8,31,12,26,29,2,24,35
20,1,0,15:39,1,1,19,0,3,38,3,0,0,55,26,9,5,8,31,8,19,68,6,28,35
21,1,0,15:16,9,1,68,0,3,0,0,0,0,55,26,9,5,8,31,8,19,68,6,28,35
22,1, ,15:14,3,2,0,0,0,0,0,0,0,55,26,9,4,24,31,8,19,68,6,28,35
23,1,0,15:14,4,1,17,14,1,0,0,0,0,85,17,4,24,33,31,14,18,17,5,7,35
24,1, ,15:07,3,6,0,0,0,0,0,0,0,85,17,4,24,33,31,14,18,17,5,7,35
25,1,0,15:07,4,0,17,14,3,0,0,0,0,85,17,4,24,33,31,14,18,17,5,7,35
26,1,0,14:02,5,0,19,2,3,0,0,0,0,19,22,21,5,8,31,16,11,15,2,24,35
27,1,0,13:49,13,0,5,2,2,0,0,0,0,19,22,21,5,8,31,16,11,15,2,24,35
28,1, ,13:45,3,0,0,0,0,0,0,0,0,19,22,21,5,8,31,16,11,15,2,24,35
29,1,0,13:45,4,0,18,26,1,0,0,0,0,18,67,16,39,44,31,12,26,29,2,24,35
30,1,0,13:04,2,0,26,0,3,9,1,39,44,18,26,67,16,39,44,12,19,29,2,24,35
31,1,0,13:04,4,1,55,19,1,0,0,0,0,55,26,9,5,8,31,8,19,68,6,28,35
32,1,0,12:23,13,1,68,8,2,0,0,0,0,55,9,5,8,33,31,8,14,68,6,28,35
33,1, ,12:23,3,4,0,0,0,0,0,0,0,55,9,5,8,33,31,8,14,68,6,28,35
34,1,0,12:23,4,1,17,14,3,0,0,0,0,85,17,4,24,33,31,14,18,17,5,7,35
35,1, ,12:19,3,1,0,0,0,0,0,0,0,85,17,4,24,33,31,14,18,17,5,7,35
36,1,0,12:19,1,1,5,0,3,62,2,0,0,85,17,4,24,33,31,14,18,17,5,7,35
37,1,0,12:19,4,1,17,14,3,0,0,0,0,85,17,4,24,33,31,14,18,17,5,7,35
38,1,0,12:05,13,1,14,24,2,0,0,0,0,85,17,4,24,33,31,14,18,17,5,7,35
39,1,0,11:51,5,1,14,4,3,0,0,0,0,85,17,4,24,33,31,14,18,17,5,7,35
40,1, ,11:47,3,10,0,0,0,0,0,0,0,85,17,4,24,33,31,14,18,17,5,7,35
41,1,0,11:47,4,0,19,19,2,0,0,0,0,19,22,21,39,44,31,8,19,68,6,28,35
42,1,0,11:40,8,1,68,0,1,0,0,0,0,19,22,21,39,44,31,8,19,68,6,28,35
43,1,0,11:34,1,1,8,0,3,15,1,0,0,19,22,21,39,44,31,8,19,68,6,28,35
44,1,0,11:11,13,1,28,21,2,0,0,0,0,19,22,21,39,44,31,8,19,68,6,28,35
45,1, ,10:58,3,11,0,0,0,0,0,0,0,19,67,21,39,44,31,8,19,68,6,28,35
46,1,0,10:58,4,1,18,16,1,0,0,0,0,18,67,16,5,8,31,16,11,15,2,24,35
47,1,0,10:40,5,0,5,15,2,0,0,0,0,18,67,16,5,8,31,16,11,15,2,24,35
