# 2014/11/07 
# EDM , BUF 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,14,93,67,2,86,35,28,12,26,4,57,34
2,1,0,20:00,4,0,93,28,1,0,0,0,0,14,93,67,2,86,35,28,12,26,4,57,34
3,1, ,19:30,3,1,0,0,0,0,0,0,0,14,93,67,2,86,35,28,12,26,4,57,34
4,1,0,19:30,4,0,29,17,3,0,0,0,0,29,16,62,5,22,35,17,63,80,55,61,34
5,1,0,19:21,1,0,62,0,3,16,1,0,0,29,16,62,5,22,35,17,63,80,55,61,34
6,1,0,19:18,1,0,62,0,3,9,1,0,0,29,16,62,5,22,35,17,63,80,55,61,34
7,1, ,19:09,3,11,0,0,0,0,0,0,0,29,16,62,5,22,35,17,63,80,55,61,34
8,1,0,19:09,4,0,26,19,1,0,0,0,0,10,26,57,19,85,35,19,21,44,55,61,34
9,1,0,18:37,7,0,57,0,3,24,1,0,0,10,26,57,19,85,35,19,21,44,55,61,34
10,1,0,18:13,9,1,51,0,2,0,0,0,0,23,27,6,2,86,35,8,65,22,41,51,34
11,1,0,18:09,5,1,51,23,2,0,0,0,0,23,27,6,2,86,35,8,65,22,41,51,34
12,1,0,18:09,1,0,86,0,3,67,3,0,0,23,27,6,2,86,35,8,65,22,41,51,34
13,1, ,18:08,3,1,0,0,0,0,0,0,0,14,93,67,2,86,35,8,65,22,41,51,34
14,1,0,18:08,4,0,93,28,3,0,0,0,0,14,93,67,2,86,35,28,12,26,4,57,34
15,1,0,17:52,1,1,12,0,3,14,3,0,0,14,93,67,2,86,35,28,12,26,4,57,34
16,1, ,17:50,3,1,0,0,0,0,0,0,0,14,93,67,2,86,35,28,12,26,4,57,34
17,1,0,17:50,4,0,27,28,2,0,0,0,0,23,27,6,5,22,35,28,12,26,41,61,34
18,1,0,17:22,13,0,27,28,2,0,0,0,0,23,27,6,5,22,35,28,12,26,41,61,34
19,1,0,16:04,1,0,29,0,3,54,2,0,0,29,16,62,19,85,35,17,63,80,41,51,34
20,1,0,15:48,6,1,41,2,3,0,0,0,0,29,16,62,2,86,35,19,21,44,41,51,34
21,1,-1,15:48,4,1,27,8,2,0,0,0,0,14,27,93,26,19,35,8,65,4,57,34,0
22,1, ,15:32,3,6,0,0,0,0,0,0,0,14,93,26,67,19,35,8,65,4,57,34,0
23,1,1,15:32,4,0,26,8,2,0,0,0,0,14,93,26,67,19,35,8,65,4,57,34,0
24,1,1,15:11,1,0,93,0,3,20,1,0,0,14,93,26,67,19,35,8,65,4,57,34,0
25,1, ,15:10,3,1,0,0,0,0,0,0,0,14,93,26,67,19,35,8,65,4,57,34,0
26,1,-1,15:10,4,1,27,28,2,0,0,0,0,27,10,16,57,86,35,17,28,55,61,34,0
27,1,1,14:35,5,0,57,55,3,0,0,0,0,29,10,16,57,86,35,17,28,55,61,34,0
28,1,-1,14:12,1,1,65,0,3,16,6,0,0,23,29,10,19,86,35,8,65,4,57,34,0
29,1,1,13:54,1,0,23,0,3,28,6,0,0,23,27,6,19,85,35,8,65,4,57,34,0
30,1,0,13:34,1,0,27,0,3,14,1,0,0,23,27,6,19,85,35,17,63,80,55,61,34
31,1, ,13:23,3,0,0,0,0,0,0,0,0,23,27,6,19,85,35,17,63,80,55,61,34
32,1,0,13:23,4,1,26,28,2,0,0,0,0,10,26,57,5,22,35,28,12,26,55,61,34
33,1,0,13:16,5,0,22,12,3,0,0,0,0,10,26,57,5,22,35,28,12,26,55,61,34
34,1, ,13:11,3,2,0,0,0,0,0,0,0,10,26,57,5,22,35,28,12,26,55,61,34
35,1,0,13:11,4,0,26,28,1,0,0,0,0,10,26,57,5,22,35,28,12,26,55,61,34
36,1,0,13:00,5,1,28,22,3,0,0,0,0,10,26,57,5,22,35,28,12,26,55,61,34
37,1,0,12:48,1,1,28,0,3,24,1,0,0,93,10,67,5,22,35,28,12,26,55,61,34
38,1, ,12:46,3,1,0,0,0,0,0,0,0,14,93,67,5,22,35,28,12,26,4,57,34
39,1,0,12:46,4,1,67,19,3,0,0,0,0,14,93,67,2,86,35,19,21,44,4,57,34
40,1,0,12:38,13,1,57,93,2,0,0,0,0,14,93,67,2,86,35,19,21,44,4,57,34
41,1,0,12:20,9,1,21,0,2,0,0,0,0,14,93,67,2,86,35,19,21,44,4,57,34
42,1,0,12:18,7,0,67,0,3,57,2,0,0,14,93,67,2,86,35,19,21,44,4,57,34
43,1,0,11:56,1,1,21,0,3,35,1,0,0,14,29,16,2,86,35,19,21,44,51,57,34
44,1,0,11:46,1,0,62,0,3,9,6,0,0,29,16,62,19,85,35,19,21,44,51,57,34
45,1, ,11:44,3,1,0,0,0,0,0,0,0,29,16,62,19,85,35,19,21,44,51,57,34
46,1,0,11:44,4,0,29,63,3,0,0,0,0,29,16,62,19,85,35,17,63,80,41,51,34
47,1,0,11:24,9,1,80,0,3,0,0,0,0,29,16,62,19,85,35,17,63,80,41,51,34
48,1,0,11:19,9,0,19,0,2,0,0,0,0,29,16,62,19,85,35,17,63,80,41,51,34
49,1,0,11:18,1,1,80,0,3,52,2,0,0,29,16,62,19,85,35,17,63,80,41,51,34
50,1,0,11:12,7,1,80,0,3,18,2,0,0,29,16,62,19,85,35,17,63,80,41,51,34
51,1,0,11:10,5,1,17,19,3,0,0,0,0,29,16,62,19,85,35,17,63,80,41,51,34
52,1,0,11:08,1,0,62,0,3,44,3,0,0,29,16,62,5,22,35,17,63,80,41,51,34
53,1, ,11:07,3,1,0,0,0,0,0,0,0,29,16,62,5,22,35,17,63,80,41,51,34
54,1,0,11:07,4,1,26,8,2,0,0,0,0,10,26,57,5,22,35,8,65,22,55,61,34
55,1, ,10:36,3,6,0,0,0,0,0,0,0,10,26,57,5,22,35,8,65,22,55,61,34
56,1,0,10:36,4,0,26,28,2,0,0,0,0,10,26,57,5,22,35,28,12,26,41,51,34
57,1,0,9:44,5,0,27,44,3,0,0,0,0,23,27,6,2,86,35,28,12,44,41,51,34
58,1, ,9:34,3,0,0,0,0,0,0,0,0,23,27,6,2,86,35,28,12,44,41,51,34
59,1,0,9:34,4,0,93,19,3,0,0,0,0,14,93,67,19,85,35,19,21,44,4,57,34
60,1,0,9:28,7,0,14,0,3,16,3,0,0,14,93,67,19,85,35,19,21,44,4,57,34
61,1,0,9:23,5,0,14,57,3,0,0,0,0,14,93,67,19,85,35,19,21,44,4,57,34
62,1,0,9:14,1,0,93,0,3,20,5,0,0,14,93,67,19,85,35,19,21,44,4,57,34
63,1,0,9:06,5,1,44,19,3,0,0,0,0,14,93,67,19,85,35,19,21,44,4,57,34
64,1, ,9:02,3,2,0,0,0,0,0,0,0,29,16,62,2,86,35,19,21,44,4,57,34
65,1,0,9:02,4,0,29,63,1,0,0,0,0,29,16,62,2,86,35,17,63,80,55,61,34
66,1,0,8:49,9,1,55,0,2,0,0,0,0,29,16,62,2,86,35,17,63,80,55,61,34
67,1,0,8:48,1,0,62,0,3,13,5,0,0,29,16,62,2,86,35,17,63,80,55,61,34
68,1, ,8:47,3,1,0,0,0,0,0,0,0,29,16,62,2,86,35,17,63,80,55,61,34
69,1,0,8:47,4,0,26,63,3,0,0,0,0,10,26,57,2,86,35,17,63,80,55,61,34
70,1,0,8:40,1,0,86,0,3,52,2,0,0,10,26,57,2,86,35,17,63,80,55,61,34
71,1,0,7:38,1,1,41,0,3,22,6,0,0,29,16,62,5,22,35,8,65,22,41,51,34
72,1,0,7:23,1,0,5,0,2,166,3,0,0,29,16,62,5,22,35,8,65,22,41,51,34
73,1,0,7:12,1,1,22,0,3,58,5,0,0,29,16,62,5,22,35,8,65,22,41,51,34
74,1,0,7:08,5,0,22,65,2,0,0,0,0,29,16,62,5,22,35,8,65,22,41,51,34
