# 2014/11/08 
# MIN , MTL 
# 1 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,64,29,26,20,25,35,51,15,67,76,79,31
2,1,0,20:00,4,0,64,51,1,0,0,0,0,64,29,26,20,25,35,51,15,67,76,79,31
3,1, ,19:51,3,6,0,0,0,0,0,0,0,64,29,26,20,25,35,51,15,67,76,79,31
4,1,0,19:51,4,1,64,51,3,0,0,0,0,64,29,26,20,25,35,51,15,67,76,79,31
5,1,0,19:20,1,1,79,0,3,61,2,0,0,64,29,26,20,25,35,51,15,67,76,79,31
6,1, ,19:19,3,1,0,0,0,0,0,0,0,64,29,26,20,25,35,51,15,67,76,79,31
7,1,0,19:19,4,1,21,14,3,0,0,0,0,21,14,22,5,6,35,14,27,11,28,77,31
8,1,0,19:03,13,1,28,14,2,0,0,0,0,21,14,22,5,6,35,14,27,11,28,77,31
9,1,0,18:36,5,0,6,11,2,0,0,0,0,21,14,22,5,6,35,14,11,8,43,74,31
10,1,0,17:18,7,0,18,0,1,81,2,0,0,18,19,56,20,25,35,20,22,32,76,79,31
11,1,0,17:09,5,0,56,20,2,0,0,0,0,18,19,56,20,25,35,20,22,32,43,74,31
12,1,0,16:25,1,0,29,0,3,26,1,0,0,64,29,26,2,5,35,51,15,67,76,79,31
13,1,0,16:02,5,1,67,2,3,0,0,0,0,64,29,26,2,5,35,51,11,67,76,79,31
14,1,0,15:48,13,0,3,76,2,0,0,0,0,3,9,16,20,25,35,14,27,11,76,79,31
15,1, ,15:47,3,4,0,0,0,0,0,0,0,3,9,16,20,25,35,14,27,11,76,79,31
16,1,0,15:47,4,1,9,14,2,0,0,0,0,3,9,16,20,25,35,14,27,11,28,77,31
17,1, ,15:30,3,2,0,0,0,0,0,0,0,3,9,16,20,25,35,14,27,11,28,77,31
18,1,0,15:30,4,0,21,81,1,0,0,0,0,21,14,22,20,25,35,81,8,26,28,77,31
19,1,0,15:20,1,0,14,0,3,10,1,0,0,21,14,22,2,55,35,81,8,26,28,77,31
20,1,0,15:10,7,0,14,0,3,22,1,0,0,21,14,22,2,55,35,81,8,26,28,77,31
21,1, ,14:51,3,6,0,0,0,0,0,0,0,18,21,19,2,55,35,81,8,26,28,43,31
22,1,0,14:51,4,0,21,20,2,0,0,0,0,18,21,19,2,55,35,20,22,32,43,74,31
23,1, ,14:33,3,10,0,0,0,0,0,0,0,18,19,56,5,6,35,20,22,32,43,74,31
24,1,0,14:33,4,1,56,51,1,0,0,0,0,18,19,56,5,6,35,51,15,67,28,77,31
25,1,0,14:17,5,1,67,5,3,0,0,0,0,18,19,56,5,6,35,51,15,67,28,77,31
26,1,0,13:26,13,1,11,25,2,0,0,0,0,64,29,26,20,25,35,14,27,11,76,79,31
27,1,0,13:10,1,0,29,0,3,37,1,0,0,64,29,26,6,20,35,14,27,11,76,79,31
28,1,0,12:52,1,1,79,0,2,161,1,0,0,9,29,26,5,6,35,81,8,26,76,79,31
29,1,0,12:38,1,1,81,0,3,42,1,0,0,3,9,16,5,6,35,81,8,26,43,74,31
30,1,0,12:30,1,1,14,0,3,33,2,0,0,3,9,16,5,6,35,14,81,8,26,43,74
31,1,0,12:29,6,0,9,8,2,0,0,0,0,3,9,16,5,6,35,14,81,8,26,43,74
32,1, ,12:29,3,9,0,0,0,0,0,0,0,3,16,5,6,35,0,14,81,8,26,43,74
33,1,-1,12:29,4,0,64,51,2,0,0,0,0,64,56,20,25,35,0,51,15,67,76,79,31
34,1,1,11:48,1,1,76,0,3,63,2,0,0,21,56,20,25,35,0,51,15,67,76,79,31
35,1,1,11:38,6,1,79,56,1,0,0,0,0,19,56,5,6,35,0,51,15,67,76,79,31
36,1,0,11:38,4,1,64,14,2,0,0,0,0,64,29,5,6,35,0,14,27,28,77,31,0
37,1, ,11:18,3,2,0,0,0,0,0,0,0,64,29,5,6,35,0,14,27,28,77,31,0
38,1,0,11:18,4,1,3,14,1,0,0,0,0,3,16,6,55,35,0,14,27,28,77,31,0
39,1,0,11:07,13,0,6,77,2,0,0,0,0,3,16,6,55,35,0,14,27,28,77,31,0
40,1,0,10:41,1,0,16,0,3,40,1,0,0,3,16,20,55,35,0,14,32,28,77,31,0
41,1, ,10:40,3,1,0,0,0,0,0,0,0,3,16,20,55,35,0,14,32,28,77,31,0
42,1,0,10:40,4,1,29,20,2,0,0,0,0,64,29,26,20,35,0,20,32,43,74,31,0
43,1,1,9:46,1,0,9,0,3,14,1,0,0,9,64,29,26,20,35,81,8,43,74,31,0
44,1,0,9:27,13,0,29,43,2,0,0,0,0,9,64,29,26,6,35,81,8,43,74,79,31
45,1, ,8:52,3,0,0,0,0,0,0,0,0,21,14,22,2,5,35,51,15,67,76,79,31
46,1,0,8:52,4,1,21,14,1,0,0,0,0,21,14,22,20,25,35,14,27,11,28,77,31
47,1,0,8:38,8,0,21,0,2,0,0,0,0,21,14,22,20,25,35,14,27,11,28,77,31
48,1,0,8:32,7,0,14,0,3,52,1,0,0,21,14,22,20,25,35,14,27,11,28,77,31
49,1,0,7:59,5,0,19,15,3,0,0,0,0,18,19,56,20,25,35,51,15,67,28,76,31
50,1,0,7:47,13,0,18,79,2,0,0,0,0,18,19,56,5,6,35,51,15,67,76,79,31
51,1, ,7:46,3,8,0,0,0,0,0,0,0,18,19,56,5,6,35,51,15,67,76,79,31
52,1,0,7:46,4,1,9,81,2,0,0,0,0,3,9,16,2,55,35,81,8,26,43,74,31
53,1,0,7:38,5,0,16,74,3,0,0,0,0,3,9,16,2,55,35,81,8,26,43,74,31
54,1,0,7:18,1,1,81,0,3,60,1,0,0,3,9,16,2,55,35,81,8,26,43,74,31
55,1,0,7:12,13,1,81,55,2,0,0,0,0,3,9,16,2,55,35,81,8,26,43,74,31
56,1,0,7:10,9,0,9,0,2,0,0,0,0,3,9,16,2,55,35,81,8,26,43,74,31
57,1,0,6:37,5,1,22,29,1,0,0,0,0,64,29,26,5,6,35,20,22,32,74,76,31
58,1,0,6:35,1,0,26,0,3,55,1,0,0,64,29,26,5,6,35,20,22,32,74,76,31
59,1, ,6:33,3,1,0,0,0,0,0,0,0,64,29,26,5,6,35,20,22,32,74,76,31
60,1,0,6:33,4,1,64,20,2,0,0,0,0,64,29,26,5,6,35,20,22,32,76,79,31
61,1,0,6:14,7,0,26,0,3,43,1,0,0,64,29,26,5,6,35,20,22,32,76,79,31
62,1,0,6:08,1,0,6,0,3,11,6,0,0,64,29,26,5,6,35,20,22,32,76,79,31
63,1,0,6:06,7,0,6,0,3,9,1,0,0,64,29,26,5,6,35,20,22,32,76,79,31
64,1,0,5:53,5,0,29,32,3,0,0,0,0,64,29,26,5,6,35,20,22,32,76,79,31
65,1,0,5:39,13,0,21,77,2,0,0,0,0,21,14,22,20,25,35,20,27,22,28,77,31
66,1,0,5:29,1,0,25,0,3,33,2,0,0,21,14,22,20,25,35,14,27,11,28,77,31
67,1, ,5:28,3,0,0,0,0,0,0,0,0,21,14,22,20,25,35,14,27,11,28,77,31
68,1,0,5:28,4,0,9,20,3,0,0,0,0,3,9,16,20,25,35,14,20,11,43,74,31
69,1,0,5:23,7,0,16,0,3,32,1,0,0,3,9,16,20,25,35,14,20,11,43,74,31
70,1,0,5:18,7,0,20,0,3,47,1,0,0,3,9,16,20,25,35,14,20,11,43,74,31
71,1,0,5:13,1,0,9,0,3,21,1,0,0,3,9,16,20,25,35,14,20,11,43,74,31
72,1,0,4:57,7,0,3,0,3,6,1,0,0,3,9,16,20,25,35,14,20,11,43,74,31
73,1,0,4:52,1,0,25,0,3,17,1,0,0,3,9,16,20,25,35,14,20,11,43,74,31
74,1,0,4:35,6,1,11,3,1,0,0,0,0,3,9,16,20,25,35,51,11,67,76,79,31
75,1,-1,4:35,4,1,64,81,2,0,0,0,0,64,22,29,26,20,35,81,8,76,79,31,0
76,1,-1,4:18,9,1,76,0,2,0,0,0,0,64,22,29,26,20,35,81,8,76,79,31,0
77,1,1,4:00,7,0,22,0,3,11,5,0,0,64,22,29,26,20,35,81,8,76,79,31,0
78,1,1,3:53,1,0,64,0,3,40,1,0,0,64,22,29,26,20,35,81,8,76,79,31,0
79,1,-1,3:48,9,1,81,0,2,0,0,0,0,64,22,29,26,20,35,81,8,76,79,31,0
80,1, ,3:36,3,2,0,0,0,0,0,0,0,64,22,29,26,20,35,81,8,76,79,31,0
81,1,1,3:36,4,0,9,14,1,0,0,0,0,3,9,16,25,55,35,14,67,43,74,31,0
82,1, ,3:01,3,10,0,0,0,0,0,0,0,3,9,16,25,55,35,14,67,43,74,31,0
83,1,1,3:01,4,0,9,20,3,0,0,0,0,9,64,29,26,20,35,20,32,76,79,31,0
84,1,1,2:57,1,0,20,0,3,60,2,0,0,9,64,29,26,20,35,20,32,76,79,31,0
85,1, ,2:56,3,1,0,0,0,0,0,0,0,9,64,29,26,20,35,20,32,76,79,31,0
86,1,-1,2:56,4,1,9,20,2,0,0,0,0,9,64,29,26,20,35,20,32,76,79,31,0
87,1,0,2:27,7,0,22,0,3,30,1,0,0,21,64,22,5,6,35,14,27,11,77,79,31
88,1,0,2:06,5,0,22,27,2,0,0,0,0,21,14,22,5,6,35,14,27,11,28,77,31
89,1,0,2:04,1,1,27,0,3,48,1,0,0,21,14,22,5,6,35,14,27,11,28,77,31
90,1, ,2:03,3,1,0,0,0,0,0,0,0,21,14,22,5,6,35,14,27,11,28,77,31
91,1,0,2:03,4,0,56,51,2,0,0,0,0,18,19,56,5,6,35,51,15,67,28,77,31
92,1, ,1:57,3,6,0,0,0,0,0,0,0,18,19,56,5,6,35,51,15,67,28,77,31
93,1,0,1:57,4,1,56,51,3,0,0,0,0,18,19,56,5,6,35,51,15,67,28,77,31
94,1,0,0:40,13,0,22,76,2,0,0,0,0,9,14,22,6,20,35,81,8,26,74,76,31
95,1,0,0:32,5,0,22,8,3,0,0,0,0,9,14,22,6,20,35,81,8,26,74,76,31
96,1, ,0:15,3,2,0,0,0,0,0,0,0,3,9,16,5,6,35,27,81,26,43,74,31
97,1,0,0:15,4,1,64,14,1,0,0,0,0,64,29,26,5,6,35,14,27,11,76,79,31
98,1, ,0:00,11,0,0,0,0,0,0,0,0,64,29,26,5,6,35,14,27,11,76,79,31
99,2, ,20:00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2,0,20:00,4,0,64,51,1,0,0,0,0,64,29,26,20,25,35,51,15,67,76,79,31
101,2, ,18:59,3,6,0,0,0,0,0,0,0,3,9,16,20,25,35,14,27,11,43,74,31
102,2,0,18:59,4,0,9,14,2,0,0,0,0,3,9,16,20,25,35,14,27,11,43,74,31
103,2,0,18:41,9,0,35,0,2,0,0,0,0,3,9,16,20,25,35,14,27,11,43,74,31
104,2, ,18:31,3,3,0,0,0,0,0,0,0,3,9,16,5,6,35,14,27,11,43,74,31
105,2,0,18:31,4,0,9,81,1,0,0,0,0,3,9,16,5,6,35,81,8,26,43,74,31
106,2,0,18:23,1,0,16,0,3,36,1,0,0,3,9,16,5,6,35,81,8,26,43,74,31
107,2,0,18:15,5,0,16,74,3,0,0,0,0,3,9,16,5,6,35,81,8,26,43,74,31
108,2,0,18:04,7,1,77,0,3,59,3,0,0,3,9,16,5,6,35,81,8,26,43,77,31
109,2,0,17:51,1,1,77,0,3,67,1,0,0,3,9,16,5,6,35,81,8,26,28,77,31
110,2, ,17:50,3,1,0,0,0,0,0,0,0,3,9,16,5,6,35,81,8,26,28,77,31
111,2,0,17:50,4,1,21,20,3,0,0,0,0,21,14,22,20,25,35,20,22,32,28,77,31
112,2,0,17:37,13,0,2,77,2,0,0,0,0,21,14,22,2,55,35,20,22,32,28,77,31
113,2,0,16:54,8,1,22,0,1,0,0,0,0,18,14,56,2,55,35,20,22,32,28,77,31
114,2,0,16:36,1,1,67,0,3,18,1,0,0,18,19,56,2,55,35,51,15,67,76,77,31
115,2, ,16:34,3,1,0,0,0,0,0,0,0,18,19,56,2,55,35,51,15,67,76,79,31
116,2,0,16:34,4,1,56,14,3,0,0,0,0,18,19,56,20,25,35,14,27,11,76,79,31
117,2,0,14:34,9,0,5,0,2,0,0,0,0,64,29,26,5,6,35,51,26,67,76,79,31
118,2,0,14:21,9,1,76,0,3,0,0,0,0,9,29,26,2,6,35,51,26,67,76,79,31
