# 2014/11/11 
# PIT , NYR 
# 0 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,71,9,17,10,41,29,16,26,61,8,17,30
2,1,0,20:00,4,1,71,16,1,0,0,0,0,71,9,17,10,41,29,16,26,61,8,17,30
3,1,0,19:32,9,1,26,0,LOUIS Def. Zone,0,0,0,0,71,9,17,10,41,29,16,26,61,8,17,30
4,1,0,19:28,1,0,17,0,3,31,1,0,0,71,9,17,10,41,29,16,26,61,8,17,30
5,1,0,19:27,1,1,61,0,3,8,1,0,0,71,9,17,10,41,29,16,26,61,8,17,30
6,1, ,19:22,3,5,0,0,0,0,0,0,0,71,9,17,10,41,29,16,26,61,8,17,30
7,1,0,19:22,4,1,87,21,1,0,0,0,0,87,72,14,7,58,29,20,21,36,5,18,30
8,1,0,19:06,5,1,21,87,3,0,0,0,0,87,72,14,7,58,29,20,21,36,5,18,30
9,1,0,19:03,6,0,87,36,2,0,0,0,0,87,72,14,7,58,29,20,21,36,5,18,30
10,1,1,19:03,4,1,58,21,3,0,0,0,0,16,27,7,58,29,0,16,21,26,61,5,30
11,1,1,18:57,1,1,5,0,3,10,2,0,0,16,27,7,58,29,0,16,21,26,61,5,30
12,1, ,18:57,3,0,0,0,0,0,0,0,0,16,27,7,58,29,0,16,21,26,61,5,30
13,1,-1,18:57,4,0,16,16,2,0,0,0,0,16,27,7,58,29,0,16,21,26,61,5,30
14,1,-1,18:46,5,0,7,16,2,0,0,0,0,16,27,7,58,29,0,16,21,26,61,5,30
15,1, ,18:31,3,1,0,0,0,0,0,0,0,16,27,7,58,29,0,16,21,26,61,5,30
16,1,1,18:31,1,1,26,0,3,39,0,0,0,16,27,7,58,29,0,16,21,26,61,5,30
