# 2014/11/15 
# COL , N.J 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,20:00,4,1,9,19,1,0,0,0,0,9,90,40,6,8,1,19,68,23,6,28,35
3,1,0,19:44,5,0,8,68,2,0,0,0,0,9,90,40,6,8,1,19,68,23,6,28,35
4,1,0,19:11,1,1,68,0,3,7,6,0,0,9,12,92,6,8,1,19,68,23,2,22,35
5,1,0,19:08,8,1,8,0,1,0,0,0,0,9,12,92,6,8,1,8,11,18,2,22,35
6,1,0,18:56,7,1,22,0,3,59,3,0,0,9,12,92,6,8,1,8,11,18,2,22,35
7,1,0,18:45,5,1,2,92,1,0,0,0,0,7,12,92,2,22,1,8,11,18,2,22,35
8,1,0,18:33,5,1,18,2,3,0,0,0,0,7,12,92,2,22,1,9,11,18,5,25,35
9,1,0,17:57,1,1,17,0,3,19,3,0,0,29,48,11,2,22,1,9,17,26,2,22,35
10,1,0,17:56,2,1,9,0,3,25,3,17,26,29,48,11,2,22,1,9,17,26,2,22,35
11,1,0,17:56,4,0,29,16,1,0,0,0,0,29,48,11,4,5,1,12,16,15,2,22,35
12,1, ,17:47,3,2,0,0,0,0,0,0,0,29,48,11,4,5,1,12,16,15,2,22,35
13,1,0,17:47,4,0,48,16,1,0,0,0,0,29,48,11,4,5,1,12,16,15,2,22,35
14,1, ,17:40,3,2,0,0,0,0,0,0,0,29,48,11,4,5,1,12,16,15,2,22,35
15,1,0,17:40,4,1,29,19,1,0,0,0,0,29,48,11,4,5,1,19,68,23,2,22,35
16,1, ,17:12,3,2,0,0,0,0,0,0,0,25,24,55,6,8,1,19,68,23,5,22,35
17,1,0,17:12,4,0,24,11,1,0,0,0,0,25,24,55,6,8,1,8,11,18,5,25,35
18,1, ,16:55,3,6,0,0,0,0,0,0,0,25,24,55,2,22,1,8,11,18,5,25,35
19,1,0,16:55,4,1,9,11,2,0,0,0,0,9,90,40,2,22,1,8,11,18,5,25,35
20,1,0,16:36,1,1,11,0,3,12,6,0,0,9,90,40,2,22,1,8,11,18,6,28,35
21,1,0,16:24,5,1,18,9,2,0,0,0,0,9,90,40,6,8,1,8,11,18,6,28,35
22,1, ,15:11,3,6,0,0,0,0,0,0,0,29,48,92,4,8,1,19,68,23,2,22,35
23,1,0,15:11,4,1,29,19,3,0,0,0,0,29,48,92,4,8,1,19,68,23,2,22,35
24,1,0,14:54,13,1,19,8,2,0,0,0,0,29,48,92,4,8,1,19,68,23,2,22,35
25,1, ,14:10,3,6,0,0,0,0,0,0,0,48,24,11,6,8,1,16,15,68,6,28,35
