# 2014/11/20 
# DET , WPG 
# 4 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,14,93,40,52,55,34,18,26,16,39,44,31
2,1,0,20:00,4,1,40,18,1,0,0,0,0,14,93,40,52,55,34,18,26,16,39,44,31
3,1,0,19:40,9,1,44,0,2,0,0,0,0,14,93,40,52,55,34,18,26,16,39,44,31
4,1, ,19:29,3,0,0,0,0,0,0,0,0,14,93,40,52,55,34,18,26,16,39,44,31
5,1,0,19:29,4,0,18,85,1,0,0,0,0,18,41,20,27,65,34,85,9,2,4,33,31
6,1,0,19:18,9,1,4,0,2,0,0,0,0,18,41,20,27,65,34,85,9,2,4,33,31
7,1,0,19:04,5,0,41,2,1,0,0,0,0,18,41,20,27,65,34,85,9,2,4,33,31
8,1,0,18:46,8,1,33,0,3,0,0,0,0,18,41,20,27,65,34,85,9,2,4,33,31
9,1,0,18:43,7,1,33,0,3,14,3,0,0,18,41,20,27,65,34,85,9,2,4,33,31
10,1, ,18:04,3,8,0,0,0,0,0,0,0,15,21,8,23,61,34,55,67,17,5,8,31
11,1,0,18:04,4,0,43,85,2,0,0,0,0,43,17,26,52,55,34,85,9,5,8,33,31
12,1,0,17:48,1,1,85,0,3,30,3,0,0,43,17,26,52,55,34,85,9,5,8,33,31
13,1,0,17:31,13,0,65,85,2,0,0,0,0,43,17,26,27,65,34,85,9,5,33,39,31
14,1,0,17:29,1,0,17,0,3,53,1,0,0,43,17,26,27,65,34,85,9,5,33,39,31
15,1, ,17:28,3,1,0,0,0,0,0,0,0,43,17,26,27,65,34,85,9,5,33,39,31
16,1,0,17:28,4,0,40,18,3,0,0,0,0,14,93,40,27,65,34,18,26,16,39,44,31
17,1,0,17:21,13,0,27,16,2,0,0,0,0,14,93,40,27,65,34,18,26,16,39,44,31
18,1,0,17:16,9,1,26,0,2,0,0,0,0,14,93,40,27,65,34,18,26,16,39,44,31
19,1,0,17:12,1,0,27,0,3,53,2,0,0,14,93,40,27,65,34,18,26,16,39,44,31
20,1,0,17:05,5,0,93,44,3,0,0,0,0,14,93,40,27,65,34,18,26,16,39,44,31
21,1,0,17:02,1,1,16,0,3,45,1,0,0,14,93,40,27,65,34,18,26,16,39,44,31
22,1,0,16:14,13,1,5,21,2,0,0,0,0,15,21,8,23,61,34,55,67,17,5,8,31
23,1,0,15:48,5,0,21,2,3,0,0,0,0,15,21,17,52,55,34,55,15,17,2,4,31
24,1,0,15:31,1,0,43,0,3,39,2,0,0,43,17,26,52,55,34,19,15,22,2,4,31
25,1,0,15:23,5,0,17,19,3,0,0,0,0,43,17,26,52,55,34,19,15,22,2,4,31
26,1,0,15:12,1,1,22,0,3,39,1,0,0,43,17,26,27,55,34,19,15,22,5,8,31
27,1, ,15:11,3,1,0,0,0,0,0,0,0,43,17,26,27,55,34,19,15,22,5,8,31
28,1,0,15:11,4,0,41,85,2,0,0,0,0,18,41,20,27,65,34,85,9,5,8,33,31
29,1,0,14:43,5,1,9,65,3,0,0,0,0,18,41,20,27,65,34,85,9,5,8,33,31
30,1,0,14:40,13,1,5,27,2,0,0,0,0,18,41,20,27,65,34,85,9,5,8,33,31
31,1,0,14:37,6,1,33,20,3,0,0,0,0,18,41,20,27,65,34,85,9,5,8,33,31
32,1,-1,14:37,4,1,93,18,2,0,0,0,0,14,93,8,40,55,34,18,16,39,44,31,0
33,1,1,14:17,1,0,14,0,3,49,6,0,0,14,93,8,40,55,34,18,16,39,44,31,0
34,1, ,14:16,3,1,0,0,0,0,0,0,0,14,93,8,40,55,34,18,16,39,44,31,0
35,1,1,14:16,4,0,40,19,3,0,0,0,0,14,93,8,40,55,34,19,67,39,44,31,0
36,1,-1,13:35,13,0,40,39,2,0,0,0,0,14,93,8,40,55,34,19,26,39,44,31,0
37,1, ,13:34,3,4,0,0,0,0,0,0,0,14,93,8,40,55,34,19,26,39,44,31,0
38,1,1,13:34,4,0,15,18,3,0,0,0,0,15,21,43,26,65,34,18,9,5,8,31,0
39,1, ,12:51,3,2,0,0,0,0,0,0,0,15,21,43,26,65,34,26,9,5,8,31,0
40,1,1,12:51,4,0,40,55,1,0,0,0,0,14,93,40,27,52,34,55,16,39,44,31,0
41,1,1,12:47,9,0,27,0,2,0,0,0,0,14,93,40,27,52,34,55,16,39,44,31,0
42,1,-1,12:44,1,1,16,0,3,13,6,0,0,14,93,40,27,52,34,55,16,39,44,31,0
43,1,1,12:40,6,0,27,55,2,0,0,0,0,14,93,40,27,52,34,55,16,39,44,31,0
44,1,0,12:40,4,1,41,18,3,0,0,0,0,41,20,52,55,34,0,18,26,16,39,31,0
45,1,1,12:19,9,1,26,0,3,0,0,0,0,41,20,52,55,34,0,18,26,16,33,39,31
46,1,-1,11:32,13,1,39,20,2,0,0,0,0,41,20,52,55,34,0,18,26,16,33,39,31
47,1,-1,10:44,8,0,41,0,2,0,0,0,0,41,20,52,61,34,0,55,85,9,8,44,31
48,1,0,10:31,5,1,9,20,3,0,0,0,0,41,20,27,52,61,34,55,85,9,5,8,31
49,1,0,10:09,1,1,8,0,3,45,2,0,0,14,93,40,23,27,34,19,67,17,5,8,31
50,1,0,9:59,8,1,67,0,1,0,0,0,0,14,93,40,23,27,34,19,67,17,5,8,31
51,1,0,8:49,8,1,26,0,3,0,0,0,0,21,43,8,27,65,34,18,26,16,2,4,31
52,1,0,8:18,5,1,9,23,3,0,0,0,0,43,17,26,23,61,34,85,9,2,4,33,31
53,1,0,8:13,8,1,9,0,3,0,0,0,0,43,17,26,23,61,34,85,9,2,4,33,31
54,1,0,8:11,5,0,26,85,2,0,0,0,0,43,17,26,23,61,34,85,9,2,4,33,31
55,1,0,7:44,5,1,5,41,1,0,0,0,0,18,41,20,52,55,34,55,67,17,5,8,31
56,1,0,7:17,5,1,17,23,3,0,0,0,0,18,41,20,23,61,34,55,67,17,5,8,31
57,1,0,7:12,13,1,55,23,2,0,0,0,0,18,41,20,23,61,34,55,67,17,5,8,31
58,1,0,6:57,13,1,67,18,2,0,0,0,0,18,41,20,23,61,34,55,67,17,5,8,31
59,1,0,6:45,13,1,5,20,2,0,0,0,0,18,41,20,23,61,34,55,67,17,5,8,31
60,1,0,6:33,8,0,40,0,1,0,0,0,0,14,93,40,27,65,34,18,26,16,5,8,31
61,1,0,6:09,7,1,44,0,3,36,3,0,0,14,93,40,27,65,34,18,26,16,39,44,31
62,1,0,6:05,7,1,39,0,3,54,3,0,0,14,93,40,27,65,34,18,26,16,39,44,31
63,1,0,5:31,5,0,52,22,3,0,0,0,0,43,17,26,52,55,34,19,15,22,2,4,31
64,1,0,5:27,1,1,15,0,3,31,3,0,0,43,17,26,52,55,34,19,15,22,2,4,31
65,1, ,5:26,3,0,0,0,0,0,0,0,0,43,17,26,52,55,34,19,15,22,2,4,31
66,1,0,5:26,4,1,41,9,3,0,0,0,0,18,41,20,52,55,34,85,9,2,4,33,31
67,1,0,5:09,5,1,2,20,1,0,0,0,0,18,41,20,52,55,34,85,9,2,4,33,31
68,1,0,5:04,6,1,2,20,1,0,0,0,0,18,41,20,52,55,34,85,9,2,4,33,31
69,1,-1,5:04,4,1,40,18,2,0,0,0,0,14,93,8,40,55,34,18,16,5,8,31,0
70,1,-1,4:44,1,1,18,0,3,12,6,0,0,14,93,8,40,55,34,18,16,5,8,31,0
71,1, ,4:15,3,4,0,0,0,0,0,0,0,14,93,8,40,55,34,26,9,39,44,31,0
72,1,-1,4:15,4,1,15,19,2,0,0,0,0,15,21,43,26,65,34,19,67,39,44,31,0
73,1, ,3:42,3,2,0,0,0,0,0,0,0,15,21,43,26,65,34,67,9,39,44,31,0
74,1,1,3:42,4,0,8,9,1,0,0,0,0,14,93,8,40,55,34,26,9,5,8,31,0
75,1,0,3:01,1,0,40,0,3,35,1,0,0,14,8,40,27,52,34,67,9,2,5,39,31
76,1,0,2:54,1,0,41,0,3,7,0,0,0,14,41,8,40,27,52,67,9,2,5,39,31
77,1,0,2:46,6,0,21,0,0,0,0,0,0,14,41,8,40,27,52,67,9,2,5,39,31
78,1, ,2:46,3,9,0,0,0,0,0,0,0,18,41,52,55,34,0,18,26,16,33,39,31
79,1,-1,2:46,4,0,18,18,2,0,0,0,0,18,41,52,55,34,0,18,26,16,33,39,31
80,1,-1,2:18,5,0,52,26,2,0,0,0,0,41,20,52,55,34,0,18,26,16,33,39,31
81,1,1,1:48,5,1,33,20,3,0,0,0,0,41,20,27,65,34,0,18,26,16,33,39,31
82,1, ,0:58,3,5,0,0,0,0,0,0,0,41,20,23,61,34,0,55,85,9,8,44,31
83,1,-1,0:58,4,0,43,17,3,0,0,0,0,43,17,52,55,34,0,19,67,17,39,44,31
84,1,-1,0:57,1,0,17,0,3,32,2,0,0,43,17,52,55,34,0,19,67,17,39,44,31
