# 2014/11/20 
# WSH , COL 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,43,8,2,27,70,9,90,40,6,8,20
2,1,0,20:00,4,1,19,9,1,0,0,0,0,19,43,8,2,27,70,9,90,40,6,8,20
3,1, ,19:52,3,6,0,0,0,0,0,0,0,19,43,8,2,27,70,9,90,40,6,8,20
4,1,0,19:52,4,1,19,9,2,0,0,0,0,19,43,8,2,27,70,9,90,40,6,8,20
5,1,0,19:21,5,0,8,8,3,0,0,0,0,19,43,8,74,88,70,9,90,40,6,8,20
6,1,0,19:17,1,1,6,0,3,32,3,0,0,19,43,8,74,88,70,9,90,40,5,6,20
7,1,0,19:10,13,0,8,5,2,0,0,0,0,19,43,8,74,88,70,9,90,92,5,6,20
8,1,0,19:01,9,1,20,0,2,0,0,0,0,83,42,8,74,88,70,7,12,92,4,5,20
9,1,0,18:57,5,1,5,42,2,0,0,0,0,83,42,25,74,88,70,7,12,92,4,5,20
10,1,0,18:29,5,0,83,7,2,0,0,0,0,83,42,25,74,88,70,7,12,92,2,22,20
11,1,0,17:55,1,0,52,0,3,54,2,0,0,20,65,90,2,52,70,29,48,45,2,22,20
12,1,0,17:48,1,0,65,0,3,12,3,0,0,20,65,90,2,52,70,29,48,45,2,22,20
13,1,0,17:36,13,0,90,22,2,0,0,0,0,20,65,90,2,52,70,29,48,45,2,22,20
14,1,0,17:16,5,1,2,16,2,0,0,0,0,46,92,16,27,44,70,25,24,55,2,5,20
15,1,0,17:11,7,0,46,0,3,35,3,0,0,46,92,16,27,74,70,25,24,55,2,5,20
16,1,0,17:01,1,0,16,0,3,22,6,0,0,46,92,16,27,74,70,25,24,55,4,5,20
17,1,0,16:53,8,1,24,0,2,0,0,0,0,46,92,16,27,74,70,25,24,55,4,5,20
18,1,0,16:42,5,0,27,4,2,0,0,0,0,19,46,43,27,74,70,25,24,55,4,5,20
19,1,0,16:30,1,1,8,0,3,50,3,0,0,19,46,43,27,74,70,9,90,40,6,8,20
20,1,0,16:22,5,0,74,9,2,0,0,0,0,19,46,43,27,74,70,9,90,40,6,8,20
21,1,0,16:10,5,0,43,8,3,0,0,0,0,19,43,8,2,44,70,9,90,40,6,8,20
22,1,0,15:42,13,0,43,90,2,0,0,0,0,83,43,8,2,44,70,7,90,92,6,8,20
23,1,0,15:29,5,1,92,2,3,0,0,0,0,83,42,25,2,44,70,7,12,92,2,22,20
24,1,0,15:07,5,1,22,42,2,0,0,0,0,83,42,25,52,88,70,7,12,92,2,22,20
25,1,0,15:03,9,1,12,0,3,0,0,0,0,83,42,25,52,88,70,7,12,92,2,22,20
26,1,0,15:02,13,0,25,22,2,0,0,0,0,83,42,25,52,88,70,7,12,92,2,22,20
27,1,0,14:36,8,0,20,0,1,0,0,0,0,20,65,90,44,74,70,29,48,45,4,5,20
28,1,0,14:12,5,0,44,6,2,0,0,0,0,20,65,90,44,74,70,29,48,55,6,8,20
29,1,0,13:56,9,1,55,0,3,0,0,0,0,46,92,16,2,27,70,25,24,55,6,8,20
30,1,0,13:34,5,0,16,24,3,0,0,0,0,46,92,16,2,52,70,25,24,55,6,8,20
31,1,0,13:21,5,1,9,52,1,0,0,0,0,19,43,8,52,88,70,9,90,40,2,22,20
32,1,0,12:48,7,1,8,0,3,67,2,0,0,19,43,8,52,88,70,9,90,40,6,8,20
33,1,0,12:38,5,0,43,8,3,0,0,0,0,83,42,43,44,74,70,7,12,92,6,8,20
34,1, ,12:28,3,6,0,0,0,0,0,0,0,83,42,25,44,74,70,7,12,92,6,8,20
35,1,0,12:28,4,1,83,7,2,0,0,0,0,83,42,25,44,74,70,7,12,92,6,8,20
36,1,0,12:01,1,1,22,0,3,13,5,0,0,83,42,25,44,74,70,7,12,92,2,22,20
37,1,0,11:51,5,0,25,22,3,0,0,0,0,42,25,65,2,27,70,7,12,92,2,22,20
38,1, ,11:44,3,6,0,0,0,0,0,0,0,42,25,65,2,27,70,7,12,92,2,22,20
39,1,0,11:44,4,1,65,7,2,0,0,0,0,20,65,90,2,27,70,7,12,92,2,22,20
40,1,0,11:33,5,1,7,90,2,0,0,0,0,20,65,90,2,27,70,7,12,92,2,22,20
41,1, ,11:23,3,0,0,0,0,0,0,0,0,20,65,90,2,27,70,7,48,92,2,4,20
42,1,0,11:23,4,0,20,29,1,0,0,0,0,20,65,90,44,74,70,29,48,45,4,5,20
43,1,0,11:11,5,1,5,20,2,0,0,0,0,20,65,90,44,74,70,29,48,45,4,5,20
44,1,0,10:44,1,1,29,0,3,34,1,0,0,20,65,90,44,74,70,29,48,55,4,5,20
45,1,0,10:35,1,0,20,0,3,41,3,0,0,19,20,90,52,74,70,29,48,55,4,5,20
46,1, ,10:27,3,2,0,0,0,0,0,0,0,19,43,90,52,74,70,25,24,55,2,5,20
47,1,0,10:27,4,0,19,9,1,0,0,0,0,19,43,8,52,88,70,9,90,40,6,8,20
48,1,0,10:05,8,1,90,0,3,0,0,0,0,19,43,8,52,88,70,9,90,40,6,8,20
49,1,0,9:53,5,1,90,88,3,0,0,0,0,19,43,8,52,88,70,9,90,40,6,8,20
50,1,0,9:46,8,1,9,0,2,0,0,0,0,19,43,8,2,27,70,9,90,40,6,8,20
51,1,0,9:14,5,1,22,42,2,0,0,0,0,83,42,25,2,27,70,7,12,92,2,22,20
52,1,0,9:08,13,0,2,92,2,0,0,0,0,83,42,25,2,27,70,7,12,92,2,22,20
53,1,0,8:58,5,1,2,25,2,0,0,0,0,83,42,25,2,27,70,7,12,92,2,22,20
54,1,0,8:14,5,0,44,45,2,0,0,0,0,46,92,16,44,74,70,29,48,45,4,5,20
55,1, ,8:00,3,0,0,0,0,0,0,0,0,46,92,16,52,88,70,29,48,45,4,5,20
56,1,0,8:00,4,0,65,24,3,0,0,0,0,20,65,90,52,88,70,25,24,55,4,5,20
57,1,0,7:53,8,1,4,0,2,0,0,0,0,20,65,90,52,88,70,25,24,55,4,5,20
58,1,0,7:41,8,0,65,0,2,0,0,0,0,20,65,90,52,88,70,25,24,55,4,5,20
59,1,0,6:54,5,1,8,8,2,0,0,0,0,19,43,8,2,27,70,9,90,40,6,8,20
60,1,0,6:29,9,1,20,0,2,0,0,0,0,83,42,25,44,74,70,7,12,92,2,22,20
61,1,0,6:27,5,1,7,83,2,0,0,0,0,83,42,25,44,74,70,7,12,92,2,22,20
62,1,0,6:24,1,0,42,0,3,20,6,0,0,83,42,25,44,74,70,7,12,92,2,22,20
63,1,0,6:16,7,0,42,0,3,59,2,0,0,83,42,25,44,74,70,7,12,92,2,22,20
64,1,0,6:12,9,1,2,0,2,0,0,0,0,83,42,25,44,74,70,7,12,92,2,22,20
65,1,0,6:00,5,0,25,92,1,0,0,0,0,83,42,25,44,74,70,7,12,92,2,22,20
66,1,0,5:49,8,1,8,0,1,0,0,0,0,83,20,90,44,74,70,29,48,92,6,8,20
67,1,0,5:47,1,1,92,0,3,60,1,0,0,83,20,90,44,74,70,29,48,92,6,8,20
68,1, ,5:47,3,0,0,0,0,0,0,0,0,83,20,90,44,74,70,29,48,92,6,8,20
69,1,0,5:47,4,1,20,29,3,0,0,0,0,20,65,90,2,27,70,29,48,45,4,5,20
70,1,0,5:36,8,1,29,0,3,0,0,0,0,20,65,90,2,27,70,29,48,45,4,5,20
71,1,0,5:32,13,1,29,27,2,0,0,0,0,20,65,90,2,27,70,29,48,45,4,5,20
72,1,0,5:26,9,1,4,0,3,0,0,0,0,20,65,90,2,27,70,29,48,45,4,5,20
73,1,0,4:52,5,1,25,46,3,0,0,0,0,46,92,16,52,88,70,25,24,55,2,22,20
74,1,0,4:49,1,1,24,0,1,75,1,0,0,46,92,16,52,88,70,25,24,55,2,22,20
75,1, ,4:48,3,1,0,0,0,0,0,0,0,46,92,16,52,88,70,25,24,55,2,22,20
76,1,0,4:48,4,1,83,24,3,0,0,0,0,83,42,25,52,88,70,25,24,55,2,22,20
77,1,0,4:44,1,1,25,0,3,35,1,0,0,83,42,25,52,88,70,25,24,55,2,22,20
78,1,0,4:37,5,0,52,55,2,0,0,0,0,83,42,25,52,88,70,25,24,55,2,22,20
79,1,0,4:19,7,0,42,0,3,56,3,0,0,83,42,25,44,74,70,25,24,55,2,22,20
80,1,0,4:08,13,0,25,55,2,0,0,0,0,83,42,25,44,74,70,25,24,55,2,22,20
81,1,0,3:25,1,0,74,0,3,47,1,0,0,19,43,8,44,74,70,25,24,55,2,22,20
82,1,0,3:18,1,0,74,0,3,45,2,0,0,19,43,8,44,74,70,25,24,55,2,22,20
83,1, ,3:18,3,1,0,0,0,0,0,0,0,19,43,8,44,74,70,25,24,55,2,22,20
84,1,0,3:18,6,1,2,19,2,0,0,0,0,19,43,8,44,74,70,25,24,55,2,22,20
85,1,-1,3:18,4,1,19,90,2,0,0,0,0,19,20,8,90,52,70,90,40,6,8,20,0
86,1,-1,2:24,13,0,90,6,2,0,0,0,0,19,20,8,90,52,70,25,24,6,8,20,0
87,1, ,2:24,3,3,0,0,0,0,0,0,0,19,20,8,90,52,70,90,40,5,8,20,0
88,1,-1,2:24,4,1,42,90,2,0,0,0,0,92,42,65,2,74,70,90,40,5,8,20,0
89,1,1,1:59,7,0,74,0,3,48,3,0,0,92,42,65,2,74,70,90,40,5,8,20,0
90,1,1,1:53,1,0,42,0,3,36,2,0,0,92,42,65,2,74,70,90,40,5,8,20,0
91,1,-1,1:53,5,1,90,42,2,0,0,0,0,92,42,65,2,74,70,90,40,5,8,20,0
92,1, ,1:28,3,2,0,0,0,0,0,0,0,92,42,65,2,44,70,25,92,5,6,20,0
93,1,1,1:28,4,0,46,7,1,0,0,0,0,46,16,25,27,44,70,7,92,4,6,20,0
94,1,0,1:00,5,1,7,44,3,0,0,0,0,46,16,25,27,44,70,7,12,92,4,6,20
95,1,0,0:50,8,0,27,0,2,0,0,0,0,46,16,25,27,44,70,7,12,92,4,6,20
96,1,0,0:44,8,1,4,0,2,0,0,0,0,46,16,25,52,88,70,7,12,92,4,6,20
97,1,0,0:22,1,1,9,0,3,37,1,0,0,19,43,8,52,88,70,9,90,40,2,8,20
98,1,0,0:06,8,0,88,0,2,0,0,0,0,19,43,8,52,88,70,9,90,40,2,8,20
99,1,0,0:01,8,1,8,0,2,0,0,0,0,19,43,8,52,88,70,9,90,40,2,8,20
100,1, ,0:00,11,0,0,0,0,0,0,0,0,19,43,8,52,88,70,9,90,40,2,8,20
101,2, ,20:00,10,0,0,0,0,0,0,0,0,19,43,8,2,27,70,9,90,40,6,8,20
102,2,0,20:00,4,0,19,9,1,0,0,0,0,19,43,8,2,27,70,9,90,40,6,8,20
103,2, ,19:53,3,10,0,0,0,0,0,0,0,19,43,8,2,27,70,9,90,40,6,8,20
104,2,0,19:53,4,0,19,9,1,0,0,0,0,19,43,8,2,27,70,9,90,40,6,8,20
105,2,0,19:14,7,1,40,0,3,15,3,0,0,19,43,8,2,27,70,9,90,40,4,6,20
106,2,0,19:11,8,0,43,0,2,0,0,0,0,19,43,8,2,27,70,9,90,40,4,6,20
107,2,0,19:00,9,1,6,0,1,0,0,0,0,19,43,8,2,27,70,9,12,40,4,6,20
108,2,0,18:56,2,0,19,0,3,30,1,8,0,19,43,8,44,74,70,9,12,40,4,6,20
109,2,0,18:56,4,0,83,7,1,0,0,0,0,83,42,25,44,74,70,7,12,92,4,5,20
110,2,0,18:38,9,0,74,0,1,0,0,0,0,83,42,25,44,74,70,7,12,92,4,5,20
111,2,0,18:30,13,1,12,44,2,0,0,0,0,83,42,25,44,74,70,7,12,92,4,5,20
112,2,0,18:18,13,1,7,44,2,0,0,0,0,83,42,25,44,74,70,7,12,92,4,5,20
113,2,0,18:09,13,1,7,44,2,0,0,0,0,83,42,25,44,74,70,7,12,92,2,22,20
114,2,0,17:32,13,1,29,65,2,0,0,0,0,20,65,90,52,88,70,29,48,45,2,22,20
115,2,0,17:15,13,0,88,45,2,0,0,0,0,20,65,90,52,88,70,29,48,45,2,22,20
116,2,0,17:07,1,1,29,0,3,13,6,0,0,46,92,16,52,88,70,29,48,45,4,22,20
117,2,0,17:07,2,1,48,0,3,15,1,29,45,46,92,16,52,88,70,29,48,45,4,22,20
118,2,0,17:07,4,1,92,24,1,0,0,0,0,46,92,16,2,27,70,25,24,55,4,5,20
119,2,0,16:49,5,0,27,4,2,0,0,0,0,46,92,16,2,27,70,25,24,55,4,5,20
120,2,0,16:22,5,1,55,92,2,0,0,0,0,92,43,8,44,74,70,25,24,55,4,5,20
121,2,0,16:08,8,0,43,0,1,0,0,0,0,19,43,8,44,74,70,25,24,55,4,5,20
122,2, ,15:51,3,1,0,0,0,0,0,0,0,19,43,8,44,74,70,9,90,40,6,8,20
123,2,0,15:51,4,0,19,9,3,0,0,0,0,19,43,8,44,74,70,9,90,40,6,8,20
124,2,0,15:19,5,1,40,43,3,0,0,0,0,19,43,8,44,74,70,9,90,40,6,8,20
125,2, ,15:09,3,10,0,0,0,0,0,0,0,19,43,8,44,74,70,9,90,40,6,8,20
126,2,0,15:09,4,0,83,7,1,0,0,0,0,83,42,25,2,27,70,7,12,92,2,22,20
127,2,0,14:40,7,1,12,0,3,45,1,0,0,83,42,25,2,27,70,7,12,92,2,22,20
128,2,0,14:11,1,1,22,0,3,54,2,0,0,20,25,65,2,27,70,29,48,45,4,22,20
129,2,0,13:34,13,0,52,4,2,0,0,0,0,20,65,90,52,88,70,29,48,45,4,22,20
130,2, ,12:42,3,0,0,0,0,0,0,0,0,46,92,16,44,74,70,25,24,55,6,8,20
131,2,0,12:42,4,1,19,9,2,0,0,0,0,19,43,8,44,74,70,9,90,40,6,8,20
132,2, ,12:34,3,6,0,0,0,0,0,0,0,19,43,8,44,74,70,9,90,40,6,8,20
133,2,0,12:34,4,0,19,9,3,0,0,0,0,19,43,8,44,74,70,9,90,40,6,8,20
134,2,0,12:31,13,0,19,40,2,0,0,0,0,19,43,8,44,74,70,9,90,40,6,8,20
135,2,0,12:31,4,1,43,9,2,0,0,0,0,19,43,8,44,74,70,9,29,90,6,8,20
136,2,0,12:18,13,0,19,8,2,0,0,0,0,19,43,8,44,74,70,9,29,90,6,8,20
137,2,0,12:04,5,0,43,6,3,0,0,0,0,19,43,8,44,74,70,9,29,90,6,8,20
138,2,0,12:01,7,0,8,0,3,27,1,0,0,19,43,8,44,74,70,9,29,90,6,8,20
139,2,0,11:53,7,0,19,0,3,11,0,0,0,19,43,8,44,74,70,9,29,90,6,8,20
140,2,0,11:26,1,0,52,0,3,58,1,0,0,19,43,25,52,88,70,7,12,92,4,8,20
141,2, ,11:26,3,1,0,0,0,0,0,0,0,19,43,25,52,88,70,7,12,92,4,8,20
142,2,0,11:26,4,1,83,7,2,0,0,0,0,83,42,25,52,88,70,7,12,92,4,5,20
143,2,0,11:10,5,1,7,52,3,0,0,0,0,83,42,25,52,88,70,7,12,92,4,5,20
144,2,0,10:52,5,0,42,7,2,0,0,0,0,83,42,25,52,88,70,7,12,92,4,5,20
