# 2014/11/22 
# CHI , EDM 
# 7 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,81,20,2,7,50,14,93,57,5,21,30
2,1,0,20:00,4,1,19,93,1,0,0,0,0,19,81,20,2,7,50,14,93,57,5,21,30
3,1,0,19:08,13,0,16,2,2,0,0,0,0,16,42,28,4,27,50,29,16,4,2,85,30
4,1,0,18:50,13,0,32,85,2,0,0,0,0,16,42,28,27,32,50,29,16,4,2,85,30
5,1,0,18:46,5,0,42,2,3,0,0,0,0,16,42,28,6,32,50,29,16,4,2,85,30
6,1,0,18:19,13,1,13,6,2,0,0,0,0,91,23,88,6,32,50,23,27,13,5,21,30
7,1,0,18:06,5,1,23,6,3,0,0,0,0,91,23,88,6,32,50,23,27,13,5,21,30
8,1,0,17:59,8,1,27,0,3,0,0,0,0,91,23,88,6,32,50,23,27,13,5,21,30
9,1,0,17:52,5,0,32,27,2,0,0,0,0,91,23,88,6,32,50,23,27,13,5,21,30
10,1,0,17:48,1,1,13,0,3,9,5,0,0,91,23,88,6,32,50,23,27,13,5,21,30
11,1,0,17:42,5,0,32,23,2,0,0,0,0,91,23,88,6,32,50,23,13,26,5,21,30
12,1,0,17:21,5,1,6,7,3,0,0,0,0,13,24,29,2,7,50,10,26,6,19,22,30
13,1,0,17:13,9,0,13,0,3,0,0,0,0,13,24,29,2,7,50,10,26,6,19,22,30
14,1,0,16:50,5,1,57,4,3,0,0,0,0,13,24,29,2,4,50,14,93,57,19,85,30
15,1,0,16:43,1,1,93,0,3,48,2,0,0,13,24,29,2,4,50,14,93,57,2,85,30
16,1,0,16:19,13,1,2,27,2,0,0,0,0,19,81,20,4,27,50,93,16,4,2,85,30
17,1,0,16:12,2,0,19,0,3,9,6,20,81,19,81,20,4,27,50,93,16,4,2,85,30
18,1,0,16:12,4,0,19,29,1,0,0,0,0,19,81,20,2,7,50,29,16,4,5,21,30
19,1,0,15:45,1,1,5,0,3,50,2,0,0,19,81,20,2,7,50,29,16,4,5,21,30
20,1,0,15:42,7,1,21,0,3,58,1,0,0,19,81,20,2,7,50,29,16,4,5,21,30
21,1,0,15:39,1,1,29,0,3,17,1,0,0,19,81,20,2,7,50,29,16,4,5,21,30
22,1, ,15:38,3,10,0,0,0,0,0,0,0,19,81,20,2,7,50,29,16,4,5,21,30
