# 2014/12/06 
# MTL , DAL 
# 1 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,14,27,11,76,79,31,16,20,21,6,33,32
2,1,0,20:00,4,0,14,20,1,0,0,0,0,14,27,11,76,79,31,16,20,21,6,33,32
3,1,0,19:34,5,0,11,33,3,0,0,0,0,14,27,11,76,79,31,16,20,21,6,33,32
4,1,0,19:30,5,1,20,11,2,0,0,0,0,14,27,11,76,79,31,16,20,21,6,33,32
5,1,0,18:57,7,1,4,0,3,57,1,0,0,51,22,67,55,74,31,22,91,14,4,24,32
6,1, ,18:44,3,2,0,0,0,0,0,0,0,51,22,67,55,74,31,22,91,14,4,24,32
7,1,0,18:44,4,0,20,90,1,0,0,0,0,20,8,17,43,77,31,90,11,72,3,5,32
8,1,0,18:37,5,1,11,43,1,0,0,0,0,20,8,17,43,77,31,90,11,72,3,5,32
9,1,0,18:20,5,1,11,43,2,0,0,0,0,20,8,17,43,77,31,90,11,72,3,5,32
10,1,0,17:52,8,0,26,0,2,0,0,0,0,15,58,26,76,79,31,27,38,72,5,24,32
11,1,0,17:26,5,1,24,26,2,0,0,0,0,15,58,26,76,79,31,10,27,38,4,24,32
12,1,0,17:01,8,0,27,0,3,0,0,0,0,14,27,11,55,74,31,16,20,21,6,33,32
13,1,0,16:51,1,1,16,0,3,46,2,0,0,14,27,11,55,74,31,16,20,21,6,33,32
14,1,0,16:42,13,1,6,74,2,0,0,0,0,14,27,11,55,74,31,16,20,21,6,33,32
15,1,0,16:37,5,0,74,6,2,0,0,0,0,14,27,11,55,74,31,16,20,21,6,33,32
16,1,0,16:14,1,1,14,0,3,48,1,0,0,51,22,67,76,79,31,22,91,14,4,24,32
17,1,0,16:11,9,0,76,0,2,0,0,0,0,51,22,67,76,79,31,22,91,14,4,24,32
18,1,0,15:56,1,1,14,0,3,67,1,0,0,51,22,67,76,79,31,22,91,14,4,24,32
19,1, ,15:55,3,1,0,0,0,0,0,0,0,51,22,67,76,79,31,22,91,14,4,24,32
20,1,0,15:55,4,0,20,90,2,0,0,0,0,20,8,17,43,77,31,90,11,72,3,5,32
21,1,0,15:43,7,1,3,0,3,49,1,0,0,20,8,17,43,77,31,90,11,72,3,5,32
22,1, ,15:32,3,6,0,0,0,0,0,0,0,20,8,17,43,77,31,90,11,72,3,5,32
23,1,0,15:32,4,0,14,90,3,0,0,0,0,14,27,11,55,74,31,90,11,72,3,5,32
24,1,0,15:20,9,1,11,0,2,0,0,0,0,14,27,11,55,74,31,90,11,72,3,5,32
25,1,0,15:00,13,0,74,90,2,0,0,0,0,14,27,11,55,74,31,90,11,72,3,5,32
26,1,0,14:59,8,1,90,0,2,0,0,0,0,14,27,11,55,74,31,90,11,72,3,5,32
27,1,0,14:34,5,1,16,43,3,0,0,0,0,51,22,67,43,74,31,16,20,21,6,33,32
28,1,0,14:22,13,1,20,74,2,0,0,0,0,51,22,67,43,74,31,16,20,21,6,33,32
29,1,0,14:13,7,0,67,0,3,30,6,0,0,51,22,67,76,79,31,16,21,38,6,33,32
30,1, ,13:31,3,6,0,0,0,0,0,0,0,15,58,26,76,79,31,10,91,14,4,24,32
31,1,0,13:31,4,1,58,14,3,0,0,0,0,15,58,26,76,79,31,22,91,14,6,33,32
32,1,0,13:27,7,1,6,0,3,56,2,0,0,15,58,26,76,79,31,22,91,14,6,33,32
33,1,0,13:22,7,1,14,0,3,13,6,0,0,15,58,26,76,79,31,22,91,14,6,33,32
34,1,0,13:13,13,1,14,77,2,0,0,0,0,20,15,17,74,77,31,22,91,14,6,33,32
35,1,0,13:08,8,1,6,0,1,0,0,0,0,20,8,17,74,77,31,22,91,14,6,33,32
36,1, ,13:06,3,6,0,0,0,0,0,0,0,20,8,17,74,77,31,22,91,14,6,33,32
37,1,0,13:06,4,0,14,14,3,0,0,0,0,14,27,11,74,77,31,22,91,14,6,33,32
38,1,0,12:55,5,1,22,74,2,0,0,0,0,14,27,11,74,77,31,22,91,14,6,33,32
39,1,0,12:53,5,0,74,14,1,0,0,0,0,14,27,11,74,77,31,22,91,14,6,33,32
40,1,0,12:46,5,1,5,11,2,0,0,0,0,14,27,11,74,77,31,16,20,21,3,5,32
41,1,0,12:35,5,1,16,11,2,0,0,0,0,14,27,11,74,77,31,16,20,21,3,5,32
42,1,0,12:09,13,1,20,77,2,0,0,0,0,20,8,17,76,77,31,20,11,72,4,24,32
43,1,0,11:54,13,1,90,77,2,0,0,0,0,20,8,17,76,77,31,90,11,72,4,24,32
44,1, ,11:53,3,0,0,0,0,0,0,0,0,20,8,17,76,77,31,90,11,72,4,24,32
45,1,0,11:53,4,1,20,14,3,0,0,0,0,20,22,67,55,74,31,22,91,14,4,24,32
46,1,0,11:48,13,1,24,22,2,0,0,0,0,20,22,67,55,74,31,22,91,14,4,24,32
47,1,0,11:33,9,0,67,0,2,0,0,0,0,51,22,67,55,74,31,22,91,14,4,24,32
48,1,0,11:28,7,1,91,0,3,11,0,0,0,51,22,67,55,74,31,22,91,14,4,24,32
49,1,0,11:21,8,0,67,0,2,0,0,0,0,51,22,67,55,74,31,22,91,14,4,24,32
50,1,0,11:15,7,0,67,0,3,25,6,0,0,51,22,67,74,77,31,22,91,14,4,24,32
51,1,0,11:04,1,1,33,0,3,41,1,0,0,51,22,26,74,77,31,22,91,11,6,33,32
52,1,0,10:45,13,1,6,58,2,0,0,0,0,15,58,26,77,79,31,90,11,72,6,33,32
53,1,0,10:40,1,1,33,0,3,35,2,0,0,15,58,26,77,79,31,90,11,72,6,33,32
54,1,0,10:04,13,1,90,58,2,0,0,0,0,15,58,26,77,79,31,90,27,72,6,33,32
55,1,0,9:14,5,0,17,38,3,0,0,0,0,20,8,17,74,76,31,10,27,38,3,5,32
56,1, ,9:11,3,0,0,0,0,0,0,0,0,20,8,17,74,76,31,10,27,38,3,5,32
57,1,0,9:11,4,1,14,20,1,0,0,0,0,14,27,11,74,76,31,16,20,21,4,24,32
58,1,0,8:43,6,0,74,16,2,0,0,0,0,14,27,11,74,76,31,16,20,91,21,4,24
59,1,1,8:43,4,1,20,90,3,0,0,0,0,20,26,76,79,31,0,20,90,91,14,33,32
60,1,1,8:37,2,1,20,0,3,10,6,91,33,20,26,76,79,31,0,20,90,91,14,33,32
61,1,0,8:37,4,1,51,90,1,0,0,0,0,51,22,67,55,77,31,90,11,72,3,33,32
62,1,0,8:11,1,1,11,0,3,34,1,0,0,51,22,67,55,77,31,90,11,72,3,33,32
63,1,0,7:37,8,1,4,0,1,0,0,0,0,15,58,26,76,77,31,22,91,14,4,5,32
64,1,0,7:35,1,1,14,0,3,49,2,0,0,15,58,26,76,77,31,22,91,14,4,5,32
65,1,0,7:19,9,0,26,0,3,0,0,0,0,15,58,26,76,79,31,10,22,91,4,5,32
66,1,0,7:06,5,1,27,8,3,0,0,0,0,20,8,17,76,79,31,10,27,38,3,24,32
67,1,0,6:46,5,0,8,3,3,0,0,0,0,20,8,17,55,77,31,10,27,38,3,24,32
68,1,0,6:13,8,1,20,0,3,0,0,0,0,14,8,17,55,77,31,16,20,21,6,33,32
69,1,0,5:47,6,0,76,16,2,0,0,0,0,14,27,11,76,79,31,16,91,21,4,24,32
70,1, ,5:47,3,9,0,0,0,0,0,0,0,14,27,11,79,31,0,16,91,21,4,24,32
71,1,-1,5:47,4,0,20,91,2,0,0,0,0,20,8,77,79,31,0,20,90,91,14,33,32
72,1, ,5:45,3,8,0,0,0,0,0,0,0,20,8,77,79,31,0,20,90,91,14,33,32
73,1,-1,5:45,4,0,20,90,2,0,0,0,0,20,8,77,79,31,0,20,90,91,14,33,32
74,1,-1,5:25,8,0,20,0,2,0,0,0,0,20,8,77,79,31,0,20,90,91,14,33,32
75,1,-1,5:24,1,0,20,0,3,10,6,0,0,20,8,77,79,31,0,20,90,91,14,33,32
76,1, ,5:23,3,1,0,0,0,0,0,0,0,20,8,77,79,31,0,20,90,91,14,33,32
77,1,1,5:23,4,1,14,10,2,0,0,0,0,14,67,55,74,31,0,10,22,72,4,6,32
78,1,1,4:13,7,1,14,0,3,61,1,0,0,14,20,77,79,31,0,20,90,91,14,33,32
79,1,0,3:45,9,1,90,0,3,0,0,0,0,51,67,55,74,76,31,20,90,91,14,33,32
80,1,0,3:42,1,0,51,0,3,14,6,0,0,51,67,55,74,76,31,20,90,91,14,33,32
81,1, ,3:41,3,1,0,0,0,0,0,0,0,51,67,55,74,76,31,20,90,91,14,33,32
82,1,0,3:41,4,0,51,38,3,0,0,0,0,51,22,67,55,74,31,16,21,38,3,6,32
83,1,0,3:37,1,0,55,0,3,60,2,0,0,51,22,67,55,74,31,16,21,38,3,6,32
84,1,0,3:07,1,1,3,0,3,48,1,0,0,27,51,22,55,74,31,16,21,38,3,24,32
85,1, ,3:06,3,1,0,0,0,0,0,0,0,27,51,22,55,74,31,16,21,38,3,24,32
86,1,0,3:06,4,0,14,91,2,0,0,0,0,14,27,11,76,77,31,22,91,14,4,24,32
87,1,0,2:28,13,0,77,91,2,0,0,0,0,14,27,11,76,77,31,22,91,14,3,5,32
88,1,0,2:08,8,0,26,0,1,0,0,0,0,15,58,26,55,74,31,90,11,72,3,5,32
89,1,0,1:58,8,0,26,0,2,0,0,0,0,15,58,26,55,74,31,90,11,72,5,33,32
90,1,0,1:36,1,0,79,0,3,53,1,0,0,15,58,17,74,79,31,16,20,21,6,33,32
91,1, ,1:35,3,4,0,0,0,0,0,0,0,15,58,17,74,79,31,16,20,21,6,33,32
92,1,0,1:35,4,1,20,38,2,0,0,0,0,20,8,17,76,79,31,10,27,38,6,33,32
93,1,0,1:14,9,0,76,0,2,0,0,0,0,20,8,17,76,79,31,10,27,38,6,33,32
94,1, ,1:06,3,2,0,0,0,0,0,0,0,20,8,17,55,77,31,10,27,38,6,33,32
95,1,0,1:06,4,1,51,14,1,0,0,0,0,51,22,67,55,77,31,22,91,14,4,24,32
96,1,0,0:55,1,1,91,0,3,16,1,0,0,51,22,67,55,77,31,22,91,14,4,24,32
97,1,0,0:46,5,0,22,24,3,0,0,0,0,51,22,67,55,77,31,22,91,14,4,24,32
98,1,0,0:39,1,0,67,0,3,58,1,0,0,51,22,67,55,77,31,22,91,14,4,24,32
99,1,0,0:28,7,0,55,0,3,57,1,0,0,51,22,67,55,77,31,22,91,14,4,24,32
100,1,0,0:22,13,0,67,24,2,0,0,0,0,51,22,67,55,77,31,22,91,14,4,24,32
101,1,0,0:05,1,1,33,0,3,26,1,0,0,14,27,11,74,76,31,16,20,21,6,33,32
102,1,0,0:01,7,1,20,0,3,4,1,0,0,14,27,11,74,76,31,16,20,21,6,33,32
103,1, ,0:00,11,0,0,0,0,0,0,0,0,14,27,11,74,76,31,16,20,21,6,33,32
104,2, ,20:00,10,0,0,0,0,0,0,0,0,14,27,11,76,79,31,16,20,21,6,33,32
105,2,0,20:00,4,1,14,20,1,0,0,0,0,14,27,11,76,79,31,16,20,21,6,33,32
106,2,0,19:50,5,1,21,76,3,0,0,0,0,14,27,11,76,79,31,16,20,21,6,33,32
107,2, ,19:25,3,6,0,0,0,0,0,0,0,14,27,11,76,79,31,22,91,21,4,6,32
108,2,0,19:25,4,0,14,14,2,0,0,0,0,14,27,11,76,79,31,22,91,14,4,24,32
109,2,0,18:37,13,1,14,77,2,0,0,0,0,51,22,67,55,77,31,22,91,14,4,24,32
110,2,0,18:31,8,1,22,0,3,0,0,0,0,51,22,67,55,77,31,22,91,11,4,24,32
111,2,0,18:28,6,0,67,0,2,0,0,0,0,51,22,67,55,77,31,22,91,11,3,4,32
112,2,1,18:28,4,1,20,10,3,0,0,0,0,20,8,76,79,31,0,10,22,72,4,6,32
113,2,-1,18:13,5,0,20,6,3,0,0,0,0,20,8,76,79,31,0,10,22,72,4,6,32
114,2,-1,18:10,8,0,20,0,3,0,0,0,0,20,8,76,79,31,0,10,22,72,4,6,32
115,2,-1,18:07,9,0,20,0,3,0,0,0,0,20,8,76,79,31,0,10,22,72,4,6,32
116,2,1,17:57,7,1,72,0,3,13,0,0,0,20,8,76,79,31,0,10,22,72,4,33,32
117,2,1,17:53,1,1,4,0,3,61,1,0,0,20,8,76,79,31,0,10,22,72,4,33,32
118,2, ,17:52,3,4,0,0,0,0,0,0,0,20,8,76,79,31,0,10,22,72,4,33,32
119,2,-1,17:52,4,0,14,20,2,0,0,0,0,14,26,74,77,31,0,20,90,91,14,33,32
120,2,1,17:44,9,1,14,0,3,0,0,0,0,14,26,74,77,31,0,20,90,91,14,33,32
121,2,-1,17:41,6,0,14,91,3,0,0,0,0,14,26,74,77,31,0,20,90,91,14,33,32
122,2,1,17:41,4,1,20,14,3,0,0,0,0,20,74,79,31,0,0,22,90,91,14,6,32
123,2,1,17:06,7,1,91,0,3,17,1,0,0,20,74,79,31,0,0,22,90,91,14,6,32
124,2,1,16:51,2,1,91,0,3,19,3,14,6,20,74,79,31,0,0,22,90,91,14,6,32
