# 2014/12/07 
# ANA , WPG 
# 4 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,7,33,67,3,45,31,55,15,17,33,63,31
2,1,0,20:00,4,0,67,55,1,0,0,0,0,7,33,67,3,45,31,55,15,17,33,63,31
3,1,0,19:39,5,1,17,3,3,0,0,0,0,7,33,67,3,45,31,55,15,17,33,63,31
4,1, ,19:36,3,4,0,0,0,0,0,0,0,7,33,67,3,45,31,55,15,17,33,63,31
5,1,0,19:36,4,0,17,18,1,0,0,0,0,17,21,39,4,42,31,18,26,16,33,63,31
6,1,0,19:21,5,0,17,63,3,0,0,0,0,17,21,39,4,42,31,18,26,16,33,63,31
7,1,0,19:19,5,0,21,33,3,0,0,0,0,17,21,39,4,42,31,18,26,16,33,63,31
8,1,0,19:15,1,0,4,0,3,52,1,0,0,17,21,39,4,42,31,18,26,16,33,63,31
9,1, ,19:14,3,4,0,0,0,0,0,0,0,17,21,39,4,42,31,18,26,16,33,63,31
10,1,0,19:14,4,1,17,18,2,0,0,0,0,17,21,39,4,42,31,18,26,16,5,8,31
11,1,0,18:57,5,1,16,39,1,0,0,0,0,17,21,39,4,42,31,18,26,16,5,8,31
12,1,0,18:27,1,0,12,0,3,30,1,0,0,15,12,14,47,48,31,85,67,9,33,63,31
13,1, ,18:23,3,10,0,0,0,0,0,0,0,15,12,14,47,48,31,85,67,9,33,63,31
14,1,0,18:23,4,1,15,85,2,0,0,0,0,15,12,14,47,48,31,85,67,9,33,63,31
15,1,0,17:42,1,1,9,0,3,42,3,0,0,44,18,19,45,47,31,19,14,9,2,4,31
16,1, ,17:41,3,1,0,0,0,0,0,0,0,44,18,19,45,47,31,19,14,9,2,4,31
17,1,0,17:41,4,1,18,19,3,0,0,0,0,44,18,19,3,45,31,19,14,22,2,4,31
18,1,0,17:01,8,1,2,0,1,0,0,0,0,33,67,19,3,45,31,55,15,17,2,4,31
19,1,0,16:35,7,1,55,0,3,25,1,0,0,7,33,67,42,45,31,55,15,17,5,8,31
20,1,0,16:26,5,1,5,33,3,0,0,0,0,7,33,67,42,45,31,55,15,17,5,8,31
21,1,0,16:23,1,0,7,0,3,34,3,0,0,7,33,67,4,42,31,55,15,17,5,8,31
22,1, ,16:22,3,1,0,0,0,0,0,0,0,7,33,67,4,42,31,55,15,17,5,8,31
23,1,0,16:22,4,1,17,18,2,0,0,0,0,17,21,39,4,42,31,18,26,16,33,63,31
24,1,0,16:11,1,1,63,0,3,55,2,0,0,17,21,39,4,42,31,18,26,16,33,63,31
25,1, ,16:10,3,1,0,0,0,0,0,0,0,17,21,39,4,42,31,18,26,16,33,63,31
26,1,0,16:10,4,1,17,18,3,0,0,0,0,17,21,39,4,42,31,18,26,16,33,63,31
27,1,0,15:20,5,0,48,26,2,0,0,0,0,15,12,14,47,48,31,85,26,9,5,8,31
28,1,0,15:16,9,0,48,0,2,0,0,0,0,15,12,14,47,48,31,85,26,9,5,8,31
29,1,0,15:10,1,1,85,0,3,21,3,0,0,15,12,14,47,48,31,85,26,9,5,8,31
30,1,0,14:52,1,1,67,0,3,21,6,0,0,15,12,14,47,48,31,85,67,9,5,33,31
31,1,0,14:45,1,1,85,0,3,19,3,0,0,15,12,14,47,48,31,85,67,9,5,33,31
32,1,0,14:44,8,1,85,0,3,0,0,0,0,15,12,14,47,48,31,85,67,9,5,33,31
33,1,0,14:07,13,1,14,18,2,0,0,0,0,44,18,19,3,45,31,19,14,22,2,4,31
34,1,0,14:01,5,1,14,3,3,0,0,0,0,44,18,19,3,45,31,19,14,22,2,4,31
