# 2014/12/11 
# COL , WSH 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,38,10,3,47,72,21,16,42,44,74,70
2,1,0,20:00,4,1,19,16,1,0,0,0,0,19,38,10,3,47,72,21,16,42,44,74,70
3,1,0,19:33,5,1,21,47,3,0,0,0,0,19,38,10,3,47,72,21,16,42,44,74,70
4,1,0,19:29,9,1,16,0,3,0,0,0,0,19,38,10,3,47,72,21,16,42,44,74,70
5,1, ,19:13,3,6,0,0,0,0,0,0,0,17,13,11,7,58,72,19,43,8,2,27,70
6,1,0,19:13,4,1,17,19,2,0,0,0,0,17,13,11,7,58,72,19,43,8,2,27,70
7,1,0,18:58,5,1,43,17,3,0,0,0,0,17,13,11,7,58,72,19,43,8,2,27,70
8,1,0,18:48,5,CBJ,58,19,2,0,0,0,0,17,13,11,7,58,72,19,43,8,90,2,27
9,1,0,18:47,6,CBJ,17,43,0,0,0,0,0,17,13,11,7,58,72,19,43,8,90,2,27
10,1,-1,18:47,4,CBJ,19,20,2,0,0,0,0,19,71,7,58,72,0,19,20,8,90,2,70
11,1,1,18:26,7,1,8,0,3,38,2,0,0,23,71,7,58,72,0,19,20,8,90,2,70
12,1,1,17:58,5,1,8,71,2,0,0,0,0,38,71,21,47,72,0,19,20,8,90,2,70
13,1,-1,17:53,6,CBJ,11,0,0,0,0,0,0,38,71,21,47,72,0,19,20,8,90,74,70
14,1,1,17:53,4,1,19,20,3,0,0,0,0,19,38,7,72,0,0,19,20,42,8,52,70
15,1,1,17:21,1,1,42,0,3,10,1,0,0,19,38,7,72,0,0,19,20,42,8,52,70
16,1,1,17:00,1,1,8,0,3,45,2,0,0,19,38,7,72,0,0,19,20,42,8,52,70
17,1, ,17:00,3,1,0,0,0,0,0,0,0,19,38,7,72,0,0,19,20,42,8,52,70
18,1,1,17:00,4,1,71,16,3,0,0,0,0,23,71,58,72,0,0,92,16,8,90,74,70
19,1,1,16:55,1,1,74,0,3,50,2,0,0,23,71,58,72,0,0,92,16,8,90,74,70
20,1,1,16:41,2,1,16,0,3,10,5,74,92,17,23,71,58,72,0,92,16,8,90,74,70
21,1,0,16:41,4,CBJ,71,46,1,0,0,0,0,23,43,71,4,21,72,46,83,25,44,74,70
22,1,0,16:26,8,CBJ,71,0,3,0,0,0,0,23,43,71,4,21,72,46,83,25,44,74,70
23,1, ,16:23,3,1,0,0,0,0,0,0,0,23,43,71,4,21,72,46,83,25,44,74,70
24,1,0,16:23,1,CBJ,23,0,3,55,3,0,0,23,43,71,4,21,72,46,83,25,44,74,70
25,1,0,16:23,4,1,39,46,2,0,0,0,0,39,26,40,4,21,72,46,83,25,52,88,70
26,1, ,16:14,3,1,0,0,0,0,0,0,0,39,26,40,4,21,72,46,83,25,52,88,70
27,1,0,16:14,4,1,39,46,2,0,0,0,0,39,26,40,4,21,72,46,83,25,52,88,70
28,1,0,15:59,9,CBJ,4,0,3,0,0,0,0,39,26,40,4,21,72,46,83,25,52,88,70
29,1,0,15:33,6,CBJ,26,70,3,0,0,0,0,39,26,40,3,47,72,19,20,8,90,2,70
30,1,1,15:33,4,1,19,19,3,0,0,0,0,17,19,7,58,72,0,19,20,8,90,2,70
31,1,1,15:14,1,1,8,0,3,27,3,0,0,17,19,7,58,72,0,19,20,8,90,2,70
32,1,1,15:06,7,1,8,0,3,41,1,0,0,17,19,7,58,72,0,19,20,8,90,2,70
33,1,1,14:49,1,1,90,0,3,13,1,0,0,17,19,7,58,72,0,19,20,8,90,2,70
34,1,1,14:43,1,1,2,0,3,54,2,0,0,17,19,7,58,72,0,19,20,8,90,2,70
35,1,1,14:40,7,1,8,0,3,11,1,0,0,17,19,7,58,72,0,19,20,8,90,2,70
36,1,1,14:28,1,1,8,0,3,33,2,0,0,17,19,7,58,72,0,19,20,8,90,2,70
37,1,1,14:20,1,1,2,0,3,52,2,0,0,17,19,7,58,72,0,19,20,8,90,2,70
38,1,1,13:43,1,1,52,0,3,49,2,0,0,38,13,21,47,72,0,21,92,42,52,74,70
39,1,0,13:01,5,CBJ,4,42,2,0,0,0,0,23,43,71,3,4,72,46,42,25,27,44,70
40,1,0,12:47,5,CBJ,43,44,3,0,0,0,0,10,43,71,3,58,72,46,83,25,27,44,70
41,1,0,12:43,7,CBJ,43,0,3,31,3,0,0,10,43,71,3,58,72,46,83,25,27,44,70
42,1,0,12:14,8,1,88,0,2,0,0,0,0,39,10,11,7,58,72,46,83,25,52,88,70
43,1, ,12:04,3,0,0,0,0,0,0,0,0,39,13,11,7,58,72,46,83,25,52,88,70
44,1,0,12:04,4,CBJ,17,43,2,0,0,0,0,17,13,11,7,58,72,19,43,8,2,27,70
45,1,0,11:49,5,1,43,58,3,0,0,0,0,17,13,11,7,58,72,19,43,8,2,27,70
46,1, ,11:39,3,2,0,0,0,0,0,0,0,17,13,11,7,58,72,19,43,8,2,27,70
47,1,0,11:39,4,1,19,16,1,0,0,0,0,19,38,10,4,21,72,21,16,42,44,74,70
48,1,0,11:27,9,1,74,0,2,0,0,0,0,19,38,10,4,21,72,21,16,42,44,74,70
49,1,0,11:21,5,CBJ,10,74,3,0,0,0,0,19,38,10,4,21,72,21,16,42,44,74,70
50,1,0,11:15,5,CBJ,38,74,3,0,0,0,0,19,38,10,4,21,72,21,16,42,44,74,70
51,1,0,10:57,5,1,44,10,2,0,0,0,0,19,38,10,21,47,72,21,16,42,44,74,70
52,1,0,10:09,5,1,20,3,3,0,0,0,0,23,43,71,3,47,72,92,20,90,52,88,70
53,1,0,10:02,5,CBJ,47,90,2,0,0,0,0,23,43,71,3,47,72,92,20,90,52,88,70
54,1,0,10:00,7,1,52,0,3,43,2,0,0,23,43,71,3,47,72,92,20,90,52,88,70
55,1, ,9:53,3,0,0,0,0,0,0,0,0,23,43,71,3,47,72,92,20,90,52,88,70
56,1,0,9:53,4,1,39,46,1,0,0,0,0,39,26,40,4,21,72,46,83,25,52,88,70
57,1, ,9:45,3,6,0,0,0,0,0,0,0,39,26,40,4,21,72,46,83,25,52,88,70
58,1,0,9:45,4,1,39,46,2,0,0,0,0,39,26,40,4,21,72,46,83,25,52,88,70
59,1,0,9:33,9,1,83,0,2,0,0,0,0,39,26,40,4,21,72,46,83,25,52,88,70
60,1,0,9:23,9,1,88,0,2,0,0,0,0,39,26,40,4,21,72,46,83,25,52,88,70
61,1,0,8:44,13,CBJ,17,44,2,0,0,0,0,17,13,11,7,58,72,19,43,8,44,74,70
62,1, ,8:40,3,6,0,0,0,0,0,0,0,17,13,11,7,58,72,19,43,8,44,74,70
63,1,0,8:40,4,CBJ,17,19,3,0,0,0,0,17,13,11,7,58,72,19,43,8,44,74,70
64,1,0,8:23,1,1,8,0,3,35,1,0,0,17,13,11,7,58,72,19,43,8,2,44,70
65,1, ,8:23,3,1,0,0,0,0,0,0,0,17,13,11,7,58,72,19,43,8,2,44,70
66,1,0,8:23,4,CBJ,19,16,2,0,0,0,0,19,38,10,3,47,72,21,16,42,2,27,70
67,1,0,8:16,8,1,16,0,3,0,0,0,0,19,38,10,3,47,72,21,16,42,2,27,70
68,1,0,8:11,5,1,21,3,3,0,0,0,0,19,38,10,3,47,72,21,16,42,2,27,70
69,1,0,7:42,7,1,16,0,3,38,2,0,0,19,38,10,3,47,72,21,16,42,2,27,70
70,1,0,7:26,8,CBJ,3,0,2,0,0,0,0,19,38,10,3,47,72,21,16,42,2,27,70
71,1,0,6:47,5,CBJ,21,44,2,0,0,0,0,23,43,71,4,21,72,92,20,90,44,74,70
72,1,0,6:35,1,1,90,0,3,40,1,0,0,13,43,71,4,21,72,92,20,90,44,74,70
73,1, ,6:35,3,1,0,0,0,0,0,0,0,13,43,71,4,21,72,92,20,90,44,74,70
74,1,0,6:35,4,CBJ,17,19,2,0,0,0,0,17,13,11,7,58,72,19,43,8,52,88,70
75,1, ,6:31,3,10,0,0,0,0,0,0,0,17,13,11,7,58,72,19,43,8,52,88,70
76,1,0,6:31,4,CBJ,17,43,2,0,0,0,0,17,13,11,7,58,72,19,43,8,52,88,70
77,1,0,6:23,7,1,88,0,3,38,3,0,0,17,13,11,7,58,72,19,43,8,52,88,70
78,1,0,6:14,7,1,43,0,3,37,1,0,0,17,13,11,7,58,72,19,43,8,52,88,70
79,1,0,6:03,5,CBJ,58,19,2,0,0,0,0,17,13,11,7,58,72,19,43,8,52,88,70
80,1,0,5:57,5,CBJ,11,88,3,0,0,0,0,17,13,11,7,58,72,19,43,8,52,88,70
81,1,0,5:50,5,CBJ,17,52,3,0,0,0,0,17,13,11,7,58,72,19,43,8,52,88,70
82,1,0,5:45,13,CBJ,17,52,2,0,0,0,0,17,13,11,7,58,72,19,43,8,52,88,70
83,1,0,5:06,1,1,25,0,3,20,5,0,0,39,26,40,3,47,72,46,83,25,2,27,70
84,1,0,4:56,5,CBJ,40,27,3,0,0,0,0,39,26,40,3,47,72,46,83,25,2,27,70
85,1, ,4:42,3,0,0,0,0,0,0,0,0,39,26,40,3,47,72,46,83,25,2,27,70
86,1,0,4:42,4,CBJ,71,92,1,0,0,0,0,23,43,71,4,21,72,92,20,90,44,74,70
87,1,0,4:33,1,CBJ,23,0,3,36,2,0,0,23,43,71,4,21,72,92,20,90,44,74,70
88,1,0,4:24,2,CBJ,71,0,3,50,2,23,21,23,43,71,4,21,72,92,20,90,44,74,70
