# 2014/12/19 
# T.B , N.J 
# 2 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,14,10,5,62,20,12,11,20,2,25,1
2,1,0,20:00,4,0,11,12,1,0,0,0,0,11,14,10,5,62,20,12,11,20,2,25,1
3,1,0,19:42,5,1,11,14,2,0,0,0,0,11,14,10,5,62,20,12,11,20,2,25,1
4,1,0,19:20,5,1,2,62,2,0,0,0,0,11,14,10,5,62,20,12,11,20,2,25,1
5,1,0,19:04,5,0,5,21,2,0,0,0,0,11,24,27,5,62,20,14,21,20,6,7,1
6,1,0,18:57,1,1,68,0,3,29,3,0,0,11,24,27,5,62,20,14,21,68,6,7,1
7,1,0,18:39,6,0,11,68,2,0,0,0,0,11,24,27,5,62,20,14,21,68,6,7,1
8,1,-1,18:39,4,0,51,19,2,0,0,0,0,51,18,6,77,20,0,19,9,26,2,22,1
9,1,1,17:57,9,1,19,0,3,0,0,0,0,51,18,6,77,20,0,19,9,26,2,22,1
10,1,-1,17:44,8,0,18,0,2,0,0,0,0,51,18,6,77,20,0,21,9,26,2,22,1
11,1, ,17:27,3,6,0,0,0,0,0,0,0,13,17,5,25,20,0,14,21,68,7,22,1
12,1,1,17:27,4,1,13,14,2,0,0,0,0,13,17,5,25,20,0,14,21,68,7,22,1
13,1,1,16:59,1,1,6,0,3,32,3,0,0,13,17,5,25,20,0,14,21,68,6,7,1
14,1,1,16:59,2,1,14,0,3,11,3,6,21,13,17,5,25,20,0,14,21,68,6,7,1
15,1,0,16:59,4,0,91,11,1,0,0,0,0,91,24,27,6,77,20,11,15,17,6,7,1
16,1,0,16:23,1,0,24,0,3,26,3,0,0,91,24,27,6,77,20,11,15,17,6,7,1
17,1, ,16:23,3,1,0,0,0,0,0,0,0,91,24,27,6,77,20,11,15,17,6,7,1
18,1,0,16:23,4,1,51,19,2,0,0,0,0,51,86,18,7,25,20,19,9,26,10,22,1
19,1,0,16:11,1,0,86,0,3,32,3,0,0,51,86,18,7,25,20,19,9,26,10,22,1
20,1, ,16:08,3,10,0,0,0,0,0,0,0,51,86,18,7,25,20,19,9,26,10,22,1
21,1,0,16:08,4,0,51,12,1,0,0,0,0,51,86,18,7,25,20,12,18,20,2,25,1
22,1,0,15:38,5,1,12,7,3,0,0,0,0,51,86,18,7,25,20,12,18,20,2,25,1
23,1,0,14:33,13,0,17,10,2,0,0,0,0,13,17,23,5,62,20,14,21,68,10,22,1
24,1,0,14:30,5,1,10,17,2,0,0,0,0,13,17,24,5,62,20,14,21,68,10,22,1
25,1,0,14:08,5,0,24,6,1,0,0,0,0,91,24,27,5,6,20,11,15,17,6,7,1
26,1, ,14:08,3,10,0,0,0,0,0,0,0,91,24,27,5,6,20,11,15,17,6,7,1
27,1,0,14:08,4,0,91,19,1,0,0,0,0,91,24,27,6,77,20,19,9,26,6,7,1
28,1,0,13:31,5,0,27,19,1,0,0,0,0,11,14,27,6,77,20,19,9,26,6,7,1
29,1, ,13:31,3,0,0,0,0,0,0,0,0,11,14,27,6,77,20,19,9,26,6,7,1
30,1,0,13:31,4,1,11,11,1,0,0,0,0,11,14,10,7,25,20,11,15,17,2,25,1
31,1,0,13:08,13,1,17,7,2,0,0,0,0,11,14,10,7,25,20,11,15,17,2,25,1
32,1,0,13:03,5,0,7,17,2,0,0,0,0,11,14,10,7,25,20,11,15,17,2,25,1
33,1,0,12:54,9,0,10,0,1,0,0,0,0,11,14,10,7,25,20,11,15,17,2,25,1
34,1, ,12:52,3,2,0,0,0,0,0,0,0,11,14,10,7,25,20,11,15,17,2,25,1
35,1,0,12:52,4,1,51,14,1,0,0,0,0,51,86,18,5,62,20,14,21,68,10,22,1
36,1,0,12:11,1,0,86,0,3,40,3,0,0,51,86,18,6,77,20,14,21,68,10,22,1
37,1,0,11:41,5,0,13,6,3,0,0,0,0,13,17,23,6,77,20,12,18,20,6,7,1
38,1, ,11:19,3,6,0,0,0,0,0,0,0,13,17,23,6,77,20,12,18,20,6,7,1
39,1,0,11:19,4,1,27,12,2,0,0,0,0,91,24,27,7,25,20,12,18,20,6,7,1
