# 2014/12/29 
# NSH , CHI 
# 4 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,12,33,18,6,59,35,91,23,88,2,7,50
2,1,0,20:00,4,0,12,91,1,0,0,0,0,12,33,18,6,59,35,91,23,88,2,7,50
3,1,0,19:42,7,1,23,0,3,21,6,0,0,12,33,18,4,14,35,91,23,88,2,7,50
4,1,0,19:39,5,0,33,7,2,0,0,0,0,12,33,18,4,14,35,91,23,88,2,7,50
5,1,0,19:06,5,1,13,41,1,0,0,0,0,28,24,41,6,59,35,65,13,29,2,4,50
6,1, ,18:53,3,6,0,0,0,0,0,0,0,28,24,41,3,64,35,65,13,29,4,27,50
7,1,0,18:53,4,1,63,65,2,0,0,0,0,15,63,9,6,59,35,65,13,29,4,27,50
8,1, ,18:44,3,6,0,0,0,0,0,0,0,15,63,9,6,59,35,65,13,29,4,27,50
9,1,0,18:44,4,0,63,65,3,0,0,0,0,15,63,9,6,59,35,65,13,29,4,27,50
10,1,0,18:26,7,0,9,0,3,46,1,0,0,15,63,9,6,59,35,19,81,20,4,27,50
11,1,0,17:59,1,1,20,0,3,9,5,0,0,15,63,57,6,59,35,19,81,20,7,27,50
12,1,0,17:54,1,1,20,0,3,11,1,0,0,13,19,57,6,59,35,19,81,20,7,27,50
13,1, ,17:42,3,6,0,0,0,0,0,0,0,13,19,57,3,64,35,91,23,88,7,27,50
14,1,0,17:42,4,1,13,91,2,0,0,0,0,13,19,57,4,14,35,91,23,88,7,27,50
15,1,0,17:10,1,0,19,0,3,42,1,0,0,13,19,57,4,14,35,91,23,88,7,27,50
16,1, ,17:08,3,4,0,0,0,0,0,0,0,13,19,57,4,14,35,91,23,88,7,27,50
17,1,0,17:08,13,0,19,91,2,0,0,0,0,13,19,57,4,14,35,91,23,88,7,27,50
18,1,0,17:08,4,0,63,16,3,0,0,0,0,15,63,9,6,59,35,16,28,10,2,4,50
19,1,0,17:03,7,0,6,0,3,55,2,0,0,15,63,9,6,59,35,16,28,10,2,4,50
20,1,0,16:56,1,0,59,0,3,52,2,0,0,15,63,9,6,59,35,16,28,10,2,4,50
21,1, ,16:48,3,1,0,0,0,0,0,0,0,15,63,9,6,59,35,16,28,10,2,4,50
22,1,0,16:48,13,1,2,6,2,0,0,0,0,15,63,9,6,59,35,16,28,10,2,4,50
23,1,0,16:48,1,1,4,0,3,66,2,0,0,15,63,9,6,59,35,16,28,10,2,4,50
24,1,0,16:48,4,1,28,28,3,0,0,0,0,28,24,41,6,59,35,16,28,10,5,34,50
25,1,0,16:28,7,0,28,0,3,23,2,0,0,28,24,41,6,59,35,16,28,10,5,34,50
26,1,0,15:52,13,1,4,18,2,0,0,0,0,12,33,18,3,64,35,19,81,20,4,27,50
27,1, ,15:52,3,4,0,0,0,0,0,0,0,12,33,18,3,64,35,19,81,20,4,27,50
28,1,0,15:52,4,0,12,19,2,0,0,0,0,12,33,18,6,59,35,19,81,20,2,7,50
29,1,0,15:42,1,0,33,0,3,26,1,0,0,12,33,18,6,59,35,19,81,20,2,7,50
30,1,0,15:38,1,0,59,0,3,57,2,0,0,12,33,18,6,59,35,19,81,20,2,7,50
31,1,0,15:32,13,0,6,20,2,0,0,0,0,12,33,18,6,59,35,19,81,20,2,7,50
