# 2015/01/13 
# FLA , WPG 
# 2 , 8 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,27,12,36,7,33,1,18,26,16,33,63,34
2,1,0,20:00,4,0,27,18,1,0,0,0,0,27,12,36,7,33,1,18,26,16,33,63,34
3,1,0,19:46,9,0,1,0,2,0,0,0,0,27,12,36,7,33,1,18,26,16,33,63,34
4,1,0,19:39,7,1,26,0,3,9,0,0,0,27,12,36,7,33,1,18,26,16,33,63,34
5,1, ,19:38,3,5,0,0,0,0,0,0,0,27,12,36,7,33,1,18,26,16,33,63,34
6,1,0,19:38,4,0,16,55,1,0,0,0,0,11,16,24,5,51,1,55,85,67,39,44,34
7,1,0,19:07,1,0,5,0,3,40,3,0,0,11,16,24,5,51,1,55,85,67,39,44,34
8,1, ,19:06,3,1,0,0,0,0,0,0,0,11,16,24,5,51,1,55,85,67,39,44,34
9,1,0,19:06,4,1,63,17,2,0,0,0,0,63,14,20,4,44,1,15,9,17,5,23,34
10,1,0,18:21,5,0,33,15,2,0,0,0,0,17,19,82,7,33,1,15,9,17,5,23,34
11,1,0,18:12,9,1,34,0,2,0,0,0,0,17,19,82,7,33,1,19,14,9,5,39,34
12,1,0,18:10,5,1,44,19,2,0,0,0,0,17,19,82,7,33,1,19,14,22,39,44,34
13,1,0,17:52,5,0,17,44,3,0,0,0,0,17,12,82,7,33,1,19,14,22,39,44,34
14,1,0,17:50,5,1,14,7,1,0,0,0,0,17,12,82,7,33,1,19,14,22,33,44,34
15,1, ,17:45,3,6,0,0,0,0,0,0,0,17,12,82,7,33,1,19,14,22,33,44,34
16,1,0,17:45,4,1,17,18,3,0,0,0,0,17,12,82,7,33,1,18,26,16,33,63,34
17,1,0,17:40,7,1,33,0,3,51,3,0,0,17,12,82,7,33,1,18,26,16,33,63,34
18,1, ,17:39,3,4,0,0,0,0,0,0,0,17,12,82,7,33,1,18,26,16,33,63,34
19,1,0,17:39,4,1,27,18,3,0,0,0,0,27,12,36,7,33,1,18,26,16,33,63,34
20,1,0,17:10,1,1,16,0,3,39,2,0,0,27,12,36,7,33,1,18,26,16,33,63,34
21,1,0,17:09,1,1,33,0,3,29,3,0,0,27,12,36,7,33,1,18,26,16,33,63,34
22,1,0,16:52,8,1,85,0,3,0,0,0,0,11,16,24,5,51,1,55,85,67,39,44,34
23,1,0,15:57,5,1,17,44,3,0,0,0,0,63,14,20,4,44,1,15,9,17,5,23,34
24,1,0,15:39,5,0,44,17,2,0,0,0,0,63,14,20,4,44,1,15,9,17,5,23,34
25,1,0,15:37,5,1,15,4,3,0,0,0,0,63,14,20,4,44,1,15,9,17,5,23,34
26,1,0,15:14,5,0,44,14,2,0,0,0,0,17,82,14,4,44,1,19,14,22,39,44,34
27,1,0,14:57,5,1,22,82,3,0,0,0,0,17,82,14,4,44,1,19,14,22,39,44,34
28,1,0,14:43,1,0,19,0,3,33,6,0,0,17,19,82,7,33,1,18,14,16,33,63,34
29,1, ,14:42,3,1,0,0,0,0,0,0,0,17,19,82,7,33,1,18,14,16,33,63,34
30,1,0,14:42,4,1,17,18,2,0,0,0,0,17,19,82,7,33,1,18,26,16,33,63,34
31,1,0,14:38,9,1,26,0,2,0,0,0,0,17,19,82,7,33,1,18,26,16,33,63,34
32,1,0,13:58,13,0,27,63,2,0,0,0,0,27,12,36,5,51,1,55,26,16,33,63,34
33,1, ,13:57,3,0,0,0,0,0,0,0,0,27,12,36,5,51,1,55,26,16,33,63,34
34,1,0,13:57,4,0,27,18,3,0,0,0,0,27,12,36,5,51,1,18,26,16,33,63,34
35,1,0,13:43,5,1,16,5,3,0,0,0,0,27,12,36,5,51,1,18,26,16,33,63,34
36,1,0,13:27,1,1,63,0,3,63,1,0,0,27,12,36,5,51,1,18,67,16,33,63,34
37,1,0,13:21,13,1,18,27,2,0,0,0,0,27,12,36,5,51,1,18,67,16,33,63,34
38,1,0,12:42,9,0,11,0,2,0,0,0,0,11,16,24,4,44,1,55,85,67,39,44,34
39,1,0,12:36,2,1,85,0,3,10,1,44,67,11,16,24,4,44,1,55,85,67,39,44,34
