# 2015/01/18 
# BUF , DET 
# 4 , 6 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,17,63,26,4,57,1,13,8,40,52,55,34
2,1,0,20:00,4,0,17,13,1,0,0,0,0,17,63,26,4,57,1,13,8,40,52,55,34
3,1,0,18:21,1,0,41,0,3,51,1,0,0,19,84,21,41,61,1,15,21,56,2,61,34
4,1,0,18:14,2,0,21,0,3,21,1,19,41,19,84,21,41,61,1,15,90,56,2,61,34
5,1,0,18:14,4,1,17,43,1,0,0,0,0,17,63,26,24,61,1,43,90,56,52,55,34
6,1, ,17:42,3,2,0,0,0,0,0,0,0,17,63,26,24,61,1,43,90,56,52,55,34
7,1,0,17:42,4,1,65,41,1,0,0,0,0,28,65,80,4,57,1,18,41,20,27,65,34
8,1,0,17:23,13,1,27,65,2,0,0,0,0,28,65,80,4,57,1,18,41,20,27,65,34
9,1,0,16:14,5,1,40,57,3,0,0,0,0,19,84,21,4,57,1,13,8,40,2,61,34
10,1,0,15:07,7,0,44,0,3,28,1,0,0,17,63,44,24,61,1,14,15,21,52,55,34
11,1,0,15:06,7,1,14,0,3,29,1,0,0,17,63,44,24,61,1,14,15,21,52,55,34
12,1,0,14:44,7,0,63,0,3,28,1,0,0,17,63,26,24,61,1,14,15,21,52,55,34
13,1,0,14:35,1,0,24,0,3,53,1,0,0,17,63,26,24,61,1,14,15,21,52,55,34
14,1,0,13:53,13,1,43,41,2,0,0,0,0,28,65,80,41,51,1,43,90,56,27,65,34
15,1,0,13:45,13,1,56,51,2,0,0,0,0,28,65,80,41,51,1,43,90,56,27,65,34
16,1,0,13:26,5,0,84,20,1,0,0,0,0,19,84,21,4,57,1,18,41,20,2,61,34
17,1,0,12:27,1,1,13,0,3,38,3,0,0,17,63,26,24,61,1,13,8,40,27,55,34
18,1,0,12:21,8,1,40,0,3,0,0,0,0,17,63,26,24,61,1,13,8,40,27,55,34
19,1,0,12:17,13,1,27,26,2,0,0,0,0,17,63,26,24,61,1,13,8,40,27,55,34
20,1, ,12:17,3,0,0,0,0,0,0,0,0,17,63,26,24,61,1,13,8,40,27,55,34
21,1,0,12:17,4,0,28,15,2,0,0,0,0,28,65,80,4,57,1,14,15,21,52,55,34
22,1,0,11:19,9,1,8,0,3,0,0,0,0,19,84,21,4,57,1,13,8,40,27,65,34
23,1,0,10:36,7,0,44,0,3,31,3,0,0,36,37,44,24,61,1,43,90,56,2,27,34
24,1,0,9:44,5,1,52,63,2,0,0,0,0,17,63,26,41,51,1,18,41,20,2,52,34
25,1,0,9:39,2,0,63,0,3,26,0,51,61,17,63,26,41,51,1,18,41,20,2,52,34
26,1,0,9:39,4,0,28,13,1,0,0,0,0,28,65,80,4,57,1,13,8,40,52,55,34
27,1,0,9:18,1,1,40,0,3,40,1,0,0,28,65,80,4,57,1,13,8,40,52,55,34
28,1,0,9:14,5,1,8,65,3,0,0,0,0,28,65,80,4,57,1,13,8,40,52,55,34
29,1,0,8:59,1,0,4,0,3,14,3,0,0,19,28,80,4,57,1,13,8,40,27,55,34
30,1, ,8:59,3,0,0,0,0,0,0,0,0,19,28,80,4,57,1,13,8,40,27,55,34
31,1,0,8:59,4,1,84,41,2,0,0,0,0,19,84,21,41,51,1,18,41,20,27,65,34
32,1, ,8:37,3,6,0,0,0,0,0,0,0,19,84,21,41,51,1,18,41,20,27,65,34
33,1,0,8:37,4,0,17,41,3,0,0,0,0,17,63,26,24,61,1,18,41,20,27,65,34
34,1,0,8:29,1,0,61,0,3,43,1,0,0,17,63,26,24,61,1,18,41,20,27,65,34
35,1, ,8:24,3,10,0,0,0,0,0,0,0,17,63,26,24,61,1,18,41,20,27,65,34
36,1,0,8:24,4,0,28,15,3,0,0,0,0,28,65,80,4,57,1,14,15,40,52,55,34
37,1,0,7:43,5,1,52,65,3,0,0,0,0,28,65,80,4,57,1,14,15,40,52,55,34
38,1,0,7:41,8,0,28,0,1,0,0,0,0,28,65,80,4,57,1,14,15,40,52,55,34
39,1,0,6:42,5,0,36,13,2,0,0,0,0,36,37,44,24,61,1,13,21,8,2,27,34
40,1,0,6:35,6,1,27,37,2,0,0,0,0,36,37,44,41,51,1,13,90,8,2,27,34
41,1,1,6:35,4,0,28,43,3,0,0,0,0,28,63,80,51,57,1,41,43,52,55,34,0
42,1,1,6:27,7,0,80,0,3,13,0,0,0,28,63,80,51,57,1,41,43,52,55,34,0
43,1,1,6:23,2,0,80,0,3,37,2,63,51,28,63,80,51,57,1,41,43,52,55,34,0
44,1,0,6:23,4,1,17,43,1,0,0,0,0,17,63,26,4,57,1,43,90,56,27,65,38
45,1, ,6:05,3,4,0,0,0,0,0,0,0,17,63,26,24,61,1,43,90,56,27,65,38
46,1,0,6:05,4,1,28,13,1,0,0,0,0,28,65,80,24,61,1,13,21,8,27,65,38
47,1,0,5:46,13,1,27,24,2,0,0,0,0,28,65,80,4,24,1,13,21,8,27,65,38
48,1,0,5:41,1,1,27,0,3,60,2,0,0,28,65,80,4,24,1,13,21,8,27,65,38
49,1, ,5:40,3,0,0,0,0,0,0,0,0,28,65,80,4,24,1,13,21,8,27,65,38
50,1,0,5:40,4,0,28,15,2,0,0,0,0,28,65,80,4,57,1,14,15,40,27,65,38
