# 2015/02/01 
# ARZ , MTL 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,8,50,19,4,23,35,14,22,67,76,79,35
2,1,0,20:00,4,ARI,50,14,1,0,0,0,0,8,50,19,4,23,35,14,22,67,76,79,35
3,1,0,19:44,1,ARI,23,0,3,59,2,0,0,8,50,19,4,23,35,14,22,67,76,79,35
4,1, ,19:43,3,1,0,0,0,0,0,0,0,8,50,19,4,23,35,14,22,67,76,79,35
5,1,0,19:43,4,ARI,50,14,3,0,0,0,0,8,50,19,4,23,35,14,22,67,76,79,35
6,1,0,19:36,1,1,22,0,3,38,1,0,0,8,50,19,4,23,35,14,22,67,76,79,35
7,1,0,19:30,9,ARI,19,0,2,0,0,0,0,8,50,19,4,23,35,14,22,67,76,79,35
8,1,0,19:22,7,ARI,19,0,1,65,3,0,0,8,50,19,4,23,35,14,22,67,76,79,35
9,1,0,19:15,5,ARI,22,11,3,0,0,0,0,22,24,19,3,26,35,27,51,11,76,79,35
10,1, ,19:06,3,6,0,0,0,0,0,0,0,22,24,18,3,26,35,27,51,11,28,79,35
11,1,0,19:06,4,1,28,51,2,0,0,0,0,9,10,28,3,26,35,27,51,11,28,79,35
12,1,0,18:45,2,1,27,0,3,28,1,11,77,9,10,28,3,26,35,27,51,11,74,77,35
13,1,0,18:45,4,ARI,24,81,1,0,0,0,0,22,24,18,5,45,35,81,26,60,28,43,35
14,1,0,18:30,5,ARI,22,43,3,0,0,0,0,22,24,18,5,45,35,81,26,60,28,43,35
15,1,0,18:28,9,1,35,0,2,0,0,0,0,22,24,18,5,45,35,81,26,60,28,43,35
16,1,0,18:28,1,ARI,24,0,3,9,5,0,0,22,24,18,5,45,35,81,26,60,28,43,35
17,1, ,18:27,3,1,0,0,0,0,0,0,0,22,24,18,5,45,35,81,26,60,28,43,35
18,1,0,18:27,4,1,39,20,2,0,0,0,0,39,44,38,5,45,35,20,37,8,28,43,35
19,1,0,18:18,5,ARI,45,37,3,0,0,0,0,39,44,38,5,45,35,20,37,8,28,43,35
20,1,0,17:56,5,ARI,44,43,3,0,0,0,0,39,44,38,4,23,35,20,37,8,28,43,35
21,1,0,17:49,5,1,37,4,1,0,0,0,0,50,19,38,4,23,35,20,37,8,28,43,35
22,1,0,17:43,5,ARI,38,43,3,0,0,0,0,50,19,38,4,23,35,20,37,8,28,43,35
23,1,0,17:29,1,ARI,8,0,3,35,1,0,0,8,50,19,4,23,35,14,22,67,76,79,35
24,1,0,17:27,1,ARI,50,0,3,8,1,0,0,8,50,19,4,23,35,14,22,67,76,79,35
25,1,0,17:12,6,ARI,50,22,2,0,0,0,0,8,50,19,23,26,35,14,22,67,76,79,35
26,1,1,17:12,4,1,24,11,3,0,0,0,0,24,18,4,45,35,0,14,11,67,76,79,35
27,1,-1,17:04,13,1,67,4,2,0,0,0,0,24,18,4,45,35,0,14,11,67,76,79,35
28,1, ,17:03,3,4,0,0,0,0,0,0,0,24,18,4,45,35,0,14,11,67,76,79,35
29,1,1,17:03,4,1,24,14,3,0,0,0,0,24,18,4,45,35,0,14,11,67,76,79,35
30,1,-1,16:55,13,1,76,18,2,0,0,0,0,24,18,4,45,35,0,14,11,67,76,79,35
31,1, ,16:50,3,2,0,0,0,0,0,0,0,24,18,4,45,35,0,14,11,67,76,79,35
32,1,1,16:50,4,1,28,14,2,0,0,0,0,10,28,5,23,35,0,14,11,67,76,79,35
33,1,-1,16:31,13,1,67,23,2,0,0,0,0,10,28,5,23,35,0,14,11,67,76,79,35
34,1,1,16:10,1,1,76,0,3,17,1,0,0,10,28,5,23,35,0,14,11,67,76,79,35
35,1, ,16:09,3,1,0,0,0,0,0,0,0,10,28,5,23,35,0,14,11,67,76,79,35
36,1,1,16:09,4,1,24,51,3,0,0,0,0,24,18,4,45,35,0,27,51,26,76,79,35
37,1,-1,15:50,5,ARI,45,26,2,0,0,0,0,24,18,4,45,35,0,27,51,26,76,79,35
38,1,-1,15:16,13,1,79,22,2,0,0,0,0,8,22,4,45,35,0,27,51,26,76,79,35
39,1,0,15:11,7,1,27,0,3,29,1,0,0,8,22,50,4,45,35,27,51,26,76,79,35
40,1,0,15:07,1,1,51,0,3,25,1,0,0,8,22,50,4,45,35,27,51,26,76,79,35
41,1,0,15:05,2,1,27,0,3,11,5,51,26,8,22,50,4,45,35,27,51,26,76,79,35
42,1,0,15:05,4,1,9,81,1,0,0,0,0,9,10,28,3,26,35,81,8,60,74,77,35
43,1, ,15:00,3,2,0,0,0,0,0,0,0,9,10,28,3,26,35,81,8,60,74,77,35
44,1,0,15:00,4,ARI,9,81,1,0,0,0,0,9,10,28,3,26,35,81,8,60,74,77,35
45,1,0,14:40,5,1,8,28,3,0,0,0,0,9,10,28,3,26,35,81,8,60,74,77,35
46,1,0,14:28,8,1,77,0,2,0,0,0,0,9,10,38,5,45,35,81,8,60,74,77,35
47,1,0,14:21,5,ARI,5,81,1,0,0,0,0,9,10,38,5,45,35,81,8,60,74,77,35
48,1,0,14:13,5,1,60,45,3,0,0,0,0,39,44,38,5,45,35,14,60,67,28,43,35
49,1, ,14:08,3,11,0,0,0,0,0,0,0,39,44,38,5,45,35,14,22,67,28,43,35
50,1,0,14:08,4,ARI,50,14,2,0,0,0,0,8,50,19,4,23,35,14,22,67,76,79,35
51,1,0,13:58,9,ARI,50,0,2,0,0,0,0,8,50,19,4,23,35,14,22,67,76,79,35
52,1,0,13:50,13,1,76,8,2,0,0,0,0,8,50,19,4,23,35,14,22,67,76,79,35
53,1,0,13:49,7,1,67,0,3,13,5,0,0,8,50,19,4,23,35,14,22,67,76,79,35
54,1,0,13:41,1,ARI,8,0,3,46,1,0,0,8,50,19,4,23,35,14,22,67,76,79,35
55,1, ,13:40,3,0,0,0,0,0,0,0,0,8,50,19,4,23,35,14,22,67,76,79,35
56,1,0,13:40,4,ARI,50,20,3,0,0,0,0,8,50,19,3,26,35,14,20,67,76,79,35
57,1,0,13:22,9,1,79,0,2,0,0,0,0,8,50,19,3,26,35,14,20,67,76,79,35
58,1,0,13:15,5,1,20,19,2,0,0,0,0,8,50,19,3,26,35,14,20,67,76,79,35
59,1,0,13:07,7,ARI,26,0,3,53,3,0,0,8,50,19,3,26,35,14,20,67,76,79,35
60,1, ,12:57,3,6,0,0,0,0,0,0,0,8,50,19,3,26,35,14,20,67,76,79,35
61,1,0,12:57,4,1,9,20,2,0,0,0,0,9,10,28,5,45,35,14,20,67,76,79,35
62,1,0,12:39,9,1,35,0,2,0,0,0,0,9,10,28,5,45,35,27,51,11,74,77,35
63,1,0,12:26,8,ARI,9,0,3,0,0,0,0,9,10,28,5,45,35,27,51,11,74,77,35
64,1,0,12:20,5,ARI,10,77,3,0,0,0,0,9,10,38,5,23,35,27,51,11,74,77,35
65,1,0,12:13,9,ARI,35,0,2,0,0,0,0,39,44,38,5,23,35,27,51,11,28,74,35
66,1,0,12:03,1,1,11,0,3,43,3,0,0,39,44,38,5,23,35,27,51,11,28,74,35
67,1, ,12:02,3,1,0,0,0,0,0,0,0,39,44,38,5,23,35,27,51,11,28,74,35
68,1,0,12:02,4,1,24,20,3,0,0,0,0,22,24,18,4,23,35,20,37,8,28,43,35
69,1,0,11:44,5,ARI,18,28,3,0,0,0,0,22,24,18,4,23,35,20,37,8,28,43,35
70,1,0,10:37,5,1,79,19,2,0,0,0,0,8,50,19,3,26,35,81,26,60,76,79,35
71,1, ,10:28,3,6,0,0,0,0,0,0,0,8,50,19,3,26,35,81,26,60,76,79,35
72,1,0,10:28,4,ARI,9,81,3,0,0,0,0,9,10,28,3,26,35,81,26,60,76,79,35
73,1,0,9:47,1,ARI,26,0,1,90,1,0,0,9,22,18,3,26,35,27,51,11,74,77,35
74,1, ,9:46,3,0,0,0,0,0,0,0,0,9,22,18,3,26,35,27,51,11,74,77,35
75,1,0,9:46,4,1,50,14,2,0,0,0,0,8,50,19,4,23,35,14,22,67,76,79,35
76,1, ,9:37,3,2,0,0,0,0,0,0,0,8,50,19,4,23,35,14,22,67,76,79,35
77,1,0,9:37,4,ARI,50,14,1,0,0,0,0,8,50,19,4,23,35,14,22,67,76,79,35
78,1,0,9:25,1,ARI,50,0,3,27,6,0,0,8,50,19,4,23,35,14,22,67,76,79,35
79,1,0,9:13,1,1,79,0,3,11,1,0,0,8,50,19,4,23,35,14,22,67,76,79,35
80,1, ,9:12,3,1,0,0,0,0,0,0,0,8,50,19,4,23,35,14,22,67,76,79,35
81,1,0,9:12,4,1,24,51,3,0,0,0,0,22,24,18,5,45,35,27,51,11,28,43,35
82,1,0,8:56,1,1,28,0,3,53,1,0,0,22,24,18,5,45,35,27,51,11,28,43,35
83,1,0,8:45,5,1,43,22,2,0,0,0,0,22,24,18,5,45,35,27,51,11,28,43,35
84,1,0,8:39,13,ARI,24,43,2,0,0,0,0,24,18,28,5,45,35,27,51,11,28,43,35
85,1, ,8:24,3,10,0,0,0,0,0,0,0,24,10,28,5,45,35,51,11,8,74,77,35
86,1,0,8:24,4,1,39,20,1,0,0,0,0,39,44,38,3,26,35,20,37,8,74,77,35
87,1,0,7:49,5,ARI,44,20,3,0,0,0,0,39,44,38,3,26,35,20,37,8,74,77,35
88,1, ,7:45,3,2,0,0,0,0,0,0,0,39,44,38,3,26,35,20,37,8,74,77,35
89,1,0,7:45,4,1,9,81,1,0,0,0,0,9,10,28,4,23,35,81,26,60,76,79,35
90,1,0,7:28,13,1,79,10,2,0,0,0,0,9,10,28,4,23,35,81,26,60,76,79,35
91,1, ,7:27,3,4,0,0,0,0,0,0,0,9,10,28,4,23,35,81,26,60,76,79,35
92,1,0,7:27,4,ARI,50,14,2,0,0,0,0,8,50,19,4,23,35,14,22,67,76,79,35
93,1,0,7:09,9,1,76,0,2,0,0,0,0,8,50,19,4,23,35,14,22,67,76,79,35
94,1,0,7:07,1,ARI,50,0,3,28,3,0,0,8,50,19,4,23,35,14,22,67,76,79,35
95,1, ,6:53,3,2,0,0,0,0,0,0,0,8,50,19,4,23,35,14,22,67,76,79,35
96,1,0,6:53,4,1,9,51,1,0,0,0,0,9,10,28,3,26,35,27,51,11,74,77,35
97,1,0,6:37,9,ARI,3,0,2,0,0,0,0,9,10,28,3,26,35,27,51,11,74,77,35
98,1, ,6:24,3,4,0,0,0,0,0,0,0,9,10,28,3,26,35,27,51,11,74,77,35
99,1,0,6:24,4,ARI,24,81,2,0,0,0,0,22,24,18,5,45,35,81,26,60,28,43,35
100,1, ,6:19,3,6,0,0,0,0,0,0,0,22,24,18,5,45,35,81,26,60,28,43,35
101,1,0,6:19,4,1,24,81,3,0,0,0,0,22,24,18,5,45,35,81,26,60,28,43,35
102,1,0,5:49,7,ARI,5,0,3,52,2,0,0,22,24,18,5,45,35,81,26,60,28,43,35
103,1,0,5:44,5,ARI,45,60,3,0,0,0,0,22,24,18,5,45,35,81,26,60,28,43,35
104,1,0,5:34,5,1,37,38,1,0,0,0,0,39,44,38,4,23,35,20,37,26,28,74,35
105,1,0,5:22,5,1,37,39,3,0,0,0,0,39,44,38,4,23,35,20,37,8,28,74,35
106,1,0,5:16,5,1,74,44,2,0,0,0,0,39,44,38,4,23,35,20,37,8,28,74,35
107,1,0,5:13,9,1,20,0,2,0,0,0,0,39,44,38,4,23,35,20,37,8,28,74,35
108,1,0,5:07,1,ARI,44,0,3,32,1,0,0,39,44,38,4,23,35,20,37,8,28,74,35
109,1,0,4:58,5,1,74,39,2,0,0,0,0,39,44,38,4,23,35,20,37,8,28,74,35
110,1,0,4:41,5,1,22,4,1,0,0,0,0,8,50,19,4,23,35,14,22,67,76,79,35
111,1,0,4:15,7,ARI,26,0,3,30,1,0,0,8,50,19,3,26,35,14,22,67,76,79,35
112,1,0,4:14,7,ARI,8,0,3,10,6,0,0,8,50,19,3,26,35,14,22,67,76,79,35
113,1,0,4:01,8,ARI,50,0,1,0,0,0,0,8,50,19,3,26,35,14,22,67,76,79,35
114,1,0,3:45,5,ARI,45,51,1,0,0,0,0,9,10,28,5,45,35,27,51,11,74,77,35
115,1,0,2:42,9,1,20,0,2,0,0,0,0,22,24,18,4,23,35,20,37,8,28,43,35
116,1, ,2:29,3,0,0,0,0,0,0,0,0,22,24,18,4,23,35,20,37,8,28,43,35
117,1,0,2:29,4,ARI,50,20,3,0,0,0,0,8,50,19,3,26,35,20,37,8,28,76,35
118,1,0,2:08,1,1,22,0,3,20,1,0,0,8,50,19,3,26,35,14,22,8,76,79,35
119,1,0,1:16,13,ARI,9,77,2,0,0,0,0,9,10,28,5,45,35,81,26,60,74,77,35
120,1,0,1:10,5,ARI,5,26,1,0,0,0,0,9,10,28,5,45,35,81,26,60,74,77,35
121,1,0,1:00,7,1,74,0,3,63,2,0,0,9,10,28,5,45,35,81,26,60,74,77,35
122,1,0,0:53,13,1,26,9,2,0,0,0,0,9,10,28,5,45,35,81,26,60,74,77,35
123,1,0,0:44,1,1,77,0,3,50,2,0,0,9,10,28,5,45,35,81,26,60,74,77,35
124,1,0,0:33,5,ARI,10,26,2,0,0,0,0,9,10,28,5,45,35,81,26,60,74,77,35
125,1, ,0:05,3,2,0,0,0,0,0,0,0,22,24,18,4,23,35,27,51,11,74,77,35
126,1,0,0:05,4,1,24,20,1,0,0,0,0,22,24,18,4,23,35,20,37,8,76,79,35
127,1, ,0:00,11,0,0,0,0,0,0,0,0,22,24,18,4,23,35,20,37,8,76,79,35
128,2, ,20:00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,2,0,20:00,4,ARI,50,14,1,0,0,0,0,8,50,19,4,23,35,14,22,67,76,79,35
130,2,0,19:31,5,ARI,23,67,2,0,0,0,0,8,50,19,4,23,35,14,22,67,76,79,35
131,2, ,18:19,3,10,0,0,0,0,0,0,0,9,10,28,3,26,35,81,26,60,28,43,35
132,2,0,18:19,4,ARI,9,81,1,0,0,0,0,9,10,28,5,45,35,81,26,60,74,77,35
133,2, ,18:11,3,1,0,0,0,0,0,0,0,9,10,28,5,45,35,81,26,60,74,77,35
134,2,0,18:11,4,1,9,20,2,0,0,0,0,9,10,28,5,45,35,20,81,60,74,77,35
135,2,0,18:09,1,ARI,10,0,3,34,1,0,0,9,10,28,5,45,35,20,81,60,74,77,35
136,2,0,17:48,5,ARI,28,74,3,0,0,0,0,9,10,28,4,23,35,81,26,60,74,77,35
137,2,0,17:03,1,ARI,4,0,3,66,2,0,0,39,44,38,4,23,35,20,37,26,28,43,35
138,2, ,17:02,3,1,0,0,0,0,0,0,0,39,44,38,4,23,35,20,37,26,28,43,35
139,2,0,17:02,4,ARI,50,14,3,0,0,0,0,8,50,19,3,26,35,14,22,67,76,79,35
140,2,0,16:43,13,ARI,50,14,2,0,0,0,0,8,50,19,3,26,35,14,22,67,76,79,35
141,2,0,16:31,13,ARI,8,76,2,0,0,0,0,8,50,19,3,26,35,14,22,67,76,79,35
142,2,0,15:52,9,1,76,0,2,0,0,0,0,22,24,18,5,45,35,27,51,11,76,79,35
143,2,0,15:42,1,ARI,18,0,3,10,1,0,0,22,24,18,5,45,35,27,51,11,76,79,35
144,2, ,15:39,3,8,0,0,0,0,0,0,0,22,24,18,5,45,35,20,37,8,74,77,35
145,2,0,15:39,4,1,9,20,2,0,0,0,0,9,10,28,4,23,35,20,37,8,74,77,35
146,2, ,15:25,3,6,0,0,0,0,0,0,0,9,10,28,4,23,35,20,37,8,74,77,35
147,2,0,15:25,4,1,9,20,3,0,0,0,0,9,10,28,4,23,35,20,37,8,74,77,35
148,2, ,15:03,3,6,0,0,0,0,0,0,0,9,10,28,4,23,35,20,37,8,74,77,35
149,2,0,15:03,4,1,39,20,2,0,0,0,0,39,44,38,3,26,35,20,37,8,74,77,35
150,2,0,14:59,5,ARI,38,37,3,0,0,0,0,39,44,38,3,26,35,20,37,8,74,77,35
