# 2015/02/05 
# L.A , FLA 
# 2 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,12,23,6,8,32,11,16,24,7,44,1
2,1,0,20:00,4,0,11,16,1,0,0,0,0,11,12,23,6,8,32,11,16,24,5,7,1
3,1,0,19:40,5,0,23,16,2,0,0,0,0,11,12,23,6,8,32,11,16,24,5,7,1
4,1,0,19:29,5,0,23,16,2,0,0,0,0,11,12,23,6,8,32,11,16,24,5,7,1
5,1,0,19:15,5,0,23,7,2,0,0,0,0,11,12,23,6,8,32,11,16,24,5,7,1
6,1, ,18:46,3,6,0,0,0,0,0,0,0,73,77,74,2,27,32,27,12,36,3,51,1
7,1,0,18:46,4,0,77,27,3,0,0,0,0,73,77,74,2,27,32,27,12,36,3,51,1
8,1,0,18:38,13,0,74,3,2,0,0,0,0,73,77,74,2,27,32,27,12,36,3,51,1
9,1,0,18:27,1,0,77,0,3,33,2,0,0,73,77,74,2,27,32,27,12,36,3,51,1
10,1,0,17:53,1,0,44,0,3,47,2,0,0,28,14,13,5,44,32,63,73,14,7,72,1
11,1,0,17:45,5,0,5,63,1,0,0,0,0,28,14,13,5,44,32,63,73,14,7,72,1
12,1,0,17:40,7,1,73,0,3,16,6,0,0,28,14,13,5,44,32,63,73,14,7,72,1
13,1,0,17:25,5,1,82,14,1,0,0,0,0,28,14,13,2,27,32,63,82,14,7,72,1
14,1, ,17:01,3,6,0,0,0,0,0,0,0,22,37,71,2,27,32,17,19,82,5,51,1
15,1,0,17:01,4,1,11,17,2,0,0,0,0,11,12,23,2,27,32,17,19,82,5,51,1
16,1,0,16:38,8,1,16,0,2,0,0,0,0,11,12,23,2,27,32,16,19,82,5,51,1
17,1,0,16:25,5,1,11,23,1,0,0,0,0,11,12,23,2,27,32,11,16,24,3,7,1
18,1,0,16:21,7,1,24,0,3,36,3,0,0,11,12,23,2,27,32,11,16,24,3,7,1
19,1,0,16:07,9,1,24,0,1,0,0,0,0,73,77,74,2,44,32,11,27,24,3,7,1
20,1,0,16:05,13,0,74,7,2,0,0,0,0,73,77,74,5,44,32,11,27,24,3,7,1
21,1, ,16:05,3,4,0,0,0,0,0,0,0,73,77,74,5,44,32,11,27,24,3,7,1
22,1,0,16:05,4,0,77,27,3,0,0,0,0,73,77,74,8,44,32,27,12,36,3,7,1
23,1,0,15:57,13,0,8,27,2,0,0,0,0,73,77,74,8,44,32,27,12,36,3,7,1
24,1,0,15:22,8,1,3,0,2,0,0,0,0,73,77,74,8,44,32,27,12,36,3,7,1
25,1,0,15:18,1,0,8,0,3,64,2,0,0,73,77,74,6,8,32,27,12,36,3,7,1
26,1, ,15:02,3,1,0,0,0,0,0,0,0,28,14,13,5,6,32,63,73,14,51,72,1
27,1,0,15:02,1,0,28,0,3,43,1,0,0,28,14,13,5,6,32,63,73,14,51,72,1
28,1,0,15:02,4,1,28,63,2,0,0,0,0,28,14,13,5,6,32,63,73,14,51,72,1
29,1,0,14:56,5,0,13,14,1,0,0,0,0,28,14,13,5,6,32,63,73,14,51,72,1
30,1,0,14:48,13,1,73,5,2,0,0,0,0,28,14,13,5,6,32,63,73,14,51,72,1
31,1, ,14:48,3,4,0,0,0,0,0,0,0,28,14,13,5,6,32,63,73,14,51,72,1
32,1,0,14:48,4,0,37,63,2,0,0,0,0,22,37,71,2,27,32,63,73,14,51,72,1
33,1,0,14:32,5,1,63,27,2,0,0,0,0,22,37,71,2,27,32,63,73,14,51,72,1
34,1,0,14:13,5,0,37,7,3,0,0,0,0,22,37,71,6,8,32,17,73,14,7,51,1
35,1,0,14:11,7,0,22,0,3,28,6,0,0,22,37,71,6,8,32,17,73,14,7,51,1
36,1,0,13:58,5,0,71,17,3,0,0,0,0,11,71,23,6,8,32,17,19,82,7,51,1
37,1,0,13:46,5,0,12,19,2,0,0,0,0,11,12,23,6,8,32,17,19,82,5,7,1
38,1, ,13:16,3,0,0,0,0,0,0,0,0,11,12,23,8,44,32,16,24,82,5,7,1
39,1,0,13:16,1,0,11,0,3,52,2,0,0,11,12,23,8,44,32,16,24,82,5,7,1
40,1,0,13:16,4,0,77,16,3,0,0,0,0,73,77,74,6,8,32,11,16,24,5,51,1
41,1,0,13:05,1,0,6,0,3,60,3,0,0,73,77,74,6,8,32,11,16,24,5,51,1
42,1,0,13:00,5,0,77,16,3,0,0,0,0,73,77,74,6,8,32,11,16,24,5,51,1
43,1, ,12:31,3,1,0,0,0,0,0,0,0,73,77,13,2,27,32,11,27,12,5,51,1
44,1,0,12:31,4,0,28,27,2,0,0,0,0,28,14,13,2,27,32,27,12,36,3,7,1
45,1,0,12:23,1,1,36,0,3,39,2,0,0,28,14,13,2,27,32,27,12,36,3,7,1
46,1,0,12:13,1,1,27,0,3,15,6,0,0,28,14,13,2,27,32,27,12,36,3,7,1
47,1, ,11:59,3,2,0,0,0,0,0,0,0,28,14,13,5,44,32,27,12,36,3,7,1
48,1,0,11:59,4,1,11,63,1,0,0,0,0,11,12,23,8,44,32,63,73,14,51,72,1
49,1,0,11:34,1,0,44,0,3,52,2,0,0,11,12,23,8,44,32,63,73,14,51,72,1
50,1,0,11:23,7,0,8,0,3,48,3,0,0,11,12,23,8,44,32,63,73,14,51,72,1
51,1,0,10:43,5,0,6,19,1,0,0,0,0,22,37,71,5,6,32,17,19,82,5,51,1
52,1, ,10:18,3,1,0,0,0,0,0,0,0,22,37,71,5,6,32,17,19,82,5,7,1
53,1,0,10:18,1,1,82,0,3,8,4,0,0,22,37,71,5,6,32,17,19,82,5,7,1
54,1,0,10:18,4,0,77,24,2,0,0,0,0,73,77,74,8,44,32,11,16,24,5,7,1
55,1,0,10:02,5,0,44,5,3,0,0,0,0,73,77,74,8,44,32,11,16,24,5,7,1
56,1, ,9:57,3,0,0,0,0,0,0,0,0,73,77,74,8,44,32,11,16,24,5,7,1
57,1,0,9:57,1,0,77,0,3,56,2,0,0,73,77,74,8,44,32,11,16,24,5,7,1
58,1,0,9:57,4,0,77,16,3,0,0,0,0,73,77,74,8,44,32,11,16,24,5,7,1
59,1,0,9:53,1,0,73,0,3,56,2,0,0,73,77,74,8,44,32,11,16,24,5,7,1
60,1, ,9:53,3,1,0,0,0,0,0,0,0,73,77,74,8,44,32,11,16,24,5,7,1
61,1,0,9:53,4,0,77,16,3,0,0,0,0,73,77,74,8,44,32,11,16,24,5,7,1
62,1,0,9:40,1,1,11,0,3,38,1,0,0,73,77,74,8,44,32,11,16,24,5,7,1
63,1, ,9:40,3,1,0,0,0,0,0,0,0,73,77,74,8,44,32,11,16,24,5,7,1
64,1,0,9:40,4,0,28,16,2,0,0,0,0,28,14,13,2,27,32,11,16,24,3,51,1
65,1,0,9:23,8,1,24,0,1,0,0,0,0,28,14,13,2,27,32,11,16,24,3,51,1
66,1,0,9:21,2,1,16,0,3,30,2,24,11,28,14,13,2,27,32,11,16,24,3,51,1
67,1,0,9:21,4,0,28,27,1,0,0,0,0,28,14,13,2,27,32,27,12,36,3,51,1
68,1,0,8:53,5,1,27,28,1,0,0,0,0,28,14,13,5,6,32,27,12,36,3,51,1
69,1,0,8:10,1,1,73,0,1,80,2,0,0,11,12,23,5,6,32,63,73,14,7,72,1
70,1,0,7:58,13,1,7,11,2,0,0,0,0,11,12,23,5,6,32,63,73,14,7,51,1
71,1,0,7:52,1,1,63,0,3,45,2,0,0,11,12,23,5,6,32,63,73,14,5,51,1
72,1,0,7:31,8,1,19,0,1,0,0,0,0,22,37,71,8,44,32,17,19,82,5,51,1
73,1,0,6:53,1,1,82,0,3,39,1,0,0,22,37,71,8,27,32,17,24,82,5,51,1
74,1,0,6:41,9,1,11,0,3,0,0,0,0,73,77,74,2,27,32,11,16,24,3,5,1
75,1,0,6:40,5,0,73,5,1,0,0,0,0,73,77,74,2,27,32,11,16,24,3,5,1
76,1,0,6:04,1,0,74,0,3,42,2,0,0,77,14,74,6,8,32,11,27,12,7,72,1
77,1, ,6:04,3,1,0,0,0,0,0,0,0,77,14,74,6,8,32,11,27,12,7,72,1
78,1,0,6:04,4,0,28,27,3,0,0,0,0,28,14,13,27,44,32,27,12,36,5,7,1
79,1,0,5:59,1,0,27,0,3,59,2,0,0,28,14,13,27,44,32,27,12,36,5,7,1
