# 2015/02/14 
# CAR , MIN 
# 3 , 6 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,12,19,4,27,31,9,29,11,6,46,40
2,1,0,20:00,4,0,11,9,1,0,0,0,0,11,12,19,4,27,31,9,29,11,6,46,40
3,1,0,19:46,1,0,11,0,3,32,1,0,0,11,12,19,4,27,31,9,29,11,6,46,40
4,1, ,19:09,3,3,0,0,0,0,0,0,0,16,49,53,6,26,31,64,14,26,20,25,40
5,1,0,19:09,4,1,49,64,1,0,0,0,0,16,49,53,6,26,31,64,14,26,20,25,40
6,1,0,18:45,2,1,26,0,3,12,1,64,14,16,49,53,6,26,31,64,14,26,20,25,40
7,1,0,18:45,4,1,20,3,1,0,0,0,0,14,20,28,47,65,31,3,10,22,6,46,40
8,1,0,17:56,9,0,28,0,3,0,0,0,0,15,18,28,6,26,31,3,10,22,20,25,40
9,1,0,17:41,7,0,26,0,3,55,2,0,0,15,18,39,6,26,31,9,29,11,20,25,40
10,1, ,17:03,3,2,0,0,0,0,0,0,0,11,12,19,4,27,31,21,19,56,6,46,40
11,1,0,17:03,4,0,11,56,1,0,0,0,0,11,12,19,4,27,31,21,19,56,6,46,40
12,1, ,16:37,3,2,0,0,0,0,0,0,0,11,12,19,28,4,27,21,19,56,6,46,40
13,1,0,16:37,6,1,6,11,2,0,0,0,0,11,12,19,28,4,27,21,19,56,6,46,40
14,1,-1,16:37,4,1,12,21,2,0,0,0,0,12,16,19,49,27,31,21,56,20,25,40,0
15,1,-1,16:29,13,0,12,56,2,0,0,0,0,12,16,19,49,27,31,21,56,20,25,40,0
16,1, ,16:28,3,3,0,0,0,0,0,0,0,12,16,19,49,27,31,21,56,20,25,40,0
17,1,-1,16:28,4,1,12,21,2,0,0,0,0,12,16,19,49,27,31,21,56,20,25,40,0
18,1,1,16:23,1,0,27,0,3,54,1,0,0,12,16,19,49,27,31,21,56,20,25,40,0
19,1,1,15:57,7,0,27,0,3,55,1,0,0,12,16,19,49,27,31,9,11,20,25,40,0
20,1,-1,15:43,13,0,16,20,2,0,0,0,0,12,16,19,49,27,31,9,11,20,25,40,0
