# 2015/02/14 
# EDM , OTT 
# 2 , 7 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,12,27,67,2,21,35,68,93,6,5,46,40
2,1,0,20:00,4,0,27,93,1,0,0,0,0,12,27,67,2,21,35,68,93,6,5,46,40
3,1,0,19:43,5,0,67,93,3,0,0,0,0,12,27,67,2,21,35,68,93,6,5,46,40
4,1,0,19:35,8,0,12,0,1,0,0,0,0,12,27,67,2,21,35,68,93,6,5,46,40
5,1, ,19:29,3,6,0,0,0,0,0,0,0,12,93,67,2,21,35,68,93,6,3,5,40
6,1,0,19:29,4,1,93,7,3,0,0,0,0,12,93,67,2,21,35,7,61,9,3,65,40
7,1,0,19:16,5,0,2,9,1,0,0,0,0,14,93,16,2,21,35,7,61,9,3,65,40
8,1,0,19:02,5,1,3,14,3,0,0,0,0,14,93,16,2,21,35,7,61,9,3,65,40
9,1,0,18:59,1,1,61,0,3,22,1,0,0,14,93,16,2,21,35,7,61,9,3,65,40
10,1,0,18:40,5,0,2,7,2,0,0,0,0,14,93,16,2,21,35,7,61,9,3,65,40
11,1,0,18:37,8,0,2,0,2,0,0,0,0,14,93,16,2,21,35,7,61,9,3,65,40
12,1,0,18:21,13,1,22,10,2,0,0,0,0,8,10,48,19,21,35,27,22,90,62,74,40
13,1,0,18:10,1,1,90,0,3,21,1,0,0,8,10,48,19,21,35,27,22,90,62,74,40
14,1,0,18:04,5,1,74,48,1,0,0,0,0,8,10,48,19,21,35,27,22,90,62,74,40
15,1, ,17:59,3,6,0,0,0,0,0,0,0,8,10,48,19,84,35,27,22,90,62,74,40
16,1,0,17:59,4,0,51,27,3,0,0,0,0,51,62,67,19,84,35,27,22,90,62,74,40
17,1,0,17:40,5,0,62,90,1,0,0,0,0,51,62,67,19,84,35,27,22,90,62,74,40
18,1,0,17:35,7,1,27,0,3,46,1,0,0,51,62,67,19,84,35,17,27,25,5,46,40
19,1,0,17:14,1,1,44,0,3,18,6,0,0,14,93,16,5,85,35,17,44,25,5,46,40
20,1,0,17:03,5,1,5,16,3,0,0,0,0,14,93,16,5,85,35,17,44,25,5,46,40
21,1,0,16:53,1,0,16,0,3,41,1,0,0,14,93,16,19,84,35,44,93,25,5,46,40
22,1,0,16:51,13,0,14,46,2,0,0,0,0,14,93,16,19,84,35,44,93,25,5,46,40
23,1,0,16:43,1,0,14,0,3,43,3,0,0,14,93,16,19,84,35,44,93,25,5,46,40
24,1,0,16:05,5,0,2,6,2,0,0,0,0,12,27,20,2,84,35,68,93,6,3,65,40
25,1,0,16:00,9,0,20,0,2,0,0,0,0,12,27,20,2,84,35,68,93,6,3,65,40
26,1,0,15:36,6,1,93,2,3,0,0,0,0,8,12,93,10,2,84,7,68,61,3,65,40
27,1,1,15:36,4,0,93,44,3,0,0,0,0,14,51,93,16,19,35,44,22,62,74,40,0
