# 2015/02/16 
# NYR , NYI 
# 6 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,16,36,61,5,27,33,12,27,91,3,37,41
2,1,0,20:00,4,1,16,91,1,0,0,0,0,16,36,61,5,27,33,12,27,91,3,37,41
3,1,0,19:50,9,0,33,0,2,0,0,0,0,16,36,61,5,27,33,12,27,91,3,37,41
4,1,0,19:49,2,1,91,0,3,27,3,0,0,16,36,61,5,27,33,12,27,91,3,37,41
5,1,0,19:49,4,1,21,53,1,0,0,0,0,20,21,26,8,18,33,53,13,17,2,55,41
6,1, ,19:41,3,6,0,0,0,0,0,0,0,20,21,26,8,18,33,53,13,17,2,55,41
7,1,0,19:41,4,1,21,51,3,0,0,0,0,20,21,26,8,18,33,18,51,84,2,55,41
8,1,0,19:01,8,1,84,0,3,0,0,0,0,10,13,62,8,18,33,18,29,84,11,14,41
9,1,0,18:56,7,1,29,0,3,14,1,0,0,10,13,62,8,18,33,18,29,84,11,14,41
10,1,0,18:55,9,0,10,0,2,0,0,0,0,10,13,62,8,18,33,18,29,84,11,14,41
11,1,0,18:46,1,1,84,0,3,29,1,0,0,10,13,62,8,18,33,18,29,84,11,14,41
12,1,0,18:39,1,1,11,0,3,56,2,0,0,10,13,62,8,18,33,18,29,84,11,14,41
13,1,0,18:34,13,1,14,8,2,0,0,0,0,10,13,62,8,18,33,18,29,84,11,14,41
14,1,0,18:11,5,1,11,16,2,0,0,0,0,16,36,61,22,44,33,29,15,86,11,14,41
15,1,0,18:01,5,1,86,22,2,0,0,0,0,16,36,61,22,44,33,29,15,86,11,14,41
16,1,0,17:55,1,0,61,0,3,41,1,0,0,16,36,61,22,44,33,29,15,86,11,14,41
17,1,0,17:50,1,0,61,0,3,11,1,0,0,16,36,61,22,44,33,29,15,86,11,14,41
18,1,0,17:45,1,0,61,0,3,8,1,0,0,16,36,61,22,44,33,29,15,86,11,14,41
19,1,0,17:36,7,0,16,0,3,10,3,0,0,16,36,61,22,44,33,29,15,86,11,14,41
20,1, ,17:36,3,1,0,0,0,0,0,0,0,16,36,61,22,44,33,29,15,86,11,14,41
21,1,0,17:36,4,1,28,53,2,0,0,0,0,28,12,15,5,27,33,53,13,17,3,37,41
22,1,0,17:17,9,1,3,0,2,0,0,0,0,28,12,15,5,27,33,53,13,17,3,37,41
23,1,0,17:09,5,0,28,13,3,0,0,0,0,28,12,15,5,27,33,53,13,17,3,37,41
24,1,0,17:02,1,0,5,0,3,25,1,0,0,28,12,15,5,27,33,53,13,17,3,37,41
25,1,0,17:00,1,0,15,0,3,9,1,0,0,28,12,15,5,27,33,53,13,17,3,37,41
26,1, ,17:00,3,1,0,0,0,0,0,0,0,28,12,15,5,27,33,53,13,17,3,37,41
27,1,0,17:00,4,1,21,91,2,0,0,0,0,20,21,26,8,18,33,12,27,91,2,55,41
28,1,0,16:41,5,1,27,8,2,0,0,0,0,20,21,26,8,18,33,12,27,91,2,55,41
29,1,0,16:36,13,1,91,26,2,0,0,0,0,20,21,26,8,18,33,12,27,91,2,55,41
30,1, ,16:36,3,4,0,0,0,0,0,0,0,20,21,26,8,18,33,12,27,91,2,55,41
31,1,0,16:36,4,0,10,91,2,0,0,0,0,10,13,62,5,27,33,12,27,91,2,55,41
32,1,0,16:21,5,0,10,91,2,0,0,0,0,10,13,62,5,27,33,12,27,91,2,55,41
33,1,0,16:17,8,0,10,0,2,0,0,0,0,10,13,62,5,27,33,12,27,91,2,55,41
34,1,0,16:14,1,1,12,0,3,15,3,0,0,10,13,62,5,27,33,12,27,91,2,55,41
35,1,0,16:11,13,1,91,27,2,0,0,0,0,10,13,62,5,27,33,12,27,91,2,55,41
36,1,0,16:10,1,1,91,0,3,6,1,0,0,10,13,62,5,27,33,12,27,91,2,55,41
37,1, ,16:10,3,1,0,0,0,0,0,0,0,16,36,61,22,44,33,18,51,84,3,37,41
38,1,0,16:10,4,0,36,51,2,0,0,0,0,16,36,61,18,22,33,18,51,84,3,37,41
