# 2015/02/17 
# DAL , STL 
# 4 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,90,14,72,3,33,32,74,42,20,25,27,1
2,1,0,20:00,4,1,90,42,1,0,0,0,0,90,14,72,3,33,32,74,42,20,25,27,1
3,1,0,18:56,5,0,20,4,3,0,0,0,0,16,20,21,2,6,32,17,26,91,4,19,1
4,1,0,18:22,5,1,21,24,3,0,0,0,0,25,11,38,6,24,32,12,21,23,5,28,1
5,1,0,18:16,5,1,28,11,2,0,0,0,0,25,11,38,4,24,32,12,21,23,5,28,1
6,1,0,18:02,1,1,27,0,3,45,1,0,0,10,22,27,4,24,32,9,57,75,25,27,1
7,1,0,17:49,7,0,27,0,3,14,5,0,0,10,22,27,4,24,32,9,57,75,25,27,1
8,1,0,17:43,13,0,24,27,2,0,0,0,0,10,22,27,4,24,32,9,57,75,25,27,1
9,1, ,17:25,3,8,0,0,0,0,0,0,0,90,14,72,3,33,32,9,57,75,25,27,1
10,1,0,17:25,4,0,90,20,3,0,0,0,0,90,14,72,3,33,32,74,42,20,4,19,1
11,1,0,17:20,1,0,14,0,3,51,1,0,0,90,14,72,3,33,32,74,42,20,4,19,1
12,1, ,17:19,3,1,0,0,0,0,0,0,0,90,14,72,3,33,32,74,42,20,4,19,1
13,1,0,17:19,4,0,90,20,3,0,0,0,0,90,14,72,3,33,32,74,42,20,4,19,1
14,1,0,17:13,2,0,14,0,3,55,2,3,90,90,14,72,3,33,32,74,42,20,4,19,1
15,1,0,17:13,4,1,20,26,1,0,0,0,0,16,20,21,2,6,32,17,26,91,4,19,1
16,1,0,16:28,5,0,11,28,3,0,0,0,0,25,11,38,4,24,32,12,21,23,5,28,1
17,1,0,16:01,13,0,38,5,2,0,0,0,0,25,11,38,4,24,32,12,21,23,5,28,1
18,1,0,15:54,5,0,25,28,3,0,0,0,0,25,27,38,4,24,32,12,21,23,5,28,1
19,1,0,15:39,13,0,2,27,2,0,0,0,0,10,25,27,2,6,32,21,57,23,25,27,1
20,1,0,15:30,9,1,27,0,2,0,0,0,0,10,22,27,2,6,32,21,57,23,25,27,1
21,1, ,15:19,3,6,0,0,0,0,0,0,0,10,22,27,2,6,32,57,74,20,25,27,1
22,1,0,15:19,4,0,10,42,2,0,0,0,0,10,22,27,2,6,32,74,42,20,4,19,1
23,1,0,14:54,7,1,20,0,3,72,2,0,0,90,14,72,3,33,32,74,42,20,4,19,1
24,1,0,14:47,8,1,74,0,3,0,0,0,0,90,14,72,3,33,32,74,42,20,25,27,1
25,1, ,14:02,3,5,0,0,0,0,0,0,0,16,20,21,2,6,32,17,26,91,25,27,1
26,1,0,14:02,4,0,20,26,1,0,0,0,0,16,20,21,2,6,32,17,26,91,5,28,1
27,1,0,13:14,5,1,23,4,3,0,0,0,0,25,11,38,4,24,32,12,21,23,4,19,1
28,1,0,12:56,1,0,4,0,1,79,1,0,0,25,11,38,4,24,32,12,21,23,4,19,1
29,1, ,12:45,3,0,0,0,0,0,0,0,0,25,11,38,4,24,32,12,23,75,4,19,1
30,1,0,12:45,4,1,10,57,1,0,0,0,0,10,22,27,4,24,32,9,57,75,5,28,1
31,1,0,12:31,1,1,75,0,3,69,2,0,0,10,22,27,4,24,32,9,57,75,5,28,1
32,1,0,12:12,5,1,75,24,3,0,0,0,0,10,22,27,4,24,32,9,57,75,5,28,1
33,1,0,12:03,5,1,5,22,1,0,0,0,0,10,22,27,3,33,32,9,57,75,5,28,1
34,1,0,11:42,2,0,14,0,3,13,1,90,72,90,14,72,3,33,32,74,42,20,25,27,1
35,1,0,11:42,4,1,20,26,1,0,0,0,0,16,20,21,2,6,32,17,26,91,4,19,1
36,1,0,11:31,9,0,20,0,2,0,0,0,0,16,20,21,2,6,32,17,26,91,4,19,1
37,1,0,11:30,9,1,17,0,3,0,0,0,0,16,20,21,2,6,32,17,26,91,4,19,1
38,1,0,11:23,1,0,16,0,3,9,6,0,0,16,20,21,2,6,32,17,26,91,4,19,1
39,1,0,11:22,2,0,20,0,3,9,1,16,2,16,20,21,2,6,32,17,26,91,4,19,1
40,1, ,11:22,3,0,0,0,0,0,0,0,0,25,11,38,3,33,32,9,57,75,5,28,34
41,1,0,11:22,4,1,38,57,1,0,0,0,0,25,11,38,3,33,32,9,57,75,5,28,34
42,1,0,10:59,5,0,33,9,2,0,0,0,0,25,11,38,3,33,32,9,57,75,5,28,34
43,1,0,10:48,13,1,75,11,2,0,0,0,0,25,11,38,3,33,32,9,57,75,5,28,34
44,1,0,10:43,5,1,57,3,3,0,0,0,0,25,11,38,3,33,32,9,57,75,5,28,34
45,1,0,10:26,7,1,42,0,3,46,4,0,0,16,11,38,3,33,32,74,42,20,4,19,34
46,1,0,10:23,5,1,74,11,3,0,0,0,0,16,11,38,3,33,32,74,42,20,4,19,34
47,1,0,10:20,13,1,19,16,2,0,0,0,0,16,11,38,3,33,32,74,42,20,4,19,34
48,1,0,10:14,13,1,19,16,2,0,0,0,0,16,11,38,3,33,32,74,42,20,4,19,34
49,1,0,10:02,5,1,42,33,3,0,0,0,0,16,11,38,3,33,32,17,74,42,4,19,34
50,1,0,9:48,1,0,27,0,3,48,4,0,0,10,16,27,2,6,32,17,26,91,25,27,34
51,1, ,9:47,3,0,0,0,0,0,0,0,0,10,16,27,2,6,32,17,26,91,25,27,34
52,1,0,9:47,4,1,14,26,2,0,0,0,0,90,14,72,2,6,32,17,26,91,19,27,34
53,1,0,9:40,7,0,72,0,3,53,2,0,0,90,14,72,2,6,32,17,26,91,19,27,34
54,1,0,9:37,7,0,2,0,3,63,2,0,0,90,14,72,2,6,32,17,26,91,19,27,34
55,1, ,9:36,3,8,0,0,0,0,0,0,0,90,14,72,2,6,32,17,26,91,19,27,34
56,1,0,9:36,4,1,90,26,2,0,0,0,0,90,14,72,2,6,32,17,26,91,19,27,34
57,1,0,9:08,1,0,90,0,3,13,1,0,0,90,14,72,6,24,32,17,26,91,19,27,34
58,1, ,9:07,3,1,0,0,0,0,0,0,0,90,14,72,6,24,32,17,26,91,19,27,34
59,1,0,9:07,4,1,20,21,2,0,0,0,0,16,20,21,4,24,32,12,21,23,4,25,34
60,1,0,8:46,8,1,4,0,3,0,0,0,0,16,20,21,4,24,32,12,21,23,4,25,34
61,1,0,8:21,7,0,24,0,3,57,2,0,0,20,25,11,24,33,32,74,23,42,4,25,34
62,1,0,8:00,5,0,25,42,3,0,0,0,0,25,11,38,3,33,32,74,42,20,5,28,34
63,1,0,7:54,1,1,74,0,3,41,1,0,0,25,11,38,3,33,32,74,42,20,5,28,34
64,1,0,7:46,8,1,57,0,3,0,0,0,0,11,38,72,3,33,32,57,74,20,5,28,34
65,1, ,7:42,3,6,0,0,0,0,0,0,0,11,38,72,3,33,32,57,74,20,5,28,34
66,1,0,7:42,4,1,38,57,3,0,0,0,0,11,38,72,3,33,32,9,57,75,19,27,34
67,1,0,7:32,8,1,9,0,1,0,0,0,0,10,27,72,2,6,32,9,57,75,19,27,34
68,1, ,7:04,3,2,0,0,0,0,0,0,0,10,27,72,2,6,32,17,26,91,25,27,34
69,1,0,7:04,4,0,14,26,1,0,0,0,0,90,14,72,2,6,32,17,26,91,19,27,34
70,1,0,6:52,13,0,90,27,2,0,0,0,0,90,14,72,2,6,32,17,26,91,19,27,34
71,1,0,6:24,7,1,26,0,3,25,0,0,0,16,20,21,3,33,32,17,26,91,19,25,34
72,1,0,6:18,1,0,16,0,3,41,2,0,0,16,20,21,3,33,32,17,26,91,19,25,34
73,1,0,5:43,5,1,42,38,1,0,0,0,0,25,11,38,4,24,32,74,42,20,4,25,34
74,1,0,5:38,5,0,11,4,3,0,0,0,0,25,11,38,4,24,32,74,42,20,4,25,34
75,1,0,5:34,7,0,4,0,3,61,2,0,0,25,11,38,4,24,32,74,42,20,4,25,34
76,1,0,5:25,1,1,74,0,3,40,1,0,0,10,25,11,4,24,32,74,23,42,5,28,34
77,1,0,5:18,1,1,23,0,3,5,4,0,0,10,25,11,4,24,32,74,23,42,5,28,34
78,1,0,4:49,8,1,12,0,3,0,0,0,0,10,22,27,2,6,32,12,21,23,5,28,34
79,1,0,3:42,5,1,75,21,3,0,0,0,0,16,20,21,24,33,32,9,26,75,5,28,34
80,1, ,3:04,3,0,0,0,0,0,0,0,0,25,11,38,2,4,32,74,42,20,4,25,34
81,1,0,3:02,6,0,38,0,1,0,0,0,0,25,11,38,2,6,32,74,42,20,4,25,34
82,1,1,3:02,4,1,20,26,3,0,0,0,0,16,20,6,33,32,0,26,74,42,20,27,34
83,1, ,2:52,3,3,0,0,0,0,0,0,0,16,20,6,33,32,0,26,74,42,20,27,34
84,1,1,2:52,4,1,20,26,3,0,0,0,0,16,20,6,33,32,0,26,74,42,20,27,34
85,1,1,2:34,1,1,27,0,3,55,2,0,0,16,20,6,33,32,0,26,74,42,20,27,34
86,1,1,2:08,1,1,20,0,3,60,2,0,0,14,21,4,24,32,0,12,17,91,20,27,34
87,1,-1,1:11,8,0,6,0,2,0,0,0,0,16,20,6,33,32,0,74,42,20,19,27,34
88,1,0,0:49,13,1,21,2,2,0,0,0,0,90,14,72,2,3,32,21,26,23,5,27,34
89,1, ,0:00,11,0,0,0,0,0,0,0,0,16,20,21,6,33,32,12,17,91,5,28,34
90,2, ,20:00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2,0,20:00,4,1,90,42,1,0,0,0,0,90,14,72,3,33,32,74,42,20,19,27,34
92,2, ,19:23,3,3,0,0,0,0,0,0,0,90,21,72,3,33,32,26,74,23,19,27,34
93,2,0,19:23,4,1,20,26,3,0,0,0,0,16,20,21,2,6,32,21,26,23,4,25,34
94,2,0,19:16,7,1,26,0,3,18,1,0,0,16,20,21,2,6,32,21,26,23,4,25,34
95,2,0,19:08,1,1,23,0,3,45,1,0,0,16,20,21,2,6,32,21,26,23,4,25,34
96,2,0,18:57,13,1,25,6,2,0,0,0,0,16,20,21,2,6,32,21,26,23,4,25,34
97,2,0,18:36,5,1,23,2,3,0,0,0,0,16,20,11,2,6,32,12,23,91,5,25,34
98,2,0,18:16,6,1,91,0,1,0,0,0,0,20,25,11,4,24,32,12,17,91,5,25,34
99,2,1,18:16,4,0,14,57,3,0,0,0,0,90,25,14,3,6,32,9,57,19,27,34,0
100,2,1,18:07,7,0,6,0,3,39,1,0,0,90,25,14,3,6,32,9,57,19,27,34,0
101,2,1,18:00,7,0,90,0,3,27,1,0,0,90,25,14,3,6,32,9,57,19,27,34,0
102,2,-1,17:19,1,1,5,0,2,169,2,0,0,20,11,72,3,33,32,26,74,4,5,34,0
103,2,-1,17:00,1,1,21,0,1,68,1,0,0,20,11,72,4,33,32,17,21,19,27,34,0
104,2,1,16:21,2,0,14,0,3,45,1,90,4,90,25,14,4,33,32,9,57,19,27,34,0
105,2,0,16:21,4,0,38,42,1,0,0,0,0,25,11,38,2,6,32,74,42,20,4,25,34
106,2,0,16:15,1,1,20,0,3,11,1,0,0,25,11,38,2,6,32,74,42,20,4,25,34
107,2, ,16:14,3,1,0,0,0,0,0,0,0,25,11,38,2,6,32,74,42,20,4,25,34
108,2,0,16:14,4,0,20,20,2,0,0,0,0,16,20,21,2,6,32,74,42,20,4,25,34
109,2,0,16:05,13,1,4,20,2,0,0,0,0,16,20,21,2,6,32,74,42,20,4,25,34
110,2,0,15:36,13,1,25,27,2,0,0,0,0,16,20,27,4,6,32,74,42,20,4,25,34
111,2,0,15:30,8,0,6,0,2,0,0,0,0,16,20,27,4,6,32,74,42,20,4,5,34
112,2,0,15:11,5,1,42,27,2,0,0,0,0,10,22,27,4,24,32,17,74,42,4,5,34
113,2,0,13:27,5,0,11,27,3,0,0,0,0,20,25,11,2,6,32,21,26,23,19,27,34
