# 2015/02/17 
# WSH , PIT 
# 3 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,43,8,44,74,70,71,72,17,7,58,29
2,1,0,20:00,4,1,19,71,1,0,0,0,0,19,43,8,44,74,70,71,72,17,7,58,29
3,1, ,19:43,3,0,0,0,0,0,0,0,0,19,43,8,44,74,70,71,72,17,7,58,29
4,1,0,19:43,4,0,19,71,2,0,0,0,0,19,43,8,2,27,70,71,72,17,7,58,29
5,1,0,19:29,5,0,2,72,2,0,0,0,0,19,43,8,2,27,70,71,72,17,7,58,29
6,1,0,19:17,13,0,8,7,2,0,0,0,0,19,43,8,2,27,70,71,72,17,7,58,29
7,1, ,19:16,3,4,0,0,0,0,0,0,0,19,43,8,2,27,70,71,72,17,7,58,29
8,1,0,19:16,4,0,16,16,3,0,0,0,0,16,21,42,44,74,70,13,16,19,4,47,29
9,1,0,19:14,7,0,21,0,3,30,1,0,0,16,21,42,44,74,70,13,16,19,4,47,29
10,1,0,18:54,5,0,44,19,1,0,0,0,0,92,20,90,44,52,70,13,16,19,4,47,29
11,1, ,18:21,3,6,0,0,0,0,0,0,0,16,21,42,38,52,70,87,14,39,7,58,29
12,1,0,18:21,4,0,16,87,2,0,0,0,0,16,21,42,38,52,70,87,14,39,41,51,29
13,1,0,17:41,5,1,87,44,3,0,0,0,0,46,83,42,44,74,70,87,14,39,47,51,29
14,1,0,17:36,1,1,47,0,3,51,2,0,0,46,83,42,44,74,70,87,14,39,47,51,29
15,1,0,17:15,1,1,4,0,3,31,3,0,0,46,83,42,44,74,70,87,27,39,4,47,29
16,1,0,16:57,5,1,40,44,3,0,0,0,0,46,83,43,44,52,70,40,23,27,4,47,29
