# 2015/02/20 
# TOR , CAR 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,26,43,18,44,46,34,11,12,19,6,26,30
2,1,0,20:00,4,1,43,11,1,0,0,0,0,26,43,18,44,46,34,11,12,19,6,26,30
3,1,0,19:53,5,0,46,12,1,0,0,0,0,26,43,18,44,46,34,11,12,19,6,26,30
4,1, ,19:52,3,6,0,0,0,0,0,0,0,26,43,18,44,46,34,11,12,19,6,26,30
5,1,0,19:52,4,1,11,11,2,0,0,0,0,11,47,71,44,46,34,11,12,19,6,26,30
6,1,0,19:35,1,0,47,0,3,23,3,0,0,11,47,71,44,46,34,11,12,19,6,26,30
7,1, ,19:34,3,1,0,0,0,0,0,0,0,11,47,71,44,46,34,20,53,28,65,73,30
8,1,0,19:34,4,0,11,20,3,0,0,0,0,11,47,71,44,46,34,20,53,28,65,73,30
9,1,0,19:28,7,0,11,0,3,32,1,0,0,11,47,71,44,46,34,20,53,28,65,73,30
10,1,0,19:19,1,0,44,0,1,78,3,0,0,11,47,71,44,46,34,20,53,28,65,73,30
11,1,0,18:55,9,0,55,0,2,0,0,0,0,42,47,81,46,55,34,20,53,28,65,73,30
12,1,0,18:52,13,0,21,27,2,0,0,0,0,42,81,21,51,55,34,20,53,28,4,27,30
13,1,0,18:50,7,0,51,0,3,55,2,0,0,42,81,21,51,55,34,20,53,28,4,27,30
14,1,0,18:38,7,0,81,0,3,19,1,0,0,42,81,21,51,55,34,20,53,28,4,27,30
15,1,0,18:25,8,1,27,0,2,0,0,0,0,42,81,21,51,55,34,20,53,28,4,27,30
16,1,0,18:16,5,1,16,51,3,0,0,0,0,24,67,20,51,55,34,14,16,49,6,26,30
17,1,0,18:07,13,0,67,14,2,0,0,0,0,24,67,20,51,55,34,14,16,49,6,26,30
18,1,0,18:04,5,0,24,26,3,0,0,0,0,24,67,20,8,12,34,14,16,49,6,26,30
19,1,0,17:34,13,0,24,26,2,0,0,0,0,24,67,20,8,12,34,14,16,49,6,26,30
20,1,0,16:57,5,0,44,24,2,0,0,0,0,26,43,18,44,46,34,15,18,24,65,73,30
21,1,0,16:39,5,1,24,18,1,0,0,0,0,26,43,18,44,46,34,15,18,24,65,73,30
22,1,0,16:23,9,1,65,0,2,0,0,0,0,26,43,18,44,46,34,15,18,24,65,73,30
23,1,0,16:22,1,0,26,0,3,10,5,0,0,26,43,18,46,55,34,15,18,24,65,73,30
24,1, ,16:21,3,1,0,0,0,0,0,0,0,11,47,71,51,55,34,11,12,19,6,26,30
25,1,0,16:21,4,1,11,11,2,0,0,0,0,11,47,71,51,55,34,11,12,19,6,26,30
26,1,0,16:06,5,0,11,26,3,0,0,0,0,11,47,71,51,55,34,11,12,19,6,26,30
27,1,0,15:47,13,1,26,71,2,0,0,0,0,11,47,71,51,55,34,11,12,19,6,26,30
28,1,0,15:46,7,1,11,0,3,22,3,0,0,11,47,71,51,55,34,11,12,19,6,26,30
29,1,0,15:29,5,0,46,12,2,0,0,0,0,42,47,81,44,46,34,12,20,28,6,26,30
30,1, ,15:22,3,10,0,0,0,0,0,0,0,42,81,21,44,46,34,20,53,28,4,27,30
31,1,0,15:22,4,1,42,20,1,0,0,0,0,42,81,21,44,46,34,20,53,28,4,27,30
32,1,0,15:02,1,0,42,0,3,22,3,0,0,42,81,21,44,46,34,20,53,28,4,27,30
33,1,0,14:58,8,1,20,0,2,0,0,0,0,42,81,21,44,46,34,20,53,28,4,27,30
34,1,0,14:22,1,1,14,0,3,27,3,0,0,24,81,20,8,46,34,14,16,49,65,73,30
35,1,0,14:02,5,0,8,14,1,0,0,0,0,24,67,20,8,12,34,14,15,18,4,27,30
36,1,0,13:44,1,1,4,0,3,62,1,0,0,24,67,20,8,12,34,15,18,24,4,27,30
37,1, ,13:43,3,0,0,0,0,0,0,0,0,24,67,20,8,12,34,15,18,24,4,27,30
38,1,0,13:43,4,1,43,11,3,0,0,0,0,26,43,18,44,46,34,11,12,19,4,27,30
39,1,0,13:39,1,1,27,0,3,55,3,0,0,26,43,18,44,46,34,11,12,19,4,27,30
40,1, ,13:38,3,1,0,0,0,0,0,0,0,26,43,18,44,46,34,11,12,19,4,27,30
41,1,0,13:38,4,1,11,11,3,0,0,0,0,11,47,71,44,46,34,11,12,19,4,27,30
42,1,0,13:24,8,0,11,0,2,0,0,0,0,11,47,71,44,46,34,11,12,19,4,27,30
43,1,0,13:10,1,1,19,0,3,9,1,0,0,11,47,71,44,46,34,11,12,19,4,26,30
44,1,0,12:58,9,1,4,0,3,0,0,0,0,11,47,71,44,46,34,11,12,19,4,26,30
45,1,0,12:25,5,1,28,51,3,0,0,0,0,42,81,21,51,55,34,20,53,28,6,26,30
46,1,0,12:23,1,1,20,0,3,18,1,0,0,42,81,21,51,55,34,20,53,28,6,26,30
47,1,0,12:18,1,1,26,0,3,55,3,0,0,42,81,21,51,55,34,20,53,28,6,26,30
48,1,0,12:14,7,1,53,0,3,19,1,0,0,42,81,21,51,55,34,20,53,28,6,26,30
49,1,0,12:10,13,1,20,55,2,0,0,0,0,42,81,21,51,55,34,20,53,28,6,26,30
50,1,0,12:08,13,1,20,51,2,0,0,0,0,42,81,21,51,55,34,20,53,28,6,26,30
51,1,0,12:06,1,1,20,0,3,9,1,0,0,42,81,21,51,55,34,20,53,28,6,26,30
52,1,0,11:23,5,1,49,12,3,0,0,0,0,26,43,18,8,12,34,14,16,49,65,73,30
53,1,0,11:03,5,0,43,73,3,0,0,0,0,26,43,18,8,12,34,14,16,49,65,73,30
54,1,0,11:00,13,0,12,65,2,0,0,0,0,26,43,18,8,12,34,14,16,49,65,73,30
55,1,0,10:48,8,0,18,0,1,0,0,0,0,26,43,18,8,12,34,14,16,49,27,65,30
56,1,0,10:45,5,1,65,18,1,0,0,0,0,26,43,18,8,12,34,14,16,49,27,65,30
57,1,0,10:43,1,0,43,0,3,12,1,0,0,26,43,18,44,46,34,14,16,49,27,65,30
58,1,0,10:35,5,0,18,65,3,0,0,0,0,26,43,18,44,46,34,14,16,49,27,65,30
59,1,0,10:12,5,1,27,20,2,0,0,0,0,24,67,20,44,46,34,15,18,24,4,27,30
60,1,0,9:54,9,0,24,0,1,0,0,0,0,24,67,20,44,46,34,15,18,24,4,26,30
61,1,0,9:19,13,1,12,47,2,0,0,0,0,11,47,18,51,55,34,11,12,19,6,26,30
62,1,0,9:14,5,0,47,11,2,0,0,0,0,11,47,18,51,55,34,11,12,19,4,6,30
63,1,0,9:03,5,0,55,12,2,0,0,0,0,11,47,18,51,55,34,11,12,19,4,6,30
64,1, ,8:41,3,6,0,0,0,0,0,0,0,42,18,21,8,12,34,12,19,20,4,6,30
65,1,0,8:41,4,0,42,20,3,0,0,0,0,42,81,21,8,12,34,12,19,20,4,6,30
66,1,0,8:35,1,0,12,0,3,59,3,0,0,42,81,21,8,12,34,12,19,20,4,6,30
