# 2015/02/26 
# VAN , BUF 
# 3 , 6 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,33,9,22,2,6,31,65,80,82,47,61,34
2,1,0,20:00,4,0,33,65,1,0,0,0,0,33,9,22,2,6,31,65,80,82,47,61,34
3,1,0,19:33,6,0,6,65,2,0,0,0,0,33,9,22,2,6,31,65,80,82,47,61,34
4,1,-1,19:33,4,0,27,26,2,0,0,0,0,27,36,5,18,31,0,65,12,26,41,47,34
5,1,1,18:37,1,1,47,0,3,42,1,0,0,13,20,2,18,31,0,65,12,26,41,47,34
6,1, ,18:36,3,1,0,0,0,0,0,0,0,13,20,2,18,31,0,19,80,82,3,55,34
7,1,-1,18:36,4,0,53,19,2,0,0,0,0,53,51,5,55,31,0,19,80,82,3,55,34
8,1,1,18:28,1,1,80,0,3,12,5,0,0,53,51,5,55,31,0,19,80,82,3,55,34
9,1,1,18:26,1,1,82,0,3,13,1,0,0,53,51,5,55,31,0,19,80,82,3,55,34
10,1, ,18:24,3,1,0,0,0,0,0,0,0,53,51,5,55,31,0,19,80,82,3,55,34
11,1,1,18:24,4,1,53,82,3,0,0,0,0,53,51,5,55,31,0,19,80,82,3,55,34
12,1, ,18:09,3,11,0,0,0,0,0,0,0,13,20,2,18,31,0,19,80,82,3,55,34
13,1,1,18:09,4,1,13,19,1,0,0,0,0,13,20,2,18,31,0,19,80,82,3,55,34
14,1,-1,17:41,13,1,3,18,2,0,0,0,0,13,20,2,18,31,0,19,80,82,3,55,34
15,1,0,16:09,5,1,6,27,1,0,0,0,0,13,27,17,2,6,31,17,12,26,6,55,34
16,1, ,15:54,3,10,0,0,0,0,0,0,0,13,27,51,2,6,31,17,12,26,6,55,34
17,1,0,15:54,4,1,7,65,1,0,0,0,0,7,51,20,5,55,31,65,80,82,3,41,34
18,1,0,15:45,5,1,65,7,3,0,0,0,0,7,51,20,5,55,31,65,80,82,3,41,34
19,1,0,15:23,9,1,3,0,2,0,0,0,0,7,51,20,18,44,31,65,80,82,3,41,34
