# 2015/03/11 
# NYR , WSH 
# 3 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,16,36,61,5,27,33,16,42,25,2,27,70
2,1,0,20:00,4,1,16,16,1,0,0,0,0,16,36,61,5,27,33,16,42,25,2,27,70
3,1,0,19:48,5,0,16,42,3,0,0,0,0,16,36,61,5,27,33,16,42,25,2,27,70
4,1,0,19:34,5,1,16,5,3,0,0,0,0,16,36,61,5,27,33,16,42,25,2,27,70
5,1,0,19:20,5,1,2,16,2,0,0,0,0,16,26,61,18,22,33,16,42,25,2,27,70
6,1, ,19:16,3,11,0,0,0,0,0,0,0,16,20,26,18,22,33,16,42,25,2,27,70
7,1,0,19:16,4,1,21,19,1,0,0,0,0,20,21,26,5,27,33,19,8,90,74,88,70
8,1,0,19:01,5,0,5,8,1,0,0,0,0,20,21,26,5,27,33,19,8,90,74,88,70
9,1,0,18:55,5,1,8,5,3,0,0,0,0,20,21,26,5,27,33,19,8,90,74,88,70
10,1, ,18:41,3,6,0,0,0,0,0,0,0,20,21,26,5,27,33,19,22,90,74,88,70
11,1,0,18:41,4,0,21,83,2,0,0,0,0,20,21,26,5,27,33,83,20,22,6,45,70
12,1, ,18:19,3,1,0,0,0,0,0,0,0,10,13,62,8,93,33,83,20,22,6,45,70
13,1,0,18:19,4,0,28,92,2,0,0,0,0,28,19,15,18,22,33,21,92,43,6,45,70
14,1,0,18:09,5,0,22,21,2,0,0,0,0,28,19,15,18,22,33,21,92,43,6,45,70
15,1,0,17:58,5,1,43,19,3,0,0,0,0,28,19,15,18,22,33,21,92,43,6,45,70
16,1,0,17:43,5,0,18,43,2,0,0,0,0,28,19,15,18,22,33,21,92,43,6,45,70
17,1,0,17:34,1,0,28,0,3,50,1,0,0,28,19,15,18,22,33,21,92,43,6,45,70
18,1,0,17:30,5,0,19,43,3,0,0,0,0,28,19,62,8,93,33,21,92,43,6,45,70
19,1, ,17:18,3,10,0,0,0,0,0,0,0,10,13,62,8,93,33,16,42,25,45,74,70
20,1,0,17:18,4,1,16,16,1,0,0,0,0,16,36,61,5,27,33,16,42,25,74,88,70
21,1,0,16:07,9,1,2,0,2,0,0,0,0,20,21,26,8,18,33,19,8,90,2,27,70
22,1,0,15:53,5,1,8,18,3,0,0,0,0,20,21,26,8,18,33,19,8,90,2,27,70
23,1,0,15:49,13,1,90,21,2,0,0,0,0,20,21,26,8,18,33,19,8,90,2,27,70
24,1,0,15:46,9,1,2,0,1,0,0,0,0,20,21,26,8,18,33,19,8,90,2,27,70
25,1, ,15:46,3,2,0,0,0,0,0,0,0,20,21,26,8,18,33,83,20,22,6,45,70
26,1,0,15:46,4,0,28,83,1,0,0,0,0,28,19,15,22,93,33,83,20,22,6,45,70
27,1,0,15:40,13,0,93,45,2,0,0,0,0,28,19,15,22,93,33,83,20,22,6,45,70
28,1,0,15:28,7,1,6,0,3,18,6,0,0,28,19,15,22,93,33,83,20,22,6,45,70
29,1,0,15:13,1,1,83,0,3,13,5,0,0,28,19,15,22,93,33,83,20,22,6,45,70
30,1, ,15:12,3,1,0,0,0,0,0,0,0,28,19,15,22,93,33,83,20,22,6,45,70
31,1,0,15:12,4,1,13,92,3,0,0,0,0,10,13,62,5,27,33,21,92,43,2,27,70
32,1,0,15:04,13,1,21,27,2,0,0,0,0,10,13,62,5,27,33,21,92,43,2,27,70
33,1,0,14:57,5,1,43,27,3,0,0,0,0,10,13,62,5,27,33,21,92,43,2,27,70
34,1,0,14:49,5,1,92,10,1,0,0,0,0,10,13,62,5,27,33,21,92,43,2,27,70
35,1,0,14:45,7,0,10,0,3,19,5,0,0,10,13,62,5,27,33,21,92,43,2,27,70
36,1,0,14:45,8,0,62,0,3,0,0,0,0,10,13,62,5,27,33,21,92,43,2,27,70
37,1,0,14:39,5,1,92,10,2,0,0,0,0,10,13,62,5,27,33,21,92,43,2,27,70
38,1,0,14:27,1,0,13,0,3,23,5,0,0,10,13,62,5,27,33,21,92,43,2,27,70
39,1,0,13:55,9,1,74,0,2,0,0,0,0,20,21,26,18,22,33,19,42,8,2,74,70
40,1,0,13:41,1,0,20,0,3,47,1,0,0,20,21,26,18,22,33,19,8,90,74,88,70
41,1, ,13:41,3,0,0,0,0,0,0,0,0,20,21,26,18,22,33,19,8,90,74,88,70
42,1,0,13:41,4,1,16,16,2,0,0,0,0,16,36,61,8,93,33,16,42,25,2,27,70
43,1,0,12:57,1,0,16,0,3,46,1,0,0,16,36,61,18,22,33,16,42,25,2,27,70
44,1,0,12:47,1,1,2,0,3,51,6,0,0,10,16,62,18,22,33,21,92,43,2,27,70
45,1, ,12:46,3,1,0,0,0,0,0,0,0,10,16,62,18,22,33,21,92,43,2,27,70
46,1,0,12:46,4,1,28,83,3,0,0,0,0,28,19,15,5,27,33,83,20,22,6,45,70
47,1,0,12:40,13,1,20,27,2,0,0,0,0,28,19,15,5,27,33,83,20,22,6,45,70
48,1,0,12:34,5,0,27,20,2,0,0,0,0,28,19,15,5,27,33,83,20,22,6,45,70
49,1, ,12:29,3,6,0,0,0,0,0,0,0,28,19,15,5,27,33,83,20,22,6,45,70
50,1,0,12:29,4,1,28,92,3,0,0,0,0,28,19,15,5,27,33,21,92,43,6,45,70
51,1,0,12:13,5,0,15,92,1,0,0,0,0,28,19,15,18,22,33,21,92,43,6,45,70
52,1,0,12:05,5,1,21,22,3,0,0,0,0,28,19,62,18,22,33,21,92,43,6,45,70
53,1,0,12:00,5,1,43,19,1,0,0,0,0,28,19,62,18,22,33,21,92,43,6,45,70
54,1,0,11:45,13,0,62,74,2,0,0,0,0,10,13,62,18,22,33,19,43,8,74,88,70
55,1,0,11:43,13,0,22,74,2,0,0,0,0,10,13,62,18,22,33,19,43,8,74,88,70
56,1,0,11:41,7,0,13,0,3,32,1,0,0,10,13,62,18,22,33,19,43,8,74,88,70
57,1,0,11:40,2,0,62,0,3,9,1,13,22,10,13,62,18,22,33,19,43,8,74,88,70
58,1,0,11:40,4,0,21,19,1,0,0,0,0,20,21,26,5,27,33,19,43,8,74,88,70
59,1,0,11:29,5,1,8,20,2,0,0,0,0,20,21,26,5,27,33,19,43,8,74,88,70
60,1, ,11:22,3,2,0,0,0,0,0,0,0,20,21,26,5,27,33,19,43,8,74,88,70
61,1,0,11:22,4,0,13,19,1,0,0,0,0,10,13,62,5,27,33,19,8,90,6,45,70
62,1, ,11:03,3,1,0,0,0,0,0,0,0,10,13,62,5,27,33,19,8,90,6,45,70
63,1,0,11:03,4,0,16,16,3,0,0,0,0,16,36,61,8,93,33,16,42,25,2,27,70
64,1,0,10:08,5,0,36,16,2,0,0,0,0,16,36,61,18,22,33,16,42,22,74,88,70
65,1,0,10:08,7,1,74,0,3,57,1,0,0,16,36,61,18,22,33,16,42,22,74,88,70
66,1,0,10:00,1,1,42,0,3,15,5,0,0,16,36,61,18,22,33,16,42,22,74,88,70
67,1,0,10:00,6,0,22,42,0,0,0,0,0,16,36,61,18,22,33,16,42,22,74,88,70
68,1,1,10:00,4,1,28,20,3,0,0,0,0,28,62,5,27,33,0,19,20,8,90,74,70
69,1,1,9:57,1,1,74,0,3,55,2,0,0,28,62,5,27,33,0,19,20,8,90,74,70
70,1, ,9:57,3,1,0,0,0,0,0,0,0,28,62,5,27,33,0,19,20,8,90,74,70
71,1,-1,9:57,4,0,28,20,2,0,0,0,0,28,62,5,27,33,0,19,20,8,90,74,70
72,1,1,9:34,7,1,90,0,3,14,6,0,0,28,62,5,27,33,0,19,20,8,90,74,70
73,1,1,9:26,7,1,74,0,3,61,2,0,0,28,62,5,27,33,0,19,20,8,90,74,70
74,1, ,9:26,3,1,0,0,0,0,0,0,0,28,62,5,27,33,0,19,20,8,90,74,70
75,1,-1,9:26,4,0,21,19,2,0,0,0,0,21,61,8,18,33,0,19,20,8,90,74,70
76,1,-1,9:01,1,0,21,0,3,37,1,0,0,21,61,8,18,33,0,19,20,8,90,74,70
77,1,-1,8:51,13,1,8,18,2,0,0,0,0,21,15,8,18,33,0,92,20,8,90,74,70
78,1,-1,8:42,1,0,15,0,3,44,2,0,0,21,15,5,27,33,0,92,20,8,90,74,70
79,1,1,8:39,9,1,92,0,2,0,0,0,0,19,15,5,27,33,0,92,42,8,22,2,70
80,1,-1,8:35,1,0,5,0,3,59,2,0,0,19,15,5,27,33,0,92,42,8,22,2,70
81,1,-1,8:26,5,0,27,22,2,0,0,0,0,19,15,5,27,33,0,92,42,8,22,2,70
82,1,1,8:17,2,1,8,0,3,54,2,92,42,19,15,5,27,33,0,92,42,8,22,2,70
83,1,0,8:17,4,1,16,16,1,0,0,0,0,16,36,61,22,93,33,16,43,25,2,27,70
84,1,0,8:05,1,0,36,0,3,54,5,0,0,16,36,61,22,93,33,16,43,25,2,27,70
85,1,0,8:01,7,0,61,0,3,25,1,0,0,16,36,61,22,93,33,16,43,25,2,27,70
86,1,0,7:58,5,1,43,93,2,0,0,0,0,16,36,61,22,93,33,16,43,25,2,27,70
87,1,0,7:36,1,1,2,0,3,53,1,0,0,20,21,26,8,18,33,16,43,22,2,74,70
88,1,0,7:35,5,1,2,18,3,0,0,0,0,20,21,26,8,18,33,16,43,22,2,74,70
89,1,0,7:15,5,1,20,18,3,0,0,0,0,20,21,26,8,18,33,83,20,22,74,88,70
90,1,0,7:06,5,1,74,20,3,0,0,0,0,20,21,26,8,18,33,83,20,22,74,88,70
91,1,0,6:53,1,0,20,0,3,44,3,0,0,20,21,26,22,93,33,83,20,22,74,88,70
92,1, ,6:52,3,0,0,0,0,0,0,0,0,20,21,26,22,93,33,83,20,22,74,88,70
93,1,0,6:52,4,0,10,83,3,0,0,0,0,10,13,62,22,93,33,83,20,22,74,88,70
94,1,0,6:39,5,1,88,62,2,0,0,0,0,10,13,62,22,93,33,83,20,22,74,88,70
95,1,0,6:30,8,1,20,0,3,0,0,0,0,10,13,62,22,93,33,83,20,22,74,88,70
96,1,0,6:25,13,1,20,93,2,0,0,0,0,10,13,62,22,93,33,83,20,22,74,88,70
97,1,0,6:14,6,1,20,93,2,0,0,0,0,10,13,62,22,93,33,83,20,22,74,88,70
98,1,1,6:14,4,0,21,25,3,0,0,0,0,20,21,26,27,93,33,42,25,2,27,70,0
99,1,-1,6:06,13,0,26,27,2,0,0,0,0,20,21,26,27,93,33,42,25,2,27,70,0
100,1,-1,5:13,13,0,22,74,2,0,0,0,0,16,36,61,22,93,33,16,83,6,74,70,0
101,1, ,4:22,3,0,0,0,0,0,0,0,0,20,21,26,5,27,33,83,25,6,74,70,0
