# 2015/03/14 
# MTL , NYI 
# 3 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,14,27,15,76,79,31,12,27,91,14,55,30
2,1,0,20:00,4,1,14,91,1,0,0,0,0,14,27,15,76,79,31,12,27,91,14,55,30
3,1,0,19:52,5,0,27,55,1,0,0,0,0,14,27,15,76,79,31,12,27,91,14,55,30
4,1,0,19:32,1,0,14,0,3,12,1,0,0,14,27,15,76,79,31,12,27,91,14,55,30
5,1,0,18:57,5,1,21,77,3,0,0,0,0,81,22,25,26,77,31,51,21,40,3,44,30
6,1,0,18:30,5,0,22,40,2,0,0,0,0,81,22,25,26,77,31,51,21,40,3,44,30
7,1,0,18:30,6,0,22,51,2,0,0,0,0,81,22,25,26,77,31,51,21,40,3,44,30
8,1,-1,18:30,4,0,17,91,2,0,0,0,0,17,8,76,79,31,0,27,51,91,21,55,30
9,1, ,18:24,3,10,0,0,0,0,0,0,0,17,8,76,79,31,0,27,51,91,21,55,30
10,1,-1,18:24,4,0,17,91,1,0,0,0,0,17,8,76,79,31,0,27,51,91,21,55,30
11,1,1,18:05,9,1,91,0,3,0,0,0,0,17,8,76,79,31,0,27,51,91,21,55,30
12,1,-1,18:01,9,0,17,0,1,0,0,0,0,17,8,76,79,31,0,27,51,91,21,55,30
13,1,-1,17:47,8,0,67,0,2,0,0,0,0,14,67,76,79,31,0,27,51,91,21,55,30
14,1,-1,17:17,8,0,26,0,2,0,0,0,0,81,25,26,77,31,0,12,29,86,3,46,30
15,1, ,17:06,3,3,0,0,0,0,0,0,0,81,25,26,77,31,0,12,29,86,3,46,30
16,1,1,17:06,4,1,17,91,1,0,0,0,0,17,8,26,77,31,0,27,51,91,21,55,30
17,1, ,16:50,3,4,0,0,0,0,0,0,0,14,8,26,77,31,0,27,51,91,21,55,30
18,1,-1,16:50,4,0,14,91,1,0,0,0,0,14,8,76,79,31,0,27,91,21,3,55,30
19,1,1,16:38,9,1,30,0,2,0,0,0,0,14,8,76,79,31,0,27,91,21,3,55,30
20,1,1,16:30,8,1,55,0,2,0,0,0,0,14,22,8,76,79,31,27,91,21,3,55,30
21,1,0,16:25,13,1,91,79,2,0,0,0,0,14,22,8,76,79,31,27,91,21,3,55,30
22,1,0,16:18,1,1,21,0,3,30,1,0,0,14,22,8,76,79,31,27,91,21,3,55,30
23,1, ,16:04,3,10,0,0,0,0,0,0,0,51,11,67,28,64,31,53,15,17,3,44,30
24,1,0,16:04,4,0,51,53,1,0,0,0,0,51,11,67,28,64,31,53,15,17,3,44,30
25,1,0,15:52,1,0,67,0,3,24,1,0,0,51,11,67,28,64,31,53,15,17,3,44,30
26,1,0,15:26,9,0,64,0,2,0,0,0,0,51,11,67,28,64,31,26,29,17,3,44,30
27,1,0,15:21,1,1,29,0,3,17,1,0,0,51,11,67,28,64,31,26,29,17,3,44,30
28,1, ,15:21,3,1,0,0,0,0,0,0,0,51,11,67,28,64,31,26,29,17,3,44,30
29,1,0,15:21,4,0,81,29,2,0,0,0,0,81,21,25,26,77,31,26,29,86,37,46,30
30,1,0,15:03,8,1,26,0,1,0,0,0,0,81,21,25,26,77,31,26,29,86,37,46,30
31,1,0,14:51,5,1,37,21,3,0,0,0,0,81,21,25,26,77,31,26,29,86,37,46,30
32,1,0,14:39,5,0,21,26,3,0,0,0,0,81,21,25,26,77,31,26,29,86,37,46,30
33,1,0,14:36,1,1,29,0,3,26,1,0,0,81,21,25,26,77,31,12,29,86,14,37,30
34,1,0,14:30,5,0,26,29,2,0,0,0,0,81,21,25,26,77,31,12,29,86,14,37,30
35,1,0,14:26,13,1,29,77,2,0,0,0,0,81,21,25,26,77,31,12,29,86,14,55,30
36,1,0,14:02,1,0,27,0,3,34,1,0,0,14,27,15,76,79,31,12,27,91,14,55,30
37,1, ,14:02,3,1,0,0,0,0,0,0,0,14,27,15,76,79,31,12,27,91,14,55,30
38,1,0,14:02,4,0,14,51,3,0,0,0,0,14,27,15,76,79,31,51,21,40,3,44,30
39,1,0,13:39,6,1,3,27,2,0,0,0,0,14,27,15,67,76,79,51,21,40,3,44,30
40,1, ,13:39,3,9,0,0,0,0,0,0,0,14,27,15,67,76,79,51,21,40,44,30,0
41,1,1,13:39,4,0,51,53,3,0,0,0,0,51,11,67,76,79,31,53,15,14,55,30,0
42,1,-1,13:23,8,1,53,0,2,0,0,0,0,51,11,67,76,79,31,53,15,14,55,30,0
43,1,1,13:20,13,1,15,79,2,0,0,0,0,51,11,67,76,79,31,53,15,14,55,30,0
44,1, ,13:20,3,4,0,0,0,0,0,0,0,51,11,67,76,79,31,53,15,14,55,30,0
45,1,-1,13:20,4,1,51,51,3,0,0,0,0,51,11,67,76,79,31,51,86,14,55,30,0
46,1,-1,12:54,7,1,51,0,3,38,1,0,0,51,11,67,76,79,31,51,86,14,55,30,0
47,1,-1,12:04,9,1,55,0,2,0,0,0,0,14,27,15,26,77,31,15,40,37,55,30,0
48,1,0,11:29,9,1,14,0,2,0,0,0,0,14,27,15,26,77,31,51,86,3,14,44,30
49,1,0,11:06,5,1,46,22,1,0,0,0,0,81,22,25,76,79,31,26,27,29,44,46,30
50,1,0,10:56,5,1,44,25,2,0,0,0,0,81,22,25,76,79,31,26,27,29,44,46,30
51,1,0,10:35,6,0,22,27,3,0,0,0,0,81,22,25,76,79,31,26,27,29,44,46,30
52,1,1,10:35,4,1,14,91,3,0,0,0,0,14,8,76,79,31,0,27,51,91,21,55,30
53,1,-1,10:28,13,1,55,8,2,0,0,0,0,14,8,76,79,31,0,27,51,91,21,55,30
54,1,-1,9:49,8,0,26,0,2,0,0,0,0,81,67,26,77,31,0,27,51,91,21,55,30
55,1,1,9:47,1,1,27,0,3,24,2,0,0,81,67,26,77,31,0,27,51,91,21,55,30
56,1,1,9:42,1,1,27,0,3,9,1,0,0,81,67,26,77,31,0,27,51,91,21,55,30
57,1,1,9:42,1,1,91,0,3,13,1,0,0,81,67,26,77,31,0,27,51,91,21,55,30
