# 2015/03/14 
# NSH , L.A 
# 2 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,28,41,57,3,44,35,11,22,12,8,44,32
2,1,0,20:00,4,0,28,11,1,0,0,0,0,28,41,57,3,44,35,11,22,12,8,44,32
3,1,0,19:53,9,0,3,0,2,0,0,0,0,28,41,57,3,44,35,11,22,12,8,44,32
4,1,0,19:49,5,0,28,22,2,0,0,0,0,28,41,57,3,44,35,11,22,12,8,44,32
5,1,0,19:29,9,1,12,0,2,0,0,0,0,28,41,57,6,59,35,11,22,12,8,44,32
6,1,0,19:21,5,1,22,59,2,0,0,0,0,28,41,57,6,59,35,11,22,12,8,44,32
7,1,0,18:41,5,1,74,9,3,0,0,0,0,12,15,9,4,6,35,73,77,74,2,6,32
8,1,0,18:17,7,0,10,0,3,15,5,0,0,10,33,63,4,14,35,77,14,13,2,6,32
9,1, ,18:10,3,3,0,0,0,0,0,0,0,10,33,63,4,14,35,77,14,13,2,6,32
10,1,0,18:10,4,1,63,15,1,0,0,0,0,10,33,63,3,44,35,15,71,23,8,44,32
11,1,0,17:53,13,1,23,10,2,0,0,0,0,10,33,63,3,44,35,15,71,23,8,44,32
12,1,0,17:25,7,0,25,0,3,9,5,0,0,7,19,25,4,14,35,15,71,23,8,44,32
13,1,0,17:16,1,0,19,0,3,9,1,0,0,7,19,25,4,14,35,15,71,23,8,44,32
14,1,0,17:00,5,0,14,23,3,0,0,0,0,7,19,25,4,14,35,15,71,23,8,44,32
15,1,0,16:27,5,1,22,59,3,0,0,0,0,28,41,57,6,59,35,11,22,12,3,7,32
16,1,0,16:18,1,0,59,0,3,41,1,0,0,28,41,57,6,59,35,11,22,12,3,7,32
17,1, ,16:17,3,8,0,0,0,0,0,0,0,28,41,57,6,59,35,11,22,12,3,7,32
18,1,0,16:17,4,1,12,77,2,0,0,0,0,12,15,9,6,59,35,73,77,74,2,6,32
19,1,0,16:06,5,1,73,59,3,0,0,0,0,12,15,9,6,59,35,73,77,74,2,6,32
20,1,0,15:56,1,1,73,0,3,54,2,0,0,12,15,9,6,59,35,73,77,74,2,6,32
21,1,0,15:32,5,0,12,74,2,0,0,0,0,12,15,9,6,59,35,73,77,74,2,6,32
22,1,0,15:25,13,1,2,59,2,0,0,0,0,12,15,9,6,59,35,73,77,74,2,6,32
23,1,0,15:21,5,0,59,74,2,0,0,0,0,12,15,9,6,59,35,73,77,74,2,6,32
24,1,0,14:45,9,1,3,0,2,0,0,0,0,10,33,63,3,44,35,37,14,13,3,7,32
25,1,0,14:31,1,1,14,0,3,16,6,0,0,10,33,63,3,44,35,37,14,13,3,8,32
26,1,0,14:14,8,0,44,0,2,0,0,0,0,10,33,63,3,44,35,37,14,13,8,44,32
27,1,0,13:42,1,1,44,0,3,43,1,0,0,7,19,25,4,14,35,11,22,12,8,44,32
28,1,0,13:25,5,1,6,25,2,0,0,0,0,7,19,25,4,14,35,11,22,12,6,8,32
29,1,0,13:11,6,0,14,11,2,0,0,0,0,28,25,57,4,14,35,11,22,23,2,6,32
30,1, ,13:11,3,9,0,0,0,0,0,0,0,28,25,57,4,35,0,11,22,23,2,6,32
31,1,-1,13:11,4,0,28,77,2,0,0,0,0,28,57,6,59,35,0,11,77,12,7,8,32
32,1,1,12:47,9,1,12,0,3,0,0,0,0,28,57,6,59,35,0,11,77,12,7,8,32
33,1,-1,12:29,13,1,77,4,2,0,0,0,0,12,19,3,4,35,0,11,77,12,7,8,32
34,1,-1,12:23,13,1,7,19,2,0,0,0,0,12,19,3,4,35,0,11,77,12,7,8,32
35,1,-1,12:17,13,1,7,4,2,0,0,0,0,12,19,3,4,35,0,11,77,12,7,8,32
36,1,1,12:16,2,1,77,0,3,12,1,7,8,12,19,3,4,35,0,11,77,12,7,8,32
37,1,0,12:16,4,1,63,37,1,0,0,0,0,10,33,63,6,59,35,37,14,13,2,6,32
38,1,0,11:56,5,1,2,33,1,0,0,0,0,10,33,63,6,59,35,37,14,13,2,6,32
39,1,0,11:41,13,0,59,2,2,0,0,0,0,10,33,63,44,59,35,37,14,13,2,6,32
40,1,0,10:55,1,1,15,0,3,43,3,0,0,7,19,25,3,44,35,15,71,23,8,44,32
41,1,0,10:49,1,1,8,0,3,63,2,0,0,7,19,25,3,44,35,15,71,23,8,44,32
