# 2015/03/14 
# WPG , T.B 
# 2 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,67,16,17,8,39,31,9,90,86,5,6,88
2,1,0,20:00,4,1,17,9,1,0,0,0,0,67,16,17,8,39,31,9,90,86,5,6,88
3,1,0,19:11,5,0,12,6,3,0,0,0,0,55,12,67,4,5,31,9,90,86,5,6,88
4,1,0,19:04,5,0,26,90,1,0,0,0,0,55,12,26,4,5,31,9,90,86,5,6,88
5,1, ,18:55,3,2,0,0,0,0,0,0,0,55,12,26,4,5,31,11,51,27,62,77,88
6,1,0,18:55,4,1,55,51,1,0,0,0,0,55,12,26,4,5,31,11,51,27,62,77,88
7,1,0,18:32,5,0,26,77,3,0,0,0,0,55,12,26,4,5,31,11,51,27,62,77,88
8,1,0,18:31,1,0,4,0,3,62,1,0,0,55,12,26,4,5,31,11,51,27,62,77,88
9,1, ,18:30,3,1,0,0,0,0,0,0,0,55,12,26,4,5,31,11,51,27,62,77,88
10,1,0,18:30,4,0,17,91,3,0,0,0,0,67,16,17,8,39,31,17,91,24,5,25,88
11,1,0,18:13,1,0,16,0,3,30,1,0,0,67,16,17,8,39,31,17,91,24,5,25,88
12,1, ,18:12,3,1,0,0,0,0,0,0,0,67,16,17,8,39,31,17,91,24,5,25,88
13,1,0,18:12,4,0,17,91,3,0,0,0,0,67,16,17,8,39,31,17,91,24,5,25,88
14,1,0,18:06,13,0,16,5,2,0,0,0,0,67,16,17,8,39,31,17,91,24,5,25,88
15,1,0,17:57,8,0,17,0,1,0,0,0,0,67,16,17,8,39,31,17,91,24,5,25,88
16,1,0,17:55,1,1,24,0,3,44,1,0,0,67,16,17,8,39,31,17,91,24,5,25,88
17,1,0,17:51,13,0,17,5,2,0,0,0,0,67,16,17,8,39,31,17,91,24,5,25,88
