# 2015/03/22 
# VAN , ARZ 
# 3 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,33,14,22,8,23,35,8,24,19,23,26,41
2,1,0,20:00,4,ARI,33,24,1,0,0,0,0,33,14,22,8,23,35,8,24,19,23,26,41
3,1, ,19:51,3,6,0,0,0,0,0,0,0,33,14,22,8,23,35,8,24,19,23,26,41
4,1,0,19:51,4,0,33,24,3,0,0,0,0,33,14,22,8,23,35,8,24,19,23,26,41
5,1,0,19:43,1,0,23,0,3,46,1,0,0,33,14,22,8,23,35,8,24,19,23,26,41
6,1,0,19:39,1,0,33,0,2,26,1,0,0,33,14,22,8,23,35,8,24,19,23,26,41
7,1,0,19:33,7,0,8,0,3,54,2,0,0,33,14,22,8,23,35,8,24,19,23,26,41
8,1,0,19:21,5,ARI,19,8,2,0,0,0,0,13,17,22,8,23,35,19,22,28,17,34,41
9,1,0,19:01,7,ARI,28,0,3,21,1,0,0,13,17,20,2,6,35,18,22,28,17,34,41
10,1, ,18:53,3,3,0,0,0,0,0,0,0,13,17,20,2,6,35,18,22,28,17,34,41
11,1,0,18:53,4,0,13,22,1,0,0,0,0,13,17,20,2,6,35,18,22,28,17,34,41
12,1,0,18:24,13,0,17,28,2,0,0,0,0,13,17,20,2,6,35,18,22,28,17,34,41
13,1,0,18:05,5,0,6,34,3,0,0,0,0,13,27,51,2,6,35,18,22,28,17,34,41
14,1,0,17:33,1,0,27,0,3,10,5,0,0,27,7,51,3,5,35,9,10,36,33,45,41
15,1, ,17:32,3,1,0,0,0,0,0,0,0,27,7,51,3,5,35,9,10,36,33,45,41
16,1,0,17:32,4,0,53,14,3,0,0,0,0,21,53,36,3,5,35,14,44,20,17,34,41
17,1,0,17:13,13,ARI,44,5,2,0,0,0,0,21,53,36,3,5,35,14,44,20,17,34,41
18,1,0,17:07,9,0,3,0,2,0,0,0,0,21,53,36,3,5,35,14,44,20,17,34,41
19,1, ,16:59,3,1,0,0,0,0,0,0,0,21,53,36,8,23,35,14,44,20,17,34,41
20,1,0,16:59,4,0,33,24,3,0,0,0,0,33,14,22,8,23,35,8,24,19,23,26,41
21,1,0,16:47,5,ARI,19,8,3,0,0,0,0,33,14,22,8,23,35,8,24,19,23,26,41
22,1,0,16:39,5,ARI,8,23,1,0,0,0,0,33,14,22,8,23,35,8,24,19,23,26,41
23,1, ,16:17,3,5,0,0,0,0,0,0,0,13,17,20,2,6,35,18,22,28,17,34,41
24,1,0,16:17,4,ARI,13,36,3,0,0,0,0,13,17,20,2,6,35,9,10,36,17,34,41
25,1,0,16:11,1,ARI,10,0,3,24,1,0,0,13,17,20,2,6,35,9,10,36,17,34,41
26,1,0,16:09,13,ARI,9,13,2,0,0,0,0,13,17,20,2,6,35,9,10,36,17,34,41
27,1,0,15:50,7,ARI,36,0,3,21,6,0,0,13,17,20,2,6,35,9,10,36,17,34,41
28,1,0,15:48,5,0,6,36,2,0,0,0,0,13,17,20,2,6,35,9,10,36,17,34,41
29,1,0,15:27,1,0,3,0,3,61,2,0,0,27,7,51,3,5,35,14,44,20,33,45,41
30,1,0,15:23,1,0,51,0,3,9,5,0,0,27,7,51,3,5,35,14,44,20,33,45,41
31,1,0,15:15,13,ARI,44,27,2,0,0,0,0,27,7,51,3,5,35,14,44,20,33,45,41
32,1, ,15:14,3,4,0,0,0,0,0,0,0,27,7,51,3,5,35,14,44,20,33,45,41
33,1,0,15:14,4,0,53,22,2,0,0,0,0,21,53,36,3,5,35,18,22,28,33,45,41
34,1,0,14:54,5,ARI,45,21,3,0,0,0,0,21,53,36,3,5,35,18,22,28,33,45,41
35,1,0,14:42,5,ARI,22,3,3,0,0,0,0,21,53,36,3,5,35,18,22,28,33,45,41
36,1,0,14:28,5,ARI,45,21,2,0,0,0,0,21,53,36,8,23,35,18,22,28,33,45,41
37,1,0,14:24,1,0,36,0,3,26,1,0,0,21,53,36,8,23,35,18,22,28,33,45,41
38,1,0,14:11,13,0,21,45,2,0,0,0,0,21,53,36,8,23,35,18,22,28,33,45,41
39,1,0,14:08,5,0,53,33,3,0,0,0,0,21,53,36,8,23,35,18,22,28,33,45,41
40,1,0,13:33,1,0,22,0,3,11,1,0,0,33,14,22,8,23,35,8,24,19,23,26,41
41,1,0,13:31,5,ARI,23,22,2,0,0,0,0,33,14,22,6,23,35,8,24,19,23,26,41
42,1,0,13:11,13,ARI,19,23,2,0,0,0,0,33,14,22,6,23,35,8,24,19,17,23,41
43,1,0,12:42,5,0,2,9,2,0,0,0,0,13,17,20,2,3,35,9,10,36,17,34,41
44,1,0,12:30,5,ARI,9,2,3,0,0,0,0,13,17,20,2,3,35,9,10,36,17,34,41
45,1,0,12:04,7,0,51,0,3,34,1,0,0,27,7,51,3,5,35,14,44,20,23,26,41
46,1,0,12:03,9,ARI,26,0,2,0,0,0,0,27,7,51,3,5,35,14,44,20,23,26,41
47,1,0,11:44,5,ARI,23,7,2,0,0,0,0,27,7,51,5,8,35,14,44,20,23,26,41
48,1,0,11:34,7,0,8,0,3,45,6,0,0,21,53,51,8,23,35,18,22,28,26,33,41
49,1, ,11:33,3,0,0,0,0,0,0,0,0,21,53,51,8,23,35,18,22,28,26,33,41
50,1,0,11:33,4,0,53,14,3,0,0,0,0,21,53,36,8,23,35,14,18,28,33,45,41
51,1,0,11:19,1,0,36,0,3,45,1,0,0,21,53,36,8,23,35,14,18,28,33,45,41
52,1,0,11:15,1,0,23,0,3,45,1,0,0,21,53,36,8,23,35,14,18,28,33,45,41
53,1,0,11:10,7,0,36,0,3,20,1,0,0,21,53,36,8,23,35,14,18,28,33,45,41
54,1,0,11:03,5,ARI,14,36,2,0,0,0,0,21,53,36,8,23,35,14,18,28,33,45,41
55,1,0,10:56,1,0,23,0,3,48,2,0,0,21,53,36,8,23,35,14,18,28,33,45,41
56,1, ,10:55,3,1,0,0,0,0,0,0,0,21,53,36,8,23,35,14,18,28,33,45,41
57,1,0,10:55,4,ARI,33,24,2,0,0,0,0,33,14,22,2,6,35,8,24,19,23,26,41
58,1,0,10:28,9,0,14,0,2,0,0,0,0,33,14,22,2,6,35,8,24,19,23,26,41
59,1,0,10:21,7,ARI,26,0,3,59,1,0,0,33,14,22,2,6,35,8,24,19,23,26,41
60,1,0,10:12,5,0,6,19,2,0,0,0,0,33,14,22,2,6,35,8,24,19,23,26,41
61,1,0,10:06,1,ARI,19,0,3,10,6,0,0,33,14,22,2,6,35,8,24,19,23,26,41
62,1, ,10:04,3,1,0,0,0,0,0,0,0,33,14,22,2,6,35,8,24,19,23,26,41
63,1,0,10:04,4,ARI,13,36,3,0,0,0,0,13,17,20,3,5,35,9,10,36,17,34,41
64,1,0,9:58,7,ARI,9,0,3,44,2,0,0,13,17,20,3,5,35,9,10,36,17,34,41
65,1,0,9:48,1,ARI,36,0,3,10,5,0,0,13,17,20,3,5,35,9,10,36,17,34,41
66,1,0,9:27,1,0,20,0,3,41,1,0,0,13,17,20,3,5,35,14,44,20,17,34,41
67,1, ,9:26,3,0,0,0,0,0,0,0,0,13,17,20,3,5,35,14,44,20,17,34,41
68,1,0,9:26,4,ARI,7,14,2,0,0,0,0,27,7,51,8,23,35,14,44,20,17,34,41
69,1,0,8:59,5,0,51,14,2,0,0,0,0,27,7,51,8,23,35,14,44,20,17,34,41
70,1,0,8:54,13,ARI,20,23,2,0,0,0,0,27,7,51,8,23,35,14,44,20,17,34,41
71,1,0,8:48,1,0,8,0,3,22,1,0,0,27,7,51,8,23,35,14,44,20,17,34,41
72,1,0,8:47,5,0,51,34,3,0,0,0,0,27,7,51,8,23,35,14,44,20,17,34,41
73,1, ,8:24,3,6,0,0,0,0,0,0,0,21,53,36,2,6,35,18,22,28,23,26,41
74,1,0,8:24,4,ARI,53,22,2,0,0,0,0,21,53,36,2,6,35,18,22,28,23,26,41
75,1,0,8:05,5,ARI,28,6,3,0,0,0,0,21,53,36,2,6,35,18,22,28,23,26,41
76,1,0,7:49,9,0,6,0,1,0,0,0,0,33,14,22,2,6,35,8,24,19,17,34,41
77,1, ,7:13,3,3,0,0,0,0,0,0,0,13,17,20,3,5,35,8,19,36,23,26,41
78,1,0,7:13,4,ARI,13,36,2,0,0,0,0,13,17,20,3,5,35,9,10,36,17,34,41
79,1,0,6:54,13,ARI,34,17,2,0,0,0,0,13,17,20,3,5,35,9,10,36,17,34,41
80,1, ,6:53,3,4,0,0,0,0,0,0,0,13,17,20,3,5,35,9,10,36,17,34,41
81,1,0,6:53,4,ARI,7,36,3,0,0,0,0,27,7,51,8,23,35,9,10,36,33,45,41
82,1,0,6:48,13,ARI,33,51,2,0,0,0,0,27,7,51,8,23,35,9,10,36,33,45,41
83,1, ,6:44,3,2,0,0,0,0,0,0,0,27,7,51,8,23,35,9,10,36,33,45,41
84,1,0,6:44,4,ARI,53,18,1,0,0,0,0,21,53,36,8,23,35,18,22,28,33,45,41
85,1, ,6:33,3,6,0,0,0,0,0,0,0,21,53,36,8,23,35,18,22,28,33,45,41
86,1,0,6:33,4,ARI,33,22,2,0,0,0,0,33,14,22,8,23,35,18,22,28,33,45,41
87,1, ,6:16,3,6,0,0,0,0,0,0,0,33,14,22,8,23,35,24,18,28,23,45,41
88,1,0,6:16,4,ARI,33,24,3,0,0,0,0,33,14,22,8,23,35,8,24,19,23,26,41
89,1,0,6:08,13,ARI,23,14,2,0,0,0,0,33,14,22,8,23,35,8,24,19,23,26,41
90,1,0,5:46,5,ARI,8,23,3,0,0,0,0,33,17,22,3,23,35,8,24,19,17,34,41
91,1,0,5:37,2,0,6,0,3,26,1,22,17,13,17,22,2,6,35,8,24,19,17,34,41
92,1,0,5:37,4,ARI,13,36,1,0,0,0,0,13,17,20,2,6,35,9,10,36,17,34,41
93,1, ,5:26,3,0,0,0,0,0,0,0,0,13,17,20,2,6,35,9,10,36,17,34,41
94,1,0,5:26,4,ARI,7,36,1,0,0,0,0,27,7,51,2,6,35,9,10,36,17,34,41
95,1,0,5:15,1,ARI,9,0,3,54,1,0,0,27,7,51,2,6,35,9,10,36,17,34,41
96,1,0,4:46,5,ARI,14,51,2,0,0,0,0,27,7,51,3,5,35,9,14,10,17,23,41
97,1,0,4:44,1,0,27,0,3,53,2,0,0,27,7,51,3,5,35,9,14,10,17,23,41
