# 2015/04/09 
# CHI , STL 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,23,81,2,4,50,21,23,42,6,19,34
2,1,0,20:00,4,0,19,21,1,0,0,0,0,19,23,81,2,4,50,21,23,42,6,19,34
3,1,0,19:05,7,0,86,0,3,30,1,0,0,11,42,86,7,27,50,17,26,74,4,27,34
4,1,0,18:05,9,0,10,0,2,0,0,0,0,65,10,29,2,4,50,9,12,18,5,22,34
5,1,0,17:28,5,1,75,5,3,0,0,0,0,80,39,20,5,32,50,57,75,32,6,19,34
6,1,0,17:26,7,0,39,0,3,49,2,0,0,80,39,20,5,32,50,57,75,32,6,19,34
7,1,0,17:09,8,1,42,0,1,0,0,0,0,19,39,20,27,32,50,21,42,32,6,19,34
8,1,0,17:07,5,0,39,21,1,0,0,0,0,19,39,20,27,32,50,21,23,42,6,19,34
9,1, ,16:58,3,6,0,0,0,0,0,0,0,19,23,81,7,27,50,21,23,42,4,27,34
10,1,0,16:58,4,1,19,21,3,0,0,0,0,19,23,81,7,27,50,21,23,42,4,27,34
11,1,0,16:51,5,0,7,23,2,0,0,0,0,19,23,81,7,27,50,21,23,42,4,27,34
12,1,0,16:32,1,0,2,0,3,47,2,0,0,19,23,81,2,7,50,21,23,42,4,27,34
13,1,0,16:21,7,1,23,0,3,37,1,0,0,19,23,81,2,4,50,21,23,42,22,27,34
14,1,0,16:18,5,1,42,23,3,0,0,0,0,19,23,81,2,4,50,21,23,42,5,22,34
15,1,0,16:09,13,1,5,4,2,0,0,0,0,19,23,81,2,4,50,74,23,42,5,22,34
16,1, ,16:08,3,4,0,0,0,0,0,0,0,19,23,81,2,4,50,74,23,42,5,22,34
17,1,0,16:08,4,1,11,26,3,0,0,0,0,11,42,86,2,4,50,17,26,74,5,22,34
18,1,0,15:54,13,1,26,2,2,0,0,0,0,11,42,86,2,4,50,17,26,74,5,22,34
19,1,0,15:39,13,1,22,11,2,0,0,0,0,11,42,86,2,4,50,17,26,74,5,22,34
20,1,0,15:31,1,0,7,0,3,50,1,0,0,11,42,86,7,27,50,17,26,74,5,22,34
21,1, ,15:30,3,1,0,0,0,0,0,0,0,11,42,86,7,27,50,17,26,74,5,22,34
22,1,0,15:30,4,1,65,12,2,0,0,0,0,65,10,29,7,27,50,9,12,18,6,19,34
23,1,0,15:21,5,0,29,6,3,0,0,0,0,65,10,29,7,27,50,9,12,18,6,19,34
24,1,0,15:11,13,1,18,7,2,0,0,0,0,65,10,29,7,27,50,9,12,18,6,19,34
25,1, ,15:09,3,0,0,0,0,0,0,0,0,65,10,29,7,27,50,9,12,18,6,19,34
26,1,0,15:09,4,0,65,12,2,0,0,0,0,65,10,29,7,27,50,9,12,18,6,19,34
27,1,0,15:04,5,1,9,7,3,0,0,0,0,65,10,29,7,27,50,9,12,18,6,19,34
28,1,0,14:49,7,1,18,0,3,6,4,0,0,65,10,29,7,27,50,9,12,18,6,19,34
29,1, ,14:48,3,8,0,0,0,0,0,0,0,65,10,29,7,27,50,9,12,18,6,19,34
30,1,0,14:48,4,1,80,57,3,0,0,0,0,80,39,20,5,32,50,57,75,32,4,27,34
31,1,0,14:44,13,1,4,80,2,0,0,0,0,80,39,20,5,32,50,57,75,32,4,27,34
32,1,0,14:33,5,0,80,4,3,0,0,0,0,80,39,20,5,32,50,57,75,32,4,27,34
33,1,0,14:18,8,1,57,0,3,0,0,0,0,80,39,20,5,32,50,57,75,32,4,27,34
34,1,0,14:09,5,0,39,57,2,0,0,0,0,80,39,20,5,32,50,57,75,32,6,27,34
35,1,0,13:57,1,0,81,0,3,13,1,0,0,80,81,20,2,4,50,57,75,32,6,27,34
36,1, ,13:55,3,0,0,0,0,0,0,0,0,80,81,20,2,4,50,57,75,32,6,27,34
37,1,0,13:55,4,0,19,42,3,0,0,0,0,19,23,81,2,4,50,21,23,42,6,19,34
38,1,0,13:28,1,1,23,0,3,15,5,0,0,19,23,81,2,4,50,21,23,42,6,19,34
39,1,0,12:50,13,0,27,74,2,0,0,0,0,11,42,86,7,27,50,17,26,74,5,22,34
40,1,0,12:43,5,1,5,11,2,0,0,0,0,11,42,86,7,27,50,17,26,74,5,22,34
41,1,0,12:42,1,0,7,0,3,46,2,0,0,11,42,86,7,27,50,17,26,74,5,22,34
42,1, ,12:41,3,4,0,0,0,0,0,0,0,11,10,29,2,27,50,17,26,74,5,22,34
43,1,0,12:41,4,0,65,12,3,0,0,0,0,65,10,29,2,4,50,9,12,18,4,27,34
44,1,0,12:33,7,0,65,0,3,19,5,0,0,65,10,29,2,4,50,9,12,18,4,27,34
45,1,0,11:59,5,0,29,12,3,0,0,0,0,65,10,29,2,4,50,9,12,18,4,27,34
46,1, ,11:58,3,6,0,0,0,0,0,0,0,80,39,20,5,32,50,9,12,18,4,27,34
47,1,0,11:58,4,0,80,12,3,0,0,0,0,80,39,20,5,32,50,9,12,18,4,27,34
48,1,0,11:53,13,0,5,18,2,0,0,0,0,80,39,20,5,32,50,9,12,18,4,27,34
49,1,0,11:20,5,1,75,32,3,0,0,0,0,19,39,20,5,32,50,57,75,32,6,19,34
50,1, ,10:57,3,8,0,0,0,0,0,0,0,19,23,81,7,27,50,21,23,42,6,19,34
51,1,0,10:57,4,0,19,42,3,0,0,0,0,19,23,81,7,27,50,21,23,42,4,27,34
52,1,0,10:52,13,0,27,42,2,0,0,0,0,19,23,81,7,27,50,21,23,42,4,27,34
53,1,0,10:43,8,1,21,0,3,0,0,0,0,19,23,81,7,27,50,21,23,42,4,27,34
54,1,0,10:41,1,1,21,0,3,27,1,0,0,19,23,81,7,27,50,21,23,42,4,27,34
55,1, ,10:40,3,1,0,0,0,0,0,0,0,19,23,81,7,27,50,21,23,42,4,27,34
56,1,0,10:40,4,0,11,26,2,0,0,0,0,11,42,86,2,4,50,17,26,74,5,22,34
57,1,0,10:10,1,1,74,0,3,34,2,0,0,11,42,86,2,4,50,17,26,74,5,22,34
58,1,0,9:32,5,0,29,12,1,0,0,0,0,65,10,29,7,27,50,9,12,18,4,27,34
59,1,0,9:20,5,0,27,9,2,0,0,0,0,65,10,29,7,27,50,9,12,18,4,27,34
60,1,0,9:18,7,0,10,0,3,43,1,0,0,65,10,29,5,32,50,9,12,18,4,27,34
61,1, ,9:10,3,0,0,0,0,0,0,0,0,65,10,29,5,32,50,12,18,23,4,27,34
62,1,0,9:10,4,1,80,26,1,0,0,0,0,80,39,20,5,32,50,17,26,74,6,19,34
63,1,0,8:39,5,0,39,19,2,0,0,0,0,80,39,20,4,32,50,17,26,74,6,19,34
64,1,0,7:47,5,0,19,4,3,0,0,0,0,19,23,81,7,27,50,21,23,42,4,27,34
65,1,0,7:29,13,0,65,22,2,0,0,0,0,65,10,29,5,32,50,57,75,32,5,22,34
66,1, ,7:28,3,4,0,0,0,0,0,0,0,65,10,29,5,32,50,57,75,32,5,22,34
67,1,0,7:28,4,1,65,57,2,0,0,0,0,65,10,29,5,32,50,57,75,32,5,22,34
68,1,0,7:16,5,1,75,5,3,0,0,0,0,65,10,29,5,32,50,57,75,32,5,22,34
69,1,0,7:00,7,1,5,0,3,51,2,0,0,65,10,29,5,32,50,57,75,32,5,22,34
70,1,0,6:55,8,1,22,0,3,0,0,0,0,65,10,29,5,32,50,9,57,75,5,22,34
71,1,0,6:54,1,1,22,0,3,24,1,0,0,65,10,29,5,32,50,9,57,75,5,22,34
72,1, ,6:53,3,1,0,0,0,0,0,0,0,65,10,29,5,32,50,9,57,75,5,22,34
73,1,0,6:53,4,1,11,12,3,0,0,0,0,11,42,86,7,27,50,9,12,18,6,19,34
74,1,0,6:51,1,1,6,0,3,46,2,0,0,11,42,86,7,27,50,9,12,18,6,19,34
75,1,0,6:47,5,1,18,7,3,0,0,0,0,11,42,86,7,27,50,9,12,18,6,19,34
76,1,0,6:37,5,0,42,6,3,0,0,0,0,11,42,86,7,27,50,9,12,18,6,19,34
77,1, ,5:29,3,6,0,0,0,0,0,0,0,80,39,20,2,7,50,26,74,23,22,27,34
78,1,0,5:29,4,0,80,26,3,0,0,0,0,80,39,20,7,27,50,26,74,23,22,27,34
79,1,0,5:25,13,0,27,23,2,0,0,0,0,80,39,20,7,27,50,26,74,23,22,27,34
80,1,0,4:40,5,1,42,5,3,0,0,0,0,65,10,29,5,32,50,21,23,42,5,22,34
81,1,0,4:28,1,0,29,0,3,37,1,0,0,65,10,29,5,32,50,57,23,32,5,22,34
82,1,0,4:15,1,0,29,0,3,33,1,0,0,11,10,29,2,4,50,57,75,32,6,22,34
83,1,0,3:55,5,1,32,2,3,0,0,0,0,11,42,10,2,4,50,57,75,32,6,19,34
84,1,0,3:50,1,0,10,0,3,45,2,0,0,11,42,10,7,27,50,57,75,32,6,19,34
85,1,0,2:34,6,1,22,20,2,0,0,0,0,80,39,20,2,32,50,17,26,74,5,22,34
86,1, ,2:34,3,9,0,0,0,0,0,0,0,80,39,20,2,32,50,17,26,74,5,34,0
87,1,1,2:34,4,0,19,42,3,0,0,0,0,19,65,81,86,2,50,17,42,19,27,34,0
88,1,1,2:20,1,0,86,0,3,37,2,0,0,19,65,81,86,2,50,17,42,19,27,34,0
89,1, ,2:18,3,1,0,0,0,0,0,0,0,19,65,81,86,2,50,17,42,19,27,34,0
90,1,-1,2:18,4,1,19,26,2,0,0,0,0,19,65,81,86,2,50,26,74,19,27,34,0
91,1,1,0:55,13,1,42,7,2,0,0,0,0,23,10,20,5,7,50,17,42,19,27,34,0
92,1,-1,0:38,1,1,26,0,3,35,2,0,0,23,10,20,5,7,50,17,26,19,27,34,0
93,1,1,0:37,6,0,23,27,2,0,0,0,0,23,10,20,5,7,50,17,26,19,27,34,0
94,1,0,0:37,4,0,11,26,2,0,0,0,0,11,42,2,4,50,0,17,26,74,27,34,0
95,1,1,0:04,1,1,74,0,3,17,1,0,0,11,42,2,4,50,0,17,26,74,22,27,34
96,1, ,0:00,11,0,0,0,0,0,0,0,0,11,42,2,4,50,0,17,26,74,22,27,34
97,2, ,20:00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2,1,20:00,4,1,42,42,1,0,0,0,0,42,20,2,4,50,0,17,26,74,42,22,34
