# 2015/04/09 
# N.J , T.B 
# 3 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,8,11,26,5,6,1,9,86,18,6,89,30
2,1,0,20:00,4,0,26,9,1,0,0,0,0,8,11,26,5,6,1,9,86,18,6,89,30
3,1,0,19:41,9,1,18,0,2,0,0,0,0,8,11,26,5,6,1,9,86,18,6,89,30
4,1,0,19:34,7,1,89,0,3,19,5,0,0,8,11,26,5,6,1,9,86,18,6,89,30
5,1,0,19:31,5,0,11,18,1,0,0,0,0,8,11,26,5,6,1,9,86,18,6,89,30
6,1,0,18:48,5,0,20,77,3,0,0,0,0,19,20,23,28,32,1,13,51,90,53,77,30
7,1,0,18:29,8,0,21,0,3,0,0,0,0,14,21,18,5,6,1,51,24,27,8,53,30
8,1,0,18:29,13,0,14,53,2,0,0,0,0,14,21,18,5,6,1,51,24,27,8,53,30
9,1,0,18:25,5,1,24,6,2,0,0,0,0,14,21,18,5,6,1,51,24,27,8,53,30
10,1,0,18:18,1,0,6,0,3,56,2,0,0,14,21,18,5,6,1,51,24,27,8,53,30
11,1,0,18:12,13,0,5,27,2,0,0,0,0,14,21,18,5,6,1,91,24,27,8,53,30
12,1,0,18:01,1,0,14,0,3,50,1,0,0,14,21,18,5,6,1,91,24,27,8,25,30
13,1,0,17:21,1,1,6,0,3,60,1,0,0,16,25,15,28,32,1,11,23,10,6,89,30
14,1, ,17:20,3,1,0,0,0,0,0,0,0,16,25,15,28,32,1,11,23,10,6,89,30
15,1,0,17:20,4,1,26,9,3,0,0,0,0,8,11,26,28,32,1,9,86,18,6,89,30
16,1,0,17:06,13,1,6,32,2,0,0,0,0,8,11,26,28,32,1,9,86,18,6,89,30
17,1,0,17:03,13,1,9,28,2,0,0,0,0,8,11,26,28,32,1,9,86,18,6,89,30
18,1, ,17:02,3,4,0,0,0,0,0,0,0,8,11,26,28,32,1,9,86,18,6,89,30
19,1,0,17:02,4,0,19,51,2,0,0,0,0,19,20,23,5,6,1,13,51,90,53,77,30
20,1,0,16:51,5,1,53,20,2,0,0,0,0,19,20,23,5,6,1,13,51,90,53,77,30
21,1,0,16:44,5,0,20,90,3,0,0,0,0,19,20,23,5,6,1,13,51,90,53,77,30
22,1,0,16:00,7,1,8,0,3,58,1,0,0,21,18,23,33,34,1,91,24,27,8,25,30
23,1, ,15:44,3,2,0,0,0,0,0,0,0,14,21,18,28,32,1,91,24,27,8,25,30
24,1,0,15:44,4,0,26,91,1,0,0,0,0,8,11,26,28,32,1,91,24,27,8,25,30
25,1,0,15:30,7,0,11,0,3,32,6,0,0,8,11,26,28,32,1,91,24,27,8,25,30
26,1,0,15:16,13,0,32,24,2,0,0,0,0,8,11,26,28,32,1,91,24,27,8,25,30
27,1,0,15:00,5,1,6,11,2,0,0,0,0,8,21,11,26,28,32,11,24,10,6,8,30
28,1,0,14:57,6,1,8,26,2,0,0,0,0,14,21,18,23,6,1,11,24,10,6,8,30
29,1,1,14:57,4,0,21,11,3,0,0,0,0,14,21,18,23,6,1,11,13,53,77,30,0
30,1,1,14:54,2,0,18,0,3,19,1,14,21,14,21,18,23,6,1,11,13,53,77,30,0
31,1,0,14:54,4,0,16,11,1,0,0,0,0,16,25,15,33,34,1,11,23,10,6,89,30
32,1,0,14:27,5,1,11,15,2,0,0,0,0,16,25,15,33,34,1,11,23,10,6,89,30
33,1,0,14:25,5,1,10,15,2,0,0,0,0,16,25,15,33,34,1,11,23,10,6,89,30
