# 2015/04/16 
# WPG , ANA 
# 2 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,91,20,17,5,8,31,7,33,67,3,45,31
2,1,0,20:00,4,1,17,67,1,0,0,0,0,91,20,17,5,8,31,7,33,67,3,45,31
3,1,0,19:41,7,1,33,0,3,34,1,0,0,91,20,17,5,8,31,7,33,67,3,45,31
4,1,0,19:13,1,1,39,0,3,33,1,0,0,55,12,26,5,39,31,17,21,39,23,47,31
5,1,0,19:08,1,1,21,0,3,29,1,0,0,55,12,26,5,39,31,17,21,39,23,47,31
6,1,0,18:59,7,0,57,0,3,37,1,0,0,55,12,26,39,57,31,17,21,39,23,47,31
7,1,0,18:53,7,1,17,0,3,37,1,0,0,55,12,26,33,57,31,17,21,39,23,47,31
8,1, ,18:51,3,4,0,0,0,0,0,0,0,55,12,26,33,57,31,17,10,19,23,47,31
9,1,0,18:51,4,0,18,15,2,0,0,0,0,18,67,16,33,63,31,15,10,19,4,24,31
10,1,0,18:32,1,1,24,0,3,39,1,0,0,18,67,16,33,63,31,15,10,19,4,24,31
11,1,0,18:21,1,0,18,0,3,38,1,0,0,18,67,16,33,63,31,15,10,19,4,24,31
12,1,0,18:13,1,1,15,0,1,81,1,0,0,18,67,16,33,63,31,15,10,19,4,24,31
13,1,0,18:11,1,1,10,0,3,27,1,0,0,19,15,16,33,63,31,15,10,16,3,45,31
14,1,0,18:07,5,1,15,16,3,0,0,0,0,19,15,16,33,63,31,15,10,16,3,45,31
15,1,0,18:03,2,1,45,0,3,49,2,10,15,19,15,16,33,63,31,15,10,16,3,45,31
16,1,0,18:03,4,0,19,62,1,0,0,0,0,19,15,22,39,57,31,16,18,62,3,45,31
17,1,0,17:34,5,0,57,18,2,0,0,0,0,19,15,22,39,57,31,16,18,62,3,45,31
18,1,0,17:17,5,1,62,17,1,0,0,0,0,91,20,17,5,8,31,16,18,62,3,45,31
19,1,0,17:15,5,1,67,8,3,0,0,0,0,91,20,17,5,8,31,7,18,67,3,45,31
20,1,0,17:14,2,0,17,0,3,29,2,8,5,91,20,17,5,8,31,7,18,67,3,45,31
21,1,0,17:14,4,0,17,67,1,0,0,0,0,91,20,17,33,39,31,7,33,67,23,47,31
22,1,0,17:02,5,0,17,23,3,0,0,0,0,91,20,17,33,39,31,7,33,67,23,47,31
23,1,0,15:48,5,1,24,67,2,0,0,0,0,55,67,16,57,63,31,17,21,39,4,24,31
24,1,0,15:47,5,0,67,17,3,0,0,0,0,55,67,16,57,63,31,17,21,39,4,24,31
25,1,0,15:47,5,0,16,24,3,0,0,0,0,55,67,16,57,63,31,17,21,39,4,24,31
26,1,0,15:45,7,0,57,0,3,48,1,0,0,55,12,67,57,63,31,17,21,39,4,24,31
27,1,0,15:38,5,0,63,21,1,0,0,0,0,55,12,67,57,63,31,17,21,39,4,24,31
28,1,0,15:36,9,0,57,0,2,0,0,0,0,55,12,26,57,63,31,17,21,39,4,24,31
29,1,0,15:23,5,1,19,57,3,0,0,0,0,55,12,26,57,63,31,15,10,19,3,45,31
30,1,0,15:12,5,0,12,10,2,0,0,0,0,19,12,26,5,8,31,15,10,19,3,45,31
31,1,0,15:12,8,0,12,0,2,0,0,0,0,19,12,26,5,8,31,15,10,19,3,45,31
32,1,0,15:10,8,1,10,0,3,0,0,0,0,19,12,26,5,8,31,15,10,19,3,45,31
33,1, ,15:08,3,1,0,0,0,0,0,0,0,19,12,26,5,8,31,15,10,19,3,45,31
34,1,0,15:08,4,0,19,62,2,0,0,0,0,19,15,22,39,57,31,16,18,62,23,47,31
