# 2015/04/20 
# STL , MIN 
# 0 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,74,42,75,4,27,34,3,22,26,6,46,40
2,1,0,20:00,4,0,42,3,1,0,0,0,0,74,42,75,4,27,34,3,22,26,6,46,40
3,1, ,19:54,3,2,0,0,0,0,0,0,0,74,42,75,4,27,34,3,22,26,6,46,40
4,1,0,19:54,4,1,42,3,1,0,0,0,0,74,42,75,4,27,34,3,22,26,6,46,40
5,1,0,19:25,5,0,74,46,3,0,0,0,0,26,74,75,6,27,34,3,22,26,6,46,40
6,1,0,19:14,5,1,3,75,2,0,0,0,0,26,74,75,6,19,34,3,22,26,6,46,40
7,1, ,19:10,3,6,0,0,0,0,0,0,0,26,74,75,6,19,34,3,22,26,6,46,40
8,1,0,19:10,4,1,12,3,2,0,0,0,0,12,91,20,6,19,34,3,22,26,6,46,40
9,1,0,19:02,8,0,20,0,3,0,0,0,0,12,91,20,6,19,34,3,22,26,6,46,40
10,1,0,18:57,1,0,6,0,3,27,1,0,0,12,91,20,6,19,34,3,22,26,6,46,40
11,1, ,18:49,3,2,0,0,0,0,0,0,0,12,91,20,6,19,34,64,29,11,6,46,40
12,1,0,18:49,4,1,26,64,1,0,0,0,0,17,21,26,6,19,34,64,29,11,20,25,40
13,1,0,18:25,9,1,25,0,2,0,0,0,0,17,21,26,6,19,34,64,29,11,20,25,40
14,1,0,18:23,5,1,20,21,2,0,0,0,0,17,21,26,19,22,34,64,29,11,20,25,40
15,1, ,18:20,3,6,0,0,0,0,0,0,0,12,91,20,5,22,34,64,29,11,20,25,40
16,1,0,18:20,4,0,12,64,3,0,0,0,0,12,91,20,5,22,34,64,29,11,20,25,40
17,1,0,18:14,5,1,64,5,2,0,0,0,0,12,91,20,5,22,34,64,29,11,20,25,40
18,1,0,17:59,8,1,20,0,2,0,0,0,0,12,91,20,5,22,34,64,29,11,20,25,40
19,1,0,17:50,1,1,11,0,3,39,3,0,0,12,91,20,5,22,34,64,29,11,20,25,40
20,1, ,17:49,3,1,0,0,0,0,0,0,0,12,91,20,5,22,34,64,29,11,20,25,40
21,1,0,17:49,4,1,57,9,3,0,0,0,0,9,57,75,4,27,34,9,44,16,33,55,40
22,1,0,17:45,13,1,16,57,2,0,0,0,0,9,57,75,4,27,34,9,44,16,33,55,40
23,1, ,17:30,3,6,0,0,0,0,0,0,0,9,57,75,4,27,34,9,44,16,33,55,40
24,1,0,17:30,4,1,42,9,2,0,0,0,0,74,23,42,4,27,34,9,44,16,33,55,40
25,1,0,17:22,13,0,42,55,2,0,0,0,0,74,23,42,4,27,34,9,44,16,33,55,40
26,1,0,17:05,5,1,44,4,3,0,0,0,0,74,23,42,4,27,34,9,44,16,6,46,40
27,1,0,16:29,5,1,6,57,2,0,0,0,0,9,57,75,6,19,34,21,14,23,6,46,40
28,1,0,16:08,5,0,9,14,1,0,0,0,0,9,21,57,5,22,34,21,14,23,6,46,40
29,1,0,16:05,9,0,22,0,1,0,0,0,0,9,21,57,5,22,34,21,14,23,6,46,40
30,1,0,15:55,5,1,23,5,3,0,0,0,0,9,21,57,5,22,34,64,14,23,20,25,40
31,1,0,15:49,5,1,64,22,3,0,0,0,0,17,21,26,5,22,34,64,29,11,20,25,40
32,1,0,15:24,5,1,64,26,2,0,0,0,0,17,21,26,4,27,34,64,29,11,20,25,40
33,1,0,15:20,13,0,27,20,2,0,0,0,0,17,21,26,4,27,34,64,29,11,20,25,40
34,1,0,15:12,13,1,20,27,2,0,0,0,0,17,21,26,4,27,34,64,29,11,20,25,40
35,1,0,15:10,13,1,11,17,2,0,0,0,0,17,21,26,4,27,34,9,29,11,20,25,40
36,1,0,14:34,5,0,6,44,2,0,0,0,0,12,91,20,6,19,34,9,44,16,6,46,40
37,1,0,14:23,5,1,6,91,2,0,0,0,0,12,91,20,6,19,34,9,44,16,6,46,40
38,1,0,13:40,1,1,55,0,3,59,2,0,0,74,23,42,5,22,34,3,22,26,33,55,40
39,1, ,13:39,3,0,0,0,0,0,0,0,0,74,23,42,5,22,34,3,22,26,33,55,40
40,1,0,13:39,4,1,26,64,3,0,0,0,0,17,21,26,4,27,34,64,29,11,20,25,40
41,1,0,13:34,7,1,25,0,3,62,2,0,0,17,21,26,4,27,34,64,29,11,20,25,40
42,1,0,13:01,1,1,29,0,3,49,2,0,0,17,21,26,4,27,34,64,29,11,20,25,40
43,1,0,12:43,5,0,42,33,3,0,0,0,0,74,23,42,6,19,34,64,29,11,33,55,40
