# 2015/04/25 
# WSH , NYI 
# 1 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,21,83,20,2,27,70,53,15,17,14,37,41
2,1,0,20:00,4,0,83,53,1,0,0,0,0,21,83,20,2,27,70,53,15,17,14,37,41
3,1,0,19:52,5,1,15,2,1,0,0,0,0,21,83,20,2,27,70,53,15,17,14,37,41
4,1,0,19:41,5,0,27,53,2,0,0,0,0,21,83,20,2,27,70,53,15,17,14,37,41
5,1,0,19:37,5,1,17,2,3,0,0,0,0,21,83,20,2,27,70,53,15,17,14,37,41
6,1,0,19:31,5,1,17,21,3,0,0,0,0,21,83,20,2,27,70,53,15,17,14,37,41
7,1,0,19:24,5,1,15,27,3,0,0,0,0,21,83,20,2,27,70,53,15,17,14,37,41
8,1,0,19:24,5,1,17,2,3,0,0,0,0,21,83,20,2,27,70,53,15,17,14,37,41
9,1, ,19:22,3,6,0,0,0,0,0,0,0,21,83,20,2,27,70,53,15,17,14,37,41
10,1,0,19:22,4,0,83,91,2,0,0,0,0,21,83,20,2,27,70,18,29,91,2,55,41
11,1,0,19:05,13,1,18,2,2,0,0,0,0,19,42,8,2,44,70,18,29,91,2,55,41
12,1,0,18:58,13,1,2,2,2,0,0,0,0,19,42,8,2,44,70,18,29,91,2,55,41
13,1,0,18:45,5,0,8,55,2,0,0,0,0,19,42,8,2,44,70,18,29,91,2,55,41
14,1, ,18:36,3,1,0,0,0,0,0,0,0,19,42,8,52,74,70,18,29,91,2,55,41
15,1,0,18:36,1,0,8,0,3,41,1,0,0,19,42,8,52,74,70,18,29,91,2,55,41
16,1,0,18:36,4,1,92,84,2,0,0,0,0,92,25,90,52,74,70,84,13,86,42,46,41
17,1,0,18:23,1,0,74,0,1,79,2,0,0,92,25,90,52,74,70,84,13,86,42,46,41
18,1,0,18:22,5,1,13,74,1,0,0,0,0,92,25,90,52,74,70,84,13,86,42,46,41
19,1,0,18:12,5,1,13,52,3,0,0,0,0,92,25,90,52,74,70,84,13,86,42,46,41
20,1,0,18:07,1,0,74,0,1,78,1,0,0,92,25,90,27,74,70,84,13,86,42,46,41
21,1,0,17:54,13,0,2,86,2,0,0,0,0,92,25,90,2,27,70,84,13,86,42,46,41
22,1, ,17:52,3,11,0,0,0,0,0,0,0,92,25,90,2,27,70,84,13,86,42,46,41
23,1,0,17:52,4,0,83,51,1,0,0,0,0,83,20,65,2,27,70,12,51,21,14,37,41
24,1,0,17:32,13,1,21,27,2,0,0,0,0,83,20,65,2,27,70,12,51,21,14,37,41
25,1,0,17:04,5,1,53,20,3,0,0,0,0,83,20,65,2,6,70,53,15,21,2,55,41
26,1,0,16:49,1,1,15,0,3,44,1,0,0,21,46,43,2,6,70,53,15,17,2,55,41
27,1,0,16:43,9,0,2,0,2,0,0,0,0,21,46,43,2,6,70,53,15,17,2,55,41
28,1,0,16:39,5,1,15,46,3,0,0,0,0,21,46,43,2,6,70,53,15,17,2,55,41
29,1,0,16:39,13,1,55,21,2,0,0,0,0,21,46,43,2,6,70,53,15,17,2,55,41
30,1, ,16:39,3,4,0,0,0,0,0,0,0,21,46,43,2,6,70,53,15,17,2,55,41
31,1,0,16:39,4,1,19,91,3,0,0,0,0,19,42,8,44,74,70,18,29,91,2,55,41
32,1,0,16:33,5,0,44,55,2,0,0,0,0,19,42,8,44,74,70,18,29,91,2,55,41
33,1,0,16:14,5,0,74,18,2,0,0,0,0,19,42,8,44,74,70,18,29,91,2,46,41
34,1,0,15:51,1,0,42,0,3,17,1,0,0,19,42,90,27,52,70,18,29,91,2,46,41
35,1,0,15:20,9,1,84,0,3,0,0,0,0,92,25,90,27,52,70,84,13,86,14,37,41
36,1,0,15:18,5,1,13,90,3,0,0,0,0,92,25,90,27,52,70,84,13,86,14,37,41
37,1,0,14:53,5,0,20,51,2,0,0,0,0,83,20,65,44,74,70,12,51,21,2,55,41
38,1,0,14:50,8,0,20,0,2,0,0,0,0,83,20,65,44,74,70,12,51,21,2,55,41
39,1,0,14:48,7,1,55,0,3,62,2,0,0,83,20,65,44,74,70,12,51,21,2,55,41
40,1,0,14:35,5,0,44,51,2,0,0,0,0,83,20,65,44,74,70,12,51,21,2,55,41
41,1,0,14:23,9,0,20,0,2,0,0,0,0,83,20,65,44,74,70,12,53,21,2,55,41
42,1,0,14:08,13,1,21,74,2,0,0,0,0,83,20,65,44,74,70,12,53,21,42,46,41
