# 2015/05/05 
# CHI , MIN 
# 1 , 0 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,81,20,2,32,50,9,22,16,20,25,40
2,1,0,20:00,4,0,19,9,1,0,0,0,0,19,81,20,2,32,50,9,22,16,20,25,40
3,1, ,19:54,3,6,0,0,0,0,0,0,0,19,81,20,2,32,50,9,22,16,20,25,40
4,1,0,19:54,4,0,19,9,2,0,0,0,0,19,81,20,2,32,50,9,22,16,20,25,40
5,1,0,19:36,5,1,22,2,3,0,0,0,0,19,81,20,2,32,50,9,22,16,20,25,40
6,1,0,19:02,13,0,27,64,2,0,0,0,0,11,16,65,4,27,50,64,29,11,6,46,40
7,1,0,18:36,13,1,26,4,2,0,0,0,0,91,88,29,2,4,50,3,10,26,20,25,40
8,1, ,18:35,3,4,0,0,0,0,0,0,0,91,88,29,2,4,50,3,10,26,20,25,40
9,1,0,18:35,4,0,80,3,2,0,0,0,0,80,10,86,2,32,50,3,10,26,33,55,40
10,1,0,18:30,5,1,10,2,3,0,0,0,0,80,10,86,2,32,50,3,10,26,33,55,40
11,1,0,18:20,9,1,3,0,2,0,0,0,0,80,10,86,2,32,50,3,10,26,33,55,40
12,1,0,18:06,5,1,26,2,3,0,0,0,0,80,10,86,2,32,50,3,24,26,33,55,40
13,1,0,17:57,1,1,24,0,3,15,6,0,0,19,20,86,2,32,50,3,24,26,33,55,40
14,1, ,17:56,3,1,0,0,0,0,0,0,0,19,20,86,2,32,50,3,18,24,33,55,40
15,1,0,17:56,4,1,19,21,3,0,0,0,0,19,81,20,7,44,50,18,21,24,20,25,40
16,1,0,17:44,8,1,20,0,2,0,0,0,0,19,81,20,7,44,50,18,21,24,20,25,40
17,1,0,17:22,8,1,16,0,1,0,0,0,0,19,81,20,7,44,50,21,22,16,20,25,40
18,1,0,17:18,13,1,16,7,2,0,0,0,0,19,81,20,2,7,50,21,22,16,20,25,40
19,1,0,17:15,8,1,16,0,3,0,0,0,0,19,81,20,2,7,50,21,22,16,20,25,40
20,1,0,17:12,1,1,21,0,3,11,5,0,0,19,81,20,2,7,50,21,22,16,20,25,40
21,1,0,16:54,1,1,22,0,3,34,1,0,0,91,88,29,2,32,50,9,22,16,6,46,40
22,1, ,16:53,3,1,0,0,0,0,0,0,0,91,88,29,2,32,50,9,22,16,6,46,40
23,1,0,16:53,4,0,16,9,2,0,0,0,0,11,16,65,4,27,50,9,22,16,33,55,40
24,1,0,16:40,5,1,55,11,1,0,0,0,0,11,16,65,4,27,50,9,22,16,33,55,40
25,1,0,16:08,1,1,29,0,3,56,2,0,0,16,65,20,7,27,50,64,29,11,33,55,40
26,1, ,16:07,3,4,0,0,0,0,0,0,0,19,81,20,7,27,50,64,29,11,6,46,40
27,1,0,16:07,4,0,19,64,2,0,0,0,0,19,81,20,2,4,50,64,29,11,20,25,40
28,1,0,15:14,5,1,26,88,2,0,0,0,0,91,88,29,27,32,50,3,10,26,6,20,40
29,1,0,15:10,7,0,29,0,3,13,5,0,0,91,88,29,27,32,50,3,10,26,6,20,40
30,1, ,14:50,3,2,0,0,0,0,0,0,0,80,88,10,32,44,50,3,10,26,6,46,40
31,1,0,14:50,4,1,80,64,1,0,0,0,0,80,10,86,7,44,50,64,29,11,33,55,40
32,1,0,14:12,1,0,7,0,3,57,2,0,0,80,10,86,4,7,50,64,29,11,33,55,40
33,1, ,14:11,3,1,0,0,0,0,0,0,0,80,10,86,4,7,50,64,29,11,33,55,40
34,1,0,14:11,4,1,91,21,2,0,0,0,0,91,88,29,2,32,50,18,21,24,6,46,40
35,1,0,14:06,5,0,29,6,3,0,0,0,0,91,88,29,2,32,50,18,21,24,6,46,40
36,1,0,13:47,7,1,46,0,3,33,1,0,0,91,88,29,2,32,50,18,21,24,6,46,40
37,1,0,13:32,13,1,18,32,2,0,0,0,0,19,81,20,2,32,50,18,21,24,6,46,40
38,1,0,13:21,1,0,19,0,3,11,5,0,0,19,81,20,7,27,50,18,21,24,6,20,40
39,1, ,13:20,3,0,0,0,0,0,0,0,0,19,81,20,7,27,50,18,21,24,6,20,40
40,1,0,13:20,4,1,19,9,2,0,0,0,0,19,81,20,27,32,50,9,22,16,20,25,40
41,1,0,13:13,13,0,81,20,2,0,0,0,0,19,81,20,27,32,50,9,22,16,20,25,40
42,1,0,13:04,1,0,27,0,3,57,2,0,0,19,81,20,27,32,50,9,22,16,20,25,40
43,1,0,13:02,1,0,81,0,3,18,1,0,0,19,81,20,27,32,50,9,22,16,20,25,40
44,1, ,12:49,3,2,0,0,0,0,0,0,0,19,81,20,27,32,50,9,22,16,20,25,40
45,1,0,12:49,4,0,65,3,1,0,0,0,0,11,16,65,2,4,50,3,10,26,33,55,40
46,1,0,12:25,1,0,10,0,3,39,3,0,0,80,10,86,7,44,50,3,10,26,33,55,40
47,1,0,12:18,6,0,80,10,3,0,0,0,0,80,10,86,7,44,50,3,10,26,33,55,40
48,1,-1,12:18,4,0,16,9,2,0,0,0,0,16,20,2,4,50,0,9,29,11,26,20,40
49,1,1,12:01,7,1,11,0,3,12,5,0,0,16,20,2,4,50,0,9,29,11,26,20,40
50,1,1,11:15,9,1,9,0,3,0,0,0,0,19,81,7,27,50,0,9,29,11,26,20,40
51,1,-1,10:50,13,1,55,20,2,0,0,0,0,16,20,2,4,50,0,64,22,16,46,55,40
52,1,0,10:16,13,1,55,7,2,0,0,0,0,11,80,81,7,27,50,64,22,16,46,55,40
53,1,0,8:46,5,0,80,11,2,0,0,0,0,80,10,86,4,27,50,64,29,11,20,46,40
54,1,0,8:41,13,1,64,80,2,0,0,0,0,80,10,86,4,27,50,64,29,11,20,33,40
55,1,0,8:16,9,1,16,0,3,0,0,0,0,19,81,20,7,44,50,9,22,16,33,55,40
56,1,0,8:06,1,0,44,0,3,64,2,0,0,19,81,20,7,44,50,9,22,16,33,55,40
57,1,0,8:00,1,1,9,0,3,43,2,0,0,19,81,20,7,44,50,9,22,16,33,55,40
58,1,0,7:25,13,0,16,25,2,0,0,0,0,11,16,65,2,32,50,3,10,26,20,25,40
59,1, ,7:07,3,0,0,0,0,0,0,0,0,11,16,65,2,32,50,3,10,26,33,55,40
60,1,0,7:07,4,1,91,21,2,0,0,0,0,91,88,29,7,44,50,18,21,24,6,46,40
61,1,0,6:51,6,1,46,29,2,0,0,0,0,91,88,29,7,44,50,18,21,24,6,46,40
62,1,-1,6:51,4,1,19,9,2,0,0,0,0,19,65,88,10,2,50,9,21,20,25,40,0
63,1, ,6:15,3,8,0,0,0,0,0,0,0,19,65,88,10,2,50,9,21,20,25,40,0
64,1,-1,6:15,4,1,19,64,2,0,0,0,0,19,65,88,10,2,50,64,24,6,55,40,0
65,1,1,5:54,2,0,88,0,3,26,1,65,10,19,65,88,10,2,50,64,24,6,55,40,0
66,1,0,5:54,4,0,16,3,1,0,0,0,0,11,16,65,4,27,50,3,10,26,6,46,40
67,1,0,5:38,1,1,10,0,3,26,1,0,0,80,10,86,7,27,50,3,10,26,6,46,40
68,1, ,5:19,3,0,0,0,0,0,0,0,0,80,10,86,2,4,50,3,10,26,6,46,40
69,1,0,5:19,4,0,80,64,3,0,0,0,0,80,10,86,2,4,50,64,29,11,6,46,40
70,1,0,4:46,8,1,46,0,2,0,0,0,0,19,81,10,7,27,50,64,29,11,6,46,40
71,1, ,4:17,3,6,0,0,0,0,0,0,0,19,81,20,7,27,50,9,22,16,20,25,40
72,1,0,4:17,4,0,19,9,2,0,0,0,0,19,81,20,7,27,50,9,22,16,20,25,40
73,1,0,3:47,5,0,7,22,2,0,0,0,0,19,81,20,7,27,50,9,22,16,20,25,40
74,1,0,3:31,8,0,81,0,2,0,0,0,0,16,81,20,7,27,50,3,22,16,6,20,40
75,1,0,3:10,9,0,88,0,3,0,0,0,0,91,88,29,2,32,50,3,10,26,33,55,40
76,1,0,3:08,5,1,55,88,2,0,0,0,0,91,88,29,2,32,50,3,10,26,33,55,40
77,1,0,3:01,1,1,26,0,3,23,1,0,0,91,88,29,2,32,50,3,10,26,33,55,40
78,1,0,2:56,1,1,33,0,3,57,1,0,0,91,88,29,2,32,50,3,10,26,33,55,40
79,1, ,2:54,3,1,0,0,0,0,0,0,0,91,88,29,2,32,50,3,10,26,33,55,40
80,1,0,2:54,4,1,16,29,3,0,0,0,0,11,16,65,4,27,50,64,29,11,6,46,40
81,1,0,2:47,13,1,64,16,2,0,0,0,0,11,16,65,4,27,50,64,29,11,6,46,40
82,1,0,2:37,13,0,16,46,2,0,0,0,0,11,16,65,4,27,50,64,29,11,6,46,40
83,1,0,1:51,9,1,25,0,2,0,0,0,0,80,10,86,2,7,50,18,21,24,20,25,40
84,1,0,1:50,1,0,86,0,3,13,1,0,0,80,10,86,2,7,50,18,21,24,20,25,40
